SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,PHYTO_ABUNDANCE_M3
6-61,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,153333.3
3-21,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,3333.3
3-29,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,13333.3
18-1,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3
18-1,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,6666.7
18-41,Proboscia spp.,Centric diatom,Proboscia,spp.,6666.7
18-45,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,6666.7
4-37,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,74326
4-65,Radiolarian,Radiozoa,(null),(null),3539.3
7-13,Aspergillus sydowii,Other,Aspergillus,sydowii,319650
19-65,Gold balls,Other,(null),(null),6666.7
19-77,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3
19-85,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,666.7
4-49,Cylindrial diatom,Centric diatom,(null),(null),3539.3
13-57,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3
9-9,Plastic,Other,(null),(null),666.7
43-29,Tripos spp.,Dinoflagellate,Tripos,spp.,7333.3
9-5,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,40000
43-25,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,14666.7
43-65,Silicoflagellate 6 points,Silicoflagellate,Dictyocha,spp.,3666.7
43-37,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,58666.7
69-5,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,6666.7
69-85,Tripos spp.,Dinoflagellate,Tripos,spp.,6666.7
4-57,Guinardia spp.,Centric diatom,Guinardia,spp.,10618
19-41,Radiolarian,Radiozoa,(null),(null),3333.3
