"","NRS_TRIP_CODE","Station","Latitude","Longitude","SampleDepth_m","StartTimeLocal","Biomass_mgm3","PROCHLOROCOCCUS_CELLSPERML","SYNECOCHOCCUS_CELLSPERML","PICOEUKARYOTES_CELLSPERML","SALINITY","SILICATE_UMOL_PER_L","NITRATE_UMOL_PER_L","PHOSPHATE_UMOL_PER_L","AMMONIUM_UMOL_PER_L","NITRITE_UMOL_PER_L","TCO2_UMOL_PER_KG","TALKALINITY_UMOL_PER_KG","OXYGEN_UMOL_PER_L","CPHL_C3","MG_DVP","CPHL_C2","CPHL_C1","CPHL_C1C2","CPHLIDE_A","PHIDE_A","PERID","PYROPHIDE_A","BUT_FUCO","FUCO","NEO","KETO_HEX_FUCO","PRAS","VIOLA","HEX_FUCO","ASTA","DIADCHR","DIADINO","DINO","ANTH","ALLO","MYXO","DIATO","ZEA","LUT","CANTHA","GYRO","DV_CPHL_B","CPHL_B","DV_CPHL_B_AND_CPHL_B","DV_CPHL_A","CPHL_A","DV_CPHL_A_AND_CPHL_A","ECHIN","PHYTIN_B","PHYTIN_A","LYCO","BETA_EPI_CAR","BETA_BETA_CAR","ALPHA_BETA_CAR","WaterDensity_kgm3","Temperature","PAR_umolm2s","Conductivity_Sm","SpecificConductivity_Sm","Salinity","Turbidity_NTU","Chlorophyll_mgm-3"
"1","NRSMAI20200810","Maria Island",-42.59667,148.23333,"0",2020-08-10 10:05:00,NA,NA,NA,NA,35.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","NRSMAI20200810","Maria Island",-42.59667,148.23333,"30",2020-08-10 10:05:00,NA,NA,NA,NA,35.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","NRSMAI20200810","Maria Island",-42.59667,148.23333,"40",2020-08-10 10:05:00,NA,NA,NA,NA,35.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","NRSMAI20200810","Maria Island",-42.59667,148.23333,"60",2020-08-10 10:05:00,NA,NA,NA,NA,35.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","NRSMAI20200810","Maria Island",-42.59667,148.23333,"WC",2020-08-10 10:05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","NRSMAI20200810","Maria Island",-42.59667,148.23333,"85",2020-08-10 10:05:00,NA,NA,NA,NA,35.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","NRSMAI20200810","Maria Island",-42.59667,148.23333,"20",2020-08-10 10:05:00,NA,NA,NA,NA,35.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","NRSMAI20200810","Maria Island",-42.59667,148.23333,"50",2020-08-10 10:05:00,NA,NA,NA,NA,35.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","NRSMAI20200810","Maria Island",-42.59667,148.23333,"75",2020-08-10 10:05:00,NA,NA,NA,NA,35.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","NRSMAI20200810","Maria Island",-42.59667,148.23333,"10",2020-08-10 10:05:00,NA,NA,NA,NA,35.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
