TAXON_NAME,START_DATE,PARENT_NAME
Acrocalanus spp. i,2010-09-16 00:00:00,Acrocalanus spp. j
Cyllopus lucasii,2008-09-29 00:00:00,Amphipod
Lingula spp. larvae,2008-09-29 00:00:00,Brachiopoda
Undinula vulgaris CII,2008-09-29 00:00:00,Calanid CII
Undinula vulgaris CIII,2008-09-29 00:00:00,Calanid CII
Calanus australis CIV,2008-09-29 00:00:00,Calanid CIV
Neocalanus tonsus CIV,2008-09-29 00:00:00,Calanid CIV
Undinula vulgaris CIV,2008-09-29 00:00:00,Calanid CIV
Calanoides spp. CV,2008-09-29 00:00:00,Calanid CV
Calanus australis CV,2008-09-29 00:00:00,Calanid CV
Calanus simillimus CV,2008-09-29 00:00:00,Calanid CV
Canthocalanus pauper CV,2008-09-29 00:00:00,Calanid CV
Large copepodite CV,2008-09-29 00:00:00,Calanid CV
Mesocalanus spp. CV,2008-09-29 00:00:00,Calanid CV
Nannocalanus minor CV,2008-09-29 00:00:00,Calanid CV
Neocalanus gracilis CV,2008-09-29 00:00:00,Calanid CV
Neocalanus spp. CV,2008-09-29 00:00:00,Calanid CV
Neocalanus tonsus CV,2008-09-29 00:00:00,Calanid CV
Rhincalanus gigas CIV-CV,2008-09-29 00:00:00,Calanid CV
Undinula vulgaris CV,2008-09-29 00:00:00,Calanid CV
Acrocalanus spp. j,2008-09-29 00:00:00,Calanoid j
Ctenocalanus spp. j,2008-09-29 00:00:00,Calanoid j
Calocalanus cf. minutus f,2008-09-29 00:00:00,Calocalanus spp. f
Calocalanus cf. pavoninus f,2008-09-29 00:00:00,Calocalanus spp. f
Calocalanus cf. styliremis f,2008-09-29 00:00:00,Calocalanus spp. f
Calocalanus contractus f,2008-09-29 00:00:00,Calocalanus spp. f
Calocalanus contractus m,2008-09-29 00:00:00,Calocalanus spp. f
Calocalanus styliremis f,2008-09-29 00:00:00,Calocalanus spp. f
Calocalanus tenuis f,2008-09-29 00:00:00,Calocalanus spp. f
Clio pyramidata,2008-09-29 00:00:00,Cavoliniidae
Clio spp.,2008-09-29 00:00:00,Cavoliniidae
Clione antarctica,2008-09-29 00:00:00,Cavoliniidae
Creseis spp.,2008-09-29 00:00:00,Cavoliniidae
Aidanosagitta neglecta,2010-09-23 00:00:00,Chaetognatha
Aidanosagitta regularis,2010-09-23 00:00:00,Chaetognatha
Eukrohnia hamata,2010-09-23 00:00:00,Chaetognatha
Flaccisagitta enflata,2010-09-23 00:00:00,Chaetognatha
Flaccisagitta spp.,2010-09-30 00:00:00,Chaetognatha
Mesosagitta minima,2010-09-23 00:00:00,Chaetognatha
Parasagitta spp.,2010-09-23 00:00:00,Chaetognatha
Pseudosagitta gazellae,2010-09-23 00:00:00,Chaetognatha
Pterosagitta draco,2010-09-23 00:00:00,Chaetognatha
Sagitta bipunctata,2010-09-23 00:00:00,Chaetognatha
Sagittidae,2010-09-23 00:00:00,Chaetognatha
