SAMPLE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,TAXON_PER_M3
1364,Onychocorycaeus giesbrechti f,COPEPOD,Copepod,Onychocorycaeus,giesbrechti,0.416
5845,Subeucalanus mucronatus f,COPEPOD,Copepod,Subeucalanus,mucronatus,5.239
1227,Urocorycaeus furcifer m,COPEPOD,Copepod,Urocorycaeus,furcifer,3.5363
5631,Urocorycaeus furcifer m,COPEPOD,Copepod,Urocorycaeus,furcifer,0.221
1349,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,1.4145
1449,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,0.5894
5621,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,10.2875
10796,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,3.5363
1222,Acartia (Acartiura) simplex f,COPEPOD,Copepod,Acartia (Acartiura),simplex,3.5363
1382,Acartia (Acartiura) simplex f,COPEPOD,Copepod,Acartia (Acartiura),simplex,2.0208
3089,Acartia (Acartiura) simplex f,COPEPOD,Copepod,Acartia (Acartiura),simplex,2.2453
1435,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,27.2024
3068,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,10.2502
3041,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,48.2225
5831,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,7.8585
7277,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,7.8585
8047,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,15.717
7494,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,13.6012
8585,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,7.8585
8675,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,13.6012
1314,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,1.1788
1363,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,10.609
3083,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,0.1664
9348,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,12.8593
10164,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,15.717
10734,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,7.8585
11364,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,6.4297
11870,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,6.4297
12555,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,8.8408
12426,Euchaeta concinna f,COPEPOD,Copepod,Euchaeta,concinna,10.881
1247,Siphonophore abylidae,NON-COPEPOD,Cnidarian,(null),(null),1.6001
1470,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,3.2148
1764,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,12.8593
6997,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,9.6445
10601,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,3.2148
11379,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,6.4297
1368,Centropages australiensis j,COPEPOD,Copepod,Centropages,australiensis,0.7073
1451,Centropages australiensis j,COPEPOD,Copepod,Centropages,australiensis,0.442
5719,Centropages australiensis j,COPEPOD,Copepod,Centropages,australiensis,3.5363
10861,Centropages australiensis j,COPEPOD,Copepod,Centropages,australiensis,0.7858
1355,Calocalanus styliremis f,COPEPOD,Copepod,Calocalanus,styliremis,3.2148
1470,Calocalanus styliremis f,COPEPOD,Copepod,Calocalanus,styliremis,3.2148
6576,Calocalanus styliremis f,COPEPOD,Copepod,Calocalanus,styliremis,1.886
1120,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,331.128
1121,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,12.8593
1144,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,17.6816
1331,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,2.1432
1361,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,6.4297
1363,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,7.0726
1379,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,16.0742
3059,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,13.6012
1530,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,6.4297
5775,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,3.5363
5901,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,20.4018
8473,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,37.7207
8489,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,2.3575
8962,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,19.289
1133,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,1.7682
1416,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,6.4297
5493,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,3.5363
10180,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,25.7187
1220,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,7.8585
1247,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,1.6001
1293,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,1.6001
1413,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,2.0208
1415,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,1.0104
1492,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,0.6801
5445,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,3.2148
5831,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,15.717
5929,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,2.2669
5073,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,40.8037
7631,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,16.3215
7747,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,15.717
8032,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,5.4405
8092,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,5.4405
8887,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,78.5848
9457,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,7.0726
9667,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,3.5363
10100,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,12.5736
10115,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,14.1453
10729,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,27.2024
12410,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,46.1259
5663,Stomatopod,NON-COPEPOD,Decapod,(null),(null),14.7347
1130,Pegea confoederata,NON-COPEPOD,Thaliacean,Pegea,confoederata,13.6012
1132,Pegea confoederata,NON-COPEPOD,Thaliacean,Pegea,confoederata,7.0726
1253,Sapphirina ovatolanceolata / gemma f,COPEPOD,Copepod,Sapphirina,ovatolanceolata/ gemma,1.0104
8489,Thalia democratica sol,NON-COPEPOD,Thaliacean,Thalia,democratica,4.7151
10466,Thalia democratica sol,NON-COPEPOD,Thaliacean,Thalia,democratica,66.0113
11364,Thalia democratica sol,NON-COPEPOD,Thaliacean,Thalia,democratica,6.4297
1219,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,26.5224
1222,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,330.9994
1287,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,10.609
1412,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,40.6677
1417,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,6.4297
1567,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,1.5717
1564,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,3.9292
1573,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,115.9126
1779,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,22.9861
3275,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,1.0104
3289,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,3.5363
3302,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,254.6149
5517,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,17.6816
5518,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,21.2179
4932,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,369.3488
9378,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,12.8593
7123,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,28.2905
7569,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,45.9721
7709,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,13.6012
8600,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,110.0188
8827,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,17.6816
9960,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,7.0726
10769,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,70.7264
10646,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,1045.5201
10537,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,43.6582
11437,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,47.1509
1243,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,32.1483
1363,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,7.0726
1394,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,1304.5084
4906,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,56.5811
5494,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,7.8585
5719,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,3.5363
