SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
1290,Yongala,-19.30847,147.61842,2010-08-17 10:15:00
1415,Kangaroo Island,-35.83217,136.44733,2012-02-15 11:50:00
1348,Yongala,-19.30847,147.61842,2011-08-11 11:00:00
1163,Maria Island,-42.59667,148.23333,2010-01-21 10:50:00
1251,Kangaroo Island,-35.83217,136.44733,2010-11-21 05:00:00
1355,North Stradbroke,-27.345,153.562,2011-08-16 10:00:00
1538,Darwin,-12.4,130.76805,2012-10-30 07:51:00
1544,Port Hacking,-34.11923,151.22667,2012-09-18 09:38:00
1561,Ningaloo,-21.99,113.779,2013-02-09 09:22:00
3018,North Stradbroke,-27.345,153.562,2013-07-07 09:40:00
4906,Port Hacking,-34.11923,151.22667,2013-07-26 09:24:00
3062,Yongala,-19.30847,147.61842,2013-08-08 10:58:00
3083,Port Hacking,-34.11923,151.22667,2013-05-15 09:40:00
3095,Ningaloo,-21.99,113.779,2013-08-06 14:03:00
3113,Rottnest Island,-32,115.41667,2013-07-12 12:35:00
3316,Maria Island,-42.59667,148.23333,2013-11-18 10:50:00
3023,North Stradbroke,-27.345,153.562,2013-04-18 10:05:00
5497,Maria Island,-42.59667,148.23333,2014-05-16 10:20:00
5633,Kangaroo Island,-35.83217,136.44733,2014-03-13 14:00:00
5498,Rottnest Island,-32,115.41667,2013-10-17 08:00:00
6774,Maria Island,-42.59667,148.23333,2014-10-30 09:27:00
1586,Rottnest Island,-32,115.41667,2012-07-27 09:55:00
1739,Esperance,-33.93333,121.85,2012-06-12 09:24:00
1091,North Stradbroke,-27.345,153.562,2009-07-20 11:07:00
1436,North Stradbroke,-27.345,153.562,2012-08-06 10:15:00
1442,North Stradbroke,-27.345,153.562,2012-08-21 10:15:00
1125,Esperance,-33.93333,121.85,2009-09-17 09:40:00
1393,Rottnest Island,-32,115.41667,2011-10-20 12:00:00
1343,Yongala,-19.30847,147.61842,2011-03-23 10:49:00
1114,Maria Island,-42.59667,148.23333,2009-12-07 11:10:00
1397,Yongala,-19.30847,147.61842,2011-09-08 11:00:00
1330,North Stradbroke,-27.345,153.562,2011-06-06 10:00:00
1409,Maria Island,-42.59667,148.23333,2012-04-12 10:45:00
1410,Port Hacking,-34.11923,151.22667,2011-12-07 09:30:00
1289,Yongala,-19.30847,147.61842,2010-09-09 11:00:00
1399,Yongala,-19.30847,147.61842,2011-12-13 12:55:00
1359,Maria Island,-42.59667,148.23333,2011-08-12 10:55:00
1096,Maria Island,-42.59667,148.23333,2009-05-06 11:20:00
1115,North Stradbroke,-27.345,153.562,2009-11-16 08:20:00
1396,Rottnest Island,-32,115.41667,2012-01-30 11:09:00
1118,North Stradbroke,-27.345,153.562,2009-12-16 09:00:00
1108,Maria Island,-42.59667,148.23333,2009-08-20 11:30:00
1400,Yongala,-19.30847,147.61842,2012-01-12 11:30:00
1216,Maria Island,-42.59667,148.23333,2010-06-15 11:10:00
7464,North Stradbroke,-27.345,153.562,2015-05-12 10:15:00
7569,Kangaroo Island,-35.83217,136.44733,2015-02-25 08:55:00
7615,Maria Island,-42.59667,148.23333,2015-05-26 10:35:00
7947,Port Hacking,-34.11923,151.22667,2015-07-23 10:07:00
8585,Rottnest Island,-32,115.41667,2016-02-23 08:57:00
8630,Yongala,-19.30847,147.61842,2016-01-22 10:39:00
8750,Kangaroo Island,-35.83217,136.44733,2016-05-26 07:35:00
8796,Maria Island,-42.59667,148.23333,2016-07-21 09:30:00
8872,Port Hacking,-34.11923,151.22667,2016-04-08 09:13:00
8887,Rottnest Island,-32,115.41667,2016-06-21 09:26:00
9311,Port Hacking,-34.11923,151.22667,2016-08-30 09:20:00
7631,Yongala,-19.30847,147.61842,2015-03-24 15:15:00
8077,Yongala,-19.30847,147.61842,2015-09-23 13:11:00
9054,North Stradbroke,-27.345,153.562,2016-09-20 10:15:00
9730,Rottnest Island,-32,115.41667,2017-01-20 10:20:00
10675,Yongala,-19.30847,147.61842,2018-01-30 10:05:00
10332,Port Hacking,-34.11923,151.22667,2017-10-25 09:01:00
10586,North Stradbroke,-27.345,153.562,2018-03-20 10:40:00
10563,Yongala,-19.30847,147.61842,2017-10-26 09:56:00
10774,Rottnest Island,-32,115.41667,2017-11-23 10:05:00
11108,Yongala,-19.30847,147.61842,2018-04-26 09:48:00
11323,Yongala,-19.30847,147.61842,2018-06-21 11:30:00
11806,Maria Island,-42.59667,148.23333,2019-06-24 10:10:00
12364,Port Hacking,-34.11923,151.22667,2019-09-24 09:36:00
