Sample,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Centric diatom,Ciliate,Cyanobacteria,Dinoflagellate,Flagellate,Foraminifera,Pennate diatom,Radiozoa,Silicoflagellate
13185,Maria Island,-42.59667,148.23333,2020-08-10T10:05:00Z,2020,8,10,10:05:00,275,1425,0,16230.56,207827.77,0,750,0,150
13137,Maria Island,-42.59667,148.23333,2020-06-29T09:45:00Z,2020,6,29,09:45:00,250,600,0,4535.71,327267.86,0,475,0,50
13215,Port Hacking,-34.11923,151.22667,2020-06-10T09:32:00Z,2020,6,10,09:32:00,4925,775,400,14940.38,153076.92,0,325,0,100
13067,North Stradbroke,-27.345,153.562,2020-05-28T11:00:00Z,2020,5,28,11:00:00,3850,0,0,3645,16000,0,1575,0,25
13114,Maria Island,-42.59667,148.23333,2020-05-26T10:10:00Z,2020,5,26,10:10:00,20600,100,0,15554.55,266363.63,0,9000,0,0
12959,Yongala,-19.30847,147.61842,2020-03-06T10:25:00Z,2020,3,6,10:25:00,744.69,53.19,15159.57,638.31,12765.95,0,452.13,0,0
12912,Rottnest Island,-32,115.41667,2020-03-04T09:25:00Z,2020,3,4,09:25:00,15578.21,204.08,0,4931.98,159183.67,0,7687.08,0,0
12714,North Stradbroke,-27.345,153.562,2020-02-28T10:30:00Z,2020,2,28,10:30:00,9450,0,3750,2550,28500,0,4500,0,0
12864,Port Hacking,-34.11923,151.22667,2020-02-25T08:52:00Z,2020,2,25,08:52:00,14099,158.41,0,1029.7,5940.6,0,237.62,0,0
12993,Maria Island,-42.59667,148.23333,2020-02-24T10:30:00Z,2020,2,24,10:30:00,29200,1200,0,12230,105000,0,6400,0,0
12944,Yongala,-19.30847,147.61842,2020-02-13T09:47:00Z,2020,2,13,09:47:00,13571.41,51.02,204.08,989.79,201298.7,0,3418.36,0,0
12789,Darwin,-12.4,130.76805,2020-02-04T16:01:00Z,2020,2,4,16:01:00,12300,1700,0,2900,0,0,26500,0,0
12819,Kangaroo Island,-35.83217,136.44733,2020-02-04T14:25:00Z,2020,2,4,14:25:00,6310.67,145.63,0,703.87,133980.59,0,339.8,0,0
12896,Rottnest Island,-32,115.41667,2020-01-28T09:39:00Z,2020,1,28,09:39:00,833.34,710.79,0,1715.69,196078.43,0,2696.09,24.51,490.2
12698,North Stradbroke,-27.345,153.562,2020-01-22T10:35:00Z,2020,1,22,10:35:00,28200,0,0,2000,41000,0,1700,0,0
12929,Yongala,-19.30847,147.61842,2020-01-16T10:05:00Z,2020,1,16,10:05:00,2929.3,883.84,454545.45,1045.45,58585.86,0,2020.19,0,0
12976,Maria Island,-42.59667,148.23333,2020-01-07T09:45:00Z,2020,1,7,09:45:00,2200,466.67,0,9013.33,267500,0,13466.67,0,0
12682,North Stradbroke,-27.345,153.562,2019-12-20T10:20:00Z,2019,12,20,10:20:00,36779.34,0,3976.14,2186.88,89960.24,0,39562.62,0,0
12880,Rottnest Island,-32,115.41667,2019-12-18T09:15:00Z,2019,12,18,09:15:00,774.41,639.73,0,410.77,118835.41,0,8956.23,0,0
12849,Port Hacking,-34.11923,151.22667,2019-12-17T09:02:00Z,2019,12,17,09:02:00,5180.97,2819.05,0,2314.29,126349.2,38.1,2552.38,0,0
12666,Maria Island,-42.59667,148.23333,2019-12-11T09:30:00Z,2019,12,11,09:30:00,162666.68,8666.67,0,26270,522000,0,38000,0,0
12552,Yongala,-19.30847,147.61842,2019-12-03T09:45:00Z,2019,12,3,09:45:00,49200,1400,4000,6763.33,225555.56,0,15600,0,0
12804,Kangaroo Island,-35.83217,136.44733,2019-11-27T14:25:00Z,2019,11,27,14:25:00,12750,600,0,1480,92500,0,3900,0,50
12584,Rottnest Island,-32,115.41667,2019-11-26T09:30:00Z,2019,11,26,09:30:00,3498.37,858.09,5280.53,841.58,82508.25,0,16303.65,0,330.03
12649,Maria Island,-42.59667,148.23333,2019-11-22T09:23:00Z,2019,11,22,09:23:00,122641.52,1347.71,0,19132.52,390566.03,0,35489.67,0,0
12834,Port Hacking,-34.11923,151.22667,2019-11-19T09:15:00Z,2019,11,19,09:15:00,16137.08,685.36,0,5065.43,214953.27,0,1806.87,0,0
12537,Yongala,-19.30847,147.61842,2019-11-07T10:10:00Z,2019,11,7,10:10:00,2200,50,3125,3985,50000,0,3350,0,0
12729,Darwin,-12.4,130.76805,2019-11-06T07:38:00Z,2019,11,6,07:38:00,5215.85,761.91,1904.76,1542.84,0,0,13460.3,0,0
12600,Rottnest Island,-32,115.41667,2019-11-04T09:25:00Z,2019,11,4,09:25:00,38000,500,23000,2050,90500,0,2600,0,0
12615,Port Hacking,-34.11923,151.22667,2019-10-29T09:30:00Z,2019,10,29,09:30:00,112611.9,801.44,0,2814.27,165898.61,0,30855.55,0,400.72
12461,North Stradbroke,-27.345,153.562,2019-10-24T10:20:00Z,2019,10,24,10:20:00,71464.01,0,0,330.85,121266.96,0,71133.16,0,0
12632,Maria Island,-42.59667,148.23333,2019-10-16T09:40:00Z,2019,10,16,09:40:00,196890.91,2600,0,4010,242500,0,5600,0,200
12568,Rottnest Island,-32,115.41667,2019-10-11T10:07:00Z,2019,10,11,10:07:00,2955.38,247.52,0,188.11,52970.3,0,1980.18,24.75,0
12522,Yongala,-19.30847,147.61842,2019-10-09T10:00:00Z,2019,10,9,10:00:00,20808.08,1212.12,0,13023.56,158249.16,0,8282.82,0,101.01
12199,Maria Island,-42.59667,148.23333,2019-09-25T10:03:00Z,2019,9,25,10:03:00,452991.45,2331,0,21998.22,326118.33,0,80031.08,0,0
12376,Port Hacking,-34.11923,151.22667,2019-09-24T09:36:00Z,2019,9,24,09:36:00,2023.26,1651.16,0,1558.15,273754.16,0,2418.6,0,116.28
12507,Yongala,-19.30847,147.61842,2019-09-17T10:10:00Z,2019,9,17,10:10:00,2390.11,1291.21,1098.9,2302.21,214285.71,0,1978.02,0,0
12247,North Stradbroke,-27.345,153.562,2019-09-16T10:20:00Z,2019,9,16,10:20:00,32300,300,0,4866.67,328333.34,0,9200,0,0
12346,Kangaroo Island,-35.83217,136.44733,2019-09-10T07:50:00Z,2019,9,10,07:50:00,375,975,0,4727.14,152142.86,0,1025,0,200
12116,Maria Island,-42.59667,148.23333,2019-08-29T09:20:00Z,2019,8,29,09:20:00,32054.81,1232.88,0,7515.12,142142.86,0,21232.89,0,821.92
12361,Port Hacking,-34.11923,151.22667,2019-08-28T09:59:00Z,2019,8,28,09:59:00,875.57,1428.57,0,6164.36,323486.95,0,414.75,0,0
12478,Yongala,-19.30847,147.61842,2019-08-26T10:40:00Z,2019,8,26,10:40:00,650,175,0,1400,22000,0,225,125,0
12231,North Stradbroke,-27.345,153.562,2019-08-21T10:40:00Z,2019,8,21,10:40:00,73140.47,0,0,2582.64,8264.46,0,37809.92,0,0
12423,Rottnest Island,-32,115.41667,2019-08-19T08:31:00Z,2019,8,19,08:31:00,6150,500,0,3000,209000,0,10350,0,50
12492,Yongala,-19.30847,147.61842,2019-08-08T10:04:00Z,2019,8,8,10:04:00,12525.24,0,10101.01,1212.12,67171.71,67.34,8417.5,0,0
12099,Maria Island,-42.59667,148.23333,2019-07-31T10:20:00Z,2019,7,31,10:20:00,8714.4,1489.64,0,2807.98,210204.08,0,14673.02,0,148.96
12391,Port Hacking,-34.11923,151.22667,2019-07-29T10:03:00Z,2019,7,29,10:03:00,78624.04,245.7,0,4288.59,166115.7,0,13513.51,0,0
12331,Darwin,-12.4,130.76805,2019-07-23T16:00:00Z,2019,7,23,16:00:00,3530,1700,0,700,0,100,27000,0,1000
12215,North Stradbroke,-27.345,153.562,2019-07-23T10:20:00Z,2019,7,23,10:20:00,14142.41,0,0,2256.77,253259.79,0,15747.24,0,0
12407,Rottnest Island,-32,115.41667,2019-07-11T09:26:00Z,2019,7,11,09:26:00,2076.91,641.02,0,1179.47,173570.02,0,3794.86,0,282.05
12438,Yongala,-19.30847,147.61842,2019-07-03T10:50:00Z,2019,7,3,10:50:00,30937.51,1062.51,54166.67,125.01,44791.66,104.17,13020.83,0,0
12006,Port Hacking,-34.11923,151.22667,2019-06-27T09:38:00Z,2019,6,27,09:38:00,1388.89,580.8,1262.63,3023.08,150072.14,0,1010.1,25.25,126.26
11819,Maria Island,-42.59667,148.23333,2019-06-24T10:10:00Z,2019,6,24,10:10:00,480.28,1213.35,0,985.86,463094.03,0,404.45,0,151.67
11976,Rottnest Island,-32,115.41667,2019-06-21T09:15:00Z,2019,6,21,09:15:00,3432.33,330.04,0,1023.1,77722.77,0,6039.6,0,330.03
11951,North Stradbroke,-27.345,153.562,2019-06-18T10:00:00Z,2019,6,18,10:00:00,46373.85,204.29,0,0,73033.71,0,26149.13,0,0
11787,Darwin,-12.4,130.76805,2019-05-30T08:39:00Z,2019,5,30,08:39:00,11122.28,1072.03,0,402.01,0,0,10251.26,0,469.01
12067,Yongala,-19.30847,147.61842,2019-05-28T10:25:00Z,2019,5,28,10:25:00,41245.78,1515.15,26868.69,673.4,86363.63,0,20370.37,0,168.35
11867,North Stradbroke,-27.345,153.562,2019-05-27T10:15:00Z,2019,5,27,10:15:00,54468.07,0,0,851.07,27659.57,0,16808.5,0,0
11939,Rottnest Island,-32,115.41667,2019-05-27T09:28:00Z,2019,5,27,09:28:00,6336.63,297.02,3960.4,1749.17,92079.21,0,3135.3,33,528.05
11991,Port Hacking,-34.11923,151.22667,2019-05-23T08:50:00Z,2019,5,23,08:50:00,17100,500,30000,1040,177500,0,11000,0,0
12036,Kangaroo Island,-35.83217,136.44733,2019-05-14T15:35:00Z,2019,5,14,15:35:00,1216.42,1046.68,0,933.54,212871.29,0,4695.91,0,990.1
12082,Yongala,-19.30847,147.61842,2019-05-07T11:30:00Z,2019,5,7,11:30:00,82803.02,1515.15,4545.45,4146.36,98500,0,26151.51,0,606.06
11923,Rottnest Island,-32,115.41667,2019-05-07T09:40:00Z,2019,5,7,09:40:00,4712.85,346.53,0,544.54,157708.63,0,10346.52,0,148.51
11803,Maria Island,-42.59667,148.23333,2019-05-01T09:47:00Z,2019,5,1,09:47:00,2731.94,1597.93,0,355.65,372852.23,0,721.65,0,77.32
11851,North Stradbroke,-27.345,153.562,2019-04-16T10:10:00Z,2019,4,16,10:10:00,7135.89,0,0,1515.16,18572.82,0,9237.55,0,0
11885,Port Hacking,-34.11923,151.22667,2019-04-09T08:50:00Z,2019,4,9,08:50:00,657.28,422.53,3286.38,7776.34,192061.45,0,938.96,0,23.47
11835,North Stradbroke,-27.345,153.562,2019-03-22T10:50:00Z,2019,3,22,10:50:00,13255.36,0,1296.3,3335.52,124539.74,0,24366.48,0,487.33
11713,Maria Island,-42.59667,148.23333,2019-03-21T09:35:00Z,2019,3,21,09:35:00,1067.95,3082.52,0,1650.47,69441.75,0,946.59,0,0
