Latitude,Longitude,SampleDateUTC,Year,Month,Day,Time_24hr,Region,Route,BioRegion,ZoopAbundance_m3,CopeAbundance_m3,AvgTotalLengthCopepod_mm,HerbivoreCarnivoreCopepodRatio,Biomass_mgCarbon_m3,NoCopepodSpecies_Sample,ShannonCopepodDiversityCPR,CopepodEvenness,PhytoBiomassCarbon_pg_m3,AbundancePhyto_cells_m3,DiatomDinoflagellateRatio,AvgCellVol_um3,NoPhytoSpecies_Sample,ShannonPhytoDiversitycpr,PhytoEvenness,NoDiatomSpecies_Sample,ShannonDiatomDiversitycpr,DiatomEvenness,NoDinoSpecies_Sample,ShannonDinoDiversitycpr,DinoflagellateEvenness,sst_1d,chl_oc3_1d
-34.16882,151.28507,2009-07-27 07:31:20,2009,7,27,07:31:20,SEAC,SYME,Temperate East,10.6739,5.023,1.00126398566594,0.5,,,,,24288166.4548596,63708,,7068.5775,,,,,,,,,,,
-36.2417,150.72227,2009-07-27 13:22:47,2009,7,27,13:22:47,SEAC,SYME,Temperate East,17.5804,15.0689,1.30937556822329,0.944441986603785,,6,1.24401669579289,0.694298937529185,117572007.749847,173427.3,,9709.27810340173,1,0,,,,,,,,,
-36.58362,150.60679,2009-07-27 14:21:21,2009,7,27,14:21:21,SEAC,SYME,South-east,34.5327,33.277,1.27229428797136,0.972220870403879,,15,2.16588861970472,0.799796332735328,6790732251.25714,46011.3,0.923077591808969,5040523.69947423,1,0,,,,,1,0,,,
-38.38986,149.36503,2010-01-14 06:34:38,2010,1,14,06:34:38,SEAC,SYME,South-east,80.6669,30.0001,1.02888858703804,0.904761054424806,,8,1.21605415134848,0.584798431200962,593553023.570193,72000.1,0.833332175927533,276712.487001561,6,0.744754905327969,0.415655626839708,1,0,,5,1.16410419051645,0.72329860103511,,
-38.72665,148.16448,2010-01-14 09:46:46,2010,1,14,09:46:46,SEAC,SYME,South-east,90.6669,43.3334,1.10646193236626,0.982757773484678,,8,1.07656629635005,0.517718952310806,112761022.524684,17333.3,0.4000036000144,73092.4540560014,3,1.09861228866811,1,,,,3,1.09861228866811,1,,
-37.51904,150.27325,2009-07-27 17:02:26,2009,7,27,17:02:26,SEAC,SYME,South-east,,,,,,,,,43675885.2213788,116798,,6916.87818181818,,,,,,,,,,,
-37.86697,149.92835,2009-07-27 18:15:39,2009,7,27,18:15:39,SEAC,SYME,South-east,10.6738,8.1623,1.13461401810764,,,2,0.693147180559945,1,63334110.6734548,169887.9,,6892.00347302504,,,,,,,,,,,
-30.72829,153.37943,2009-06-27 05:57:11,2009,6,27,05:57:11,NEAC,BRSY,Temperate East,8.0001,5.3334,1.74499953125586,,,3,0.950270539233235,0.864973520717927,2901834.28470051,10000,,5083.26715277778,,,,,,,,,,,
-31.2968,153.22095,2009-06-27 07:50:24,2009,6,27,07:50:24,NEAC,BRSY,Temperate East,46.6669,29.3335,1.63864414406736,0.921053150966112,,13,2.22428579273227,0.867185071807261,6727649.77572322,26666.6,,4391.39178577113,,,,,,,,,,,
-34.10803,151.27888,2009-06-29 05:07:05,2009,6,29,05:07:05,SEAC,SYME,Temperate East,2.0001,1.3334,0.8775,,,1,0,,1136261.61416363,3333.3,,6157.57797577976,,,,,,,,,,,
-35.74229,150.88706,2009-06-29 09:50:55,2009,6,29,09:50:55,SEAC,SYME,Temperate East,21.3336,12.6669,1.28080284047399,0.899998500052498,,9,1.83437197028162,0.834858661787547,815512.668676157,3333.3,,4090.65288569552,,,,,,,,,,,
-36.06269,150.78236,2009-08-24 11:25:59,2009,8,24,11:25:59,SEAC,SYME,Temperate East,4.0001,4.0001,1.63168245793855,,,4,1.03972077083992,0.75,,,,,,,,,,,,,,,
