NRScode,Station,Latitude,Longitude,SampleDateLocal,StationDepth_m,SampleDepth_m,Year,Month,Day,Time_24hr,SampleDateUTC,Biomass_mgm3,Secchi_m,Silicate_umol_L,Phosphate_umol_L,Ammonium_umol_L,Nitrate_umol_L,Nitrite_umol_L,Oxygen_umol_L,TCO2_umol_kg,TAlkalinity_umol_kg,Salinity,Prochlorococcus_cells_ml,Synecochoccus_cells_ml,Picoeukaryotes_cells_ml,CPHL_C3,MG_DVP,CPHL_C2,CPHL_C1,CPHL_C1C2,CPHLIDE_A,PHIDE_A,PERID,PYROPHIDE_A,BUT_FUCO,FUCO,NEO,KETO_HEX_FUCO,PRAS,VIOLA,HEX_FUCO,ASTA,DIADCHR,DIADINO,DINO,ANTH,ALLO,MYXO,DIATO,ZEA,LUT,CANTHA,GYRO,DV_CPHL_B,CPHL_B,DV_CPHL_B_AND_CPHL_B,DV_CPHL_A,CPHL_A,DV_CPHL_A_AND_CPHL_A,ECHIN,PHYTIN_B,PHYTIN_A,LYCO,BETA_EPI_CAR,BETA_BETA_CAR,ALPHA_BETA_CAR,PYROPHYTIN_A,TSS_mg_L,InorganicFraction_mg_L,OrganicFraction_mg_L,CTDDensity_kgm3,CTDTemperature,CTDPAR_umolm2s,CTDConductivity_sm,CTDSalinity,CTDChlF_mgm3,CTDTurbidity_ntu
NSI20100817,North Stradbroke,-27.345,153.562,2010-08-18 08:25:00,60,10,2010,8,18,08:25:00,2010-08-17T22:25:00Z,,,0.4,0.13,0.09,0,,,2008.63,2324.99,35.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.7888,21.3605,,4.988713,35.4604,0.3501,0.11
NSI20100817,North Stradbroke,-27.345,153.562,2010-08-18 08:25:00,60,20,2010,8,18,08:25:00,2010-08-17T22:25:00Z,,,0.3,0.12,0.02,0.1,,,,,35.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.8322,21.3526,,4.988324,35.4602,0.3092,0.1498
PHB20100817,Port Hacking,-34.11923,151.22667,2010-08-18 09:30:00,100,10,2010,8,18,09:30:00,2010-08-17T23:30:00Z,,,0.9,0.15,0.07,2,,,,,35.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.9675,17.012,,4.553061,35.5385,3.4218,0.1254
PHB20100817,Port Hacking,-34.11923,151.22667,2010-08-18 09:30:00,100,75,2010,8,18,09:30:00,2010-08-17T23:30:00Z,,,1.4,0.24,0.22,3.4,,,2060.86,2331.73,35.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.3821,16.0503,,4.4465115,35.42585,1.06925,0.2135
NSI20100916,North Stradbroke,-27.345,153.562,2010-09-16 12:45:00,60,20,2010,9,16,12:45:00,2010-09-16T02:45:00Z,,,0.5,0.24,0.14,0.2,,,,,35.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.8169,21.4363,,4.997916,35.4676,0.2457,0.3591
MAI20101001,Maria Island,-42.59667,148.23333,2010-10-01 12:40:00,86,30,2010,10,1,12:40:00,2010-10-01T02:40:00Z,,,1,0.4,0,4.3,,273.8,2090.76,2311.33,35.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.9125,12.4909,,4.096024,35.4588,0.2835,0.2439
NSI20101018,North Stradbroke,-27.345,153.562,2010-10-18 10:00:00,60,10,2010,10,18,10:00:00,2010-10-18T00:00:00Z,,,0.7,0.22,0.06,0.2,,,2007.57,2316.17,35.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.4803,22.1985,,5.063164,35.3617,0.3539,0.0491
NSI20101018,North Stradbroke,-27.345,153.562,2010-10-18 10:00:00,60,30,2010,10,18,10:00:00,2010-10-18T00:00:00Z,,,1,0.24,0.35,0.2,,,2012.53,2319.13,35.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.6299,22.0574,,5.053658,35.3952,0.3376,0.2168
KAI20110123,Kangaroo Island,-35.83217,136.44733,2011-01-24 07:40:00,110,60,2011,1,24,07:40:00,2011-01-23T21:10:00Z,,,0.5,0,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.6586,15.39925,0.17085,4.4138435,35.7248,1.98495,0.11245
NSI20110220,North Stradbroke,-27.345,153.562,2011-02-21 09:40:00,60,0,2011,2,21,09:40:00,2011-02-20T23:40:00Z,,,0.6,0.03,0.22,0,,,1966.42,2299.14,35.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.6,0.5,,,,,,,
