NRScode,Station,Latitude,Longitude,SampleDateLocal,StationDepth_m,Year,Month,Day,Time_24hr,ZoopAbundance_m3,CopeAbundance_m3,Biomass_mgm3,AvgTotalLengthCopepod_mm,HerbivoreCarnivoreCopepodRatio,NoCopepodSpecies_Sample,ShannonCopepodDiversity,CopepodEvenness,PhytoBiomassCarbon_pg_L,AbundancePhyto_cells_L,DiatomDinoflagellateRatio,AvgCellVol_um3,NoPhytoSpecies_Sample,ShannonPhytoDiversity,PhytoEvenness,NoDiatomSpecies_Sample,ShannonDiatomDiversity,DiatomEvenness,NoDinoSpecies_Sample,ShannonDinoDiversity,DinoflagellateEvenness,CTD_SST_C,CTDChlF_mgm3,Silicate_umol_L,Phosphate_umol_L,Ammonium_umol_L,Nitrate_umol_L,Nitrite_umol_L,Oxygen_umol_L,TCO2_umol_kg,TAlkalinity_umol_kg,Salinity_umol_L,Chla_mgm3
PHB20100702,Port Hacking,-34.11923,151.22667,2010-07-02 11:35:00,100,2010,7,2,11:35:00,1729.2594,1372.0913,56.22745,0.753015469524513,0.971563988029425,23,2.57203198130225,0.820295559224967,7976334.46147021,230636,0.277157881236373,432.233948906502,10,1.84922560188155,0.803108474691378,9,1.78568721612315,0.812701275300685,1,0,,,,1.98,0.253,0.496,4.06,,,2061.8,2326.73166666667,35.4599,
PHB20100817,Port Hacking,-34.11923,151.22667,2010-08-18 09:30:00,100,2010,8,18,09:30:00,2036.9189,1464.0355,66.4368,0.671634009828192,0.981651468970796,24,2.47884242208612,0.779987550372841,17293190.3793045,222379,0.400840412898511,1552.94630581125,12,2.024775824557,0.814829734038398,10,1.96155487952893,0.851892460129811,2,0.693147180559945,1,17.0220777777778,2.79744444444444,1.11,0.189,0.114,2.53,,,2056.36833333333,2331.32333333333,35.56,
NSI20101018,North Stradbroke,-27.345,153.562,2010-10-18 10:00:00,60,2010,10,18,10:00:00,6442.5283,4198.5739,25.14643,0.729344755114496,0.977049172302723,27,2.33046849108665,0.707094612334975,61727162.4328078,358038,0.897057290761908,5533.4387001659,15,1.87483939609028,0.69232076839905,13,1.83683185761752,0.716127923646564,2,0.636514168294813,0.918295834054489,22.2097666666667,0.3211,1.52857142857143,0.387142857142857,0.154285714285714,2.75714285714286,,,2038.142,2320.538,35.441,
MAI20101027,Maria Island,-42.59667,148.23333,2010-10-27 12:50:00,86,2010,10,27,12:50:00,346.5597,210.4112,13.44684,1.22202206110137,,25,2.49711023106839,0.775770911004508,106221939.27265,370358,0.914150370003697,6997.24065034372,16,0.937358599682276,0.338080650824061,15,0.936739462873153,0.345909194184025,1,0,,12.4510555555556,0.607366666666667,0.777777777777778,0.356666666666667,0.714444444444444,3.35555555555556,,275.811111111111,2068.96166666667,2308.09666666667,35.044,
KAI20110123,Kangaroo Island,-35.83217,136.44733,2011-01-24 07:40:00,110,2011,1,24,07:40:00,,,,,,,,,40269028.6923791,222464,0.225383034379671,4841.08575989823,6,1.27700277683252,0.712708819885679,5,1.1813974463154,0.734043504995273,1,0,,18.2220055555556,0.86395,0.3,0.0355555555555556,,0.677777777777778,,,2104.54833333333,2360.83833333333,,
NSI20110220,North Stradbroke,-27.345,153.562,2011-02-21 09:40:00,60,2011,2,21,09:40:00,5195.1732,4256.4415,7.1305,0.684844567532448,0.974719073634574,40,2.82301253898685,0.765276440746403,60679144.7259554,394837,0.969229807340187,4006.82003414067,17,1.40814354978203,0.49701288917623,16,1.40722516459733,0.50754919159468,1,0,,27.4566111111111,0.182244444444444,1.14285714285714,0.198571428571429,0.277142857142857,2.15714285714286,,,2019.396,2319.4375,35.3312857142857,
KAI20110223,Kangaroo Island,-35.83217,136.44733,2011-02-23 10:30:00,110,2011,2,23,10:30:00,101.7573,42.7009,0.27583,0.548787683631961,0.993311593490153,16,1.9174877823554,0.691587528642328,97520856.2761499,397023,0.953770696723482,6605.75584933367,22,1.94458962245567,0.629104792896952,14,1.87271467505764,0.709615003070303,8,1.79153245000674,0.861544993738792,17.5814,0.49873,0.588888888888889,0.295555555555556,0.192222222222222,2.9,,,2110.98,2345.42166666667,,
MAI20110407,Maria Island,-42.59667,148.23333,2011-04-07 10:30:00,86,2011,4,7,10:30:00,589.6818,362.4731,4.26568,0.927775995760187,0.986725384680064,30,2.68019231011886,0.788014340058399,25820328.0480607,432651,0.54863813229572,1354.19630101398,19,1.55842667891194,0.529277967700701,13,1.44323348483085,0.562675235919349,5,1.41427906512471,0.87874099037829,15.9097333333333,0.222855555555556,0.7,0.2475,0.35,2.1875,,255.177777777778,2070.855,2320.772,35.2866666666667,
PHB20110717,Port Hacking,-34.11923,151.22667,2011-07-18 09:38:00,100,2011,7,18,09:38:00,60.063,46.8176,0.41374,0.587521160067023,0.977035163958835,30,2.63753046627617,0.77547115627474,47428654.601716,432487,0.922211060453855,3121.50863514973,19,2.27360964427885,0.772170746402257,17,2.25191681307473,0.794827829608742,2,0.293235093850938,0.423048815713358,,,1.97,0.472,0.778,6.4,,,2078.91,2323.50166666667,35.4245,
YON20100413,Yongala,-19.30847,147.61842,2010-04-13 14:14:00,28.9,2010,4,13,14:14:00,9214.8278,7501.0738,27.09363,0.905695322336429,0.926701660969353,30,2.53998888429296,0.746792555465178,9034885.22082766,308968,0.380040884593942,418.933706532715,12,1.63159396929212,0.656601715574031,12,1.63159396929212,0.656601715574031,,,,27.348675,0.305625,2.95,0.0375,0.0175,0,,,1936.175,2250.22,34.46025,
