NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Centric diatom,Ciliate,Cyanobacteria,Dinoflagellate,Flagellate,Foraminifera,Pennate diatom,Radiozoa,Silicoflagellate
MAI20201118,Maria Island,-42.59667,148.23333,2020-11-19T09:45:00Z,2020,11,19,09:45:00,9690455.24804687,1985173.99348958,0,2659879.53333333,67506785.1190476,0,335000,0,0
YON20201026,Yongala,-19.30847,147.61842,2020-10-26T10:40:00Z,2020,10,26,10:40:00,96879570.1557347,835529.255319149,1370476.86103723,10113858.8278369,3750412.31737589,0,1623136.90452128,0,0
MAI20201020,Maria Island,-42.59667,148.23333,2020-10-21T10:10:00Z,2020,10,21,10:10:00,4431278.14479167,5216592.74172222,0,3170073.74933333,147043865.277778,0,7e+06,0,0
ROT20201013,Rottnest Island,-32,115.41667,2020-10-13T09:18:00Z,2020,10,13,09:18:00,2146202.01052632,3504715.7783443,0,2402627.40482456,10212599.0712074,0,11783617.5877193,0,0
MAI20200928,Maria Island,-42.59667,148.23333,2020-09-29T09:00:00Z,2020,9,29,09:00:00,2861623197.70003,23167408.2002315,0,65132022.3314921,25805917.8571429,0,52083333.3333333,0,0
YON20200926,Yongala,-19.30847,147.61842,2020-09-26T12:33:00Z,2020,9,26,12:33:00,39023679.1986147,7146341.29886168,64928892.2938144,5786544.28187285,3474911.61941581,0,654639.175257732,0,0
PHB20200922,Port Hacking,-34.11923,151.22667,2020-09-23T09:19:00Z,2020,9,23,09:19:00,506908246.010401,8373576.9839065,0,6157158.71907046,6640294.39724919,0,8000935.7819628,0,2392450.56683043
DAR20200921_2130,Darwin,-12.4,130.76805,2020-09-22T07:00:00Z,2020,9,22,07:00:00,501204721.561842,2152953.67324561,421882.467631579,16063776.4042105,0,0,75958340.1910526,0,1291772.20394737
NSI20200917,North Stradbroke,-27.345,153.562,2020-09-17T10:20:00Z,2020,9,17,10:20:00,1910702287.15976,46879684.9740933,0,373301.195164076,3357269.10621762,0,4688082.9015544,0,0
MAI20200909,Maria Island,-42.59667,148.23333,2020-09-10T09:00:00Z,2020,9,10,09:00:00,169244626.597167,23057647.4451667,0,41940627.3573333,30564398.2104167,0,1197000,0,0
YON20200904,Yongala,-19.30847,147.61842,2020-09-04T11:11:00Z,2020,9,4,11:11:00,1293426964.14063,29104053.0731293,12658523.9923469,19791660.8106576,23875816.8579932,0,5499574.82993197,0,0
PHB20200831,Port Hacking,-34.11923,151.22667,2020-09-01T09:44:00Z,2020,9,1,09:44:00,2127932424.575,72992880.15625,0,8874991.75,26376266.0416667,0,3100000,0,2045305.98958333
ROT20200825,Rottnest Island,-32,115.41667,2020-08-25T10:40:00Z,2020,8,25,10:40:00,30616959.4277244,9099732.90898504,0,9999564.36133672,22689261.1111111,0,8807172.41410256,0,104887.486645299
NSI20200817,North Stradbroke,-27.345,153.562,2020-08-18T09:50:00Z,2020,8,18,09:50:00,482570159.433774,473552.449468996,0,1937260.02055498,4204123.30849606,0,6517467.04220195,0,0
PHB20200812,Port Hacking,-34.11923,151.22667,2020-08-13T09:55:00Z,2020,8,13,09:55:00,46988911.2295238,4639410.35228571,0,25872818.7641905,17205441.2333333,0,312380.952380952,0,467498.511904762
DAR20200810,Darwin,-12.4,130.76805,2020-08-11T08:25:00Z,2020,8,11,08:25:00,205982448.949377,18119927.7429907,0,7859847.13084112,0,0,31398251.7254673,0,509733.579958463
MAI20200810,Maria Island,-42.59667,148.23333,2020-08-10T10:05:00Z,2020,8,10,10:05:00,30768731.4375,8591430.52760417,0,24882701.7958333,26001638.7063657,0,2948127.26166667,0,466578.474833333
YON20200802,Yongala,-19.30847,147.61842,2020-08-03T09:15:00Z,2020,8,3,09:15:00,49420933.156901,6033652.66927083,0,5353820.22907986,15453423.0324074,0,3501842.171875,27270.7465277778,0
ROT20200730,Rottnest Island,-32,115.41667,2020-07-30T09:27:00Z,2020,7,30,09:27:00,146249319.256667,8678642.375,0,7865284.724,26747148.1944444,0,34436224.8104,0,654497.916666667
NSI20200720,North Stradbroke,-27.345,153.562,2020-07-20T10:30:00Z,2020,7,20,10:30:00,574956065.69819,1030900.19636257,0,20099736.5850134,10160552.3353495,0,26632396.0433468,0,412360.078545027
