NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Acanthostomella,Actiniscus,Actinocyclus,Actinoptychus,Akashiwo,Alexandrium,Amphidinium,Amphiprora,Amphisolenia,Amphora,Amphorides,Anabaena,Ascampbelliella,Asterionellopsis,Asteromphalus,Attheya,Bacillaria,Bacteriastrum,Bellerochea,Biddulphia,Brachidinium,Calciosolenia,Campylodiscus,Cerataulina,Ceratocorys,Ceratoperidinium,Chaetoceros,Chaetoceros (Hyalochaete),Chaetoceros (Phaeoceros),Chamaesiphon,Cladopyxis,Climacocylis,Climacodium,Cocconeis,Cochlodinium,Codonella,Codonellopsis,Corethron,Coscinodiscus,Cyclotella,Cylindrotheca,Cymatocylis,Cymatosira,Cymbella,Cyttarocylis,Dactyliosolen,Dactyliosolen cf.,Dadayiella,Detonula,Dictyocha,Dictyocysta,Dinophysis,Diploneis,Ditylum,Entomoneis,Ephemera,Epiplocylis,Epiplocyloides,Eucampia,Euglena,Eutintinnus,Eutreptiella,Favella,Fragilaria,Fragilariopsis,Goniodoma,Gonyaulax,Gossleriella,Grammatophora,Guinardia,Gymnodinium,Gyrodinium,Gyrosigma,Haslea,Helicostomella,Helicotheca,Hemiaulus,Hemidiscus,Heterocapsa,Heterosigma,Heterosigma cf.,Karenia,Kofoidinium,Laboea,Lauderia,Leptocylindrus,Licmophora,Lingulodinium,Lioloma cf.,Lithodesmium,Lyrella,Manguinea,Mastogloia,Melosira,Membraneis,Mesodinium,Mesoporos,Meuniera,Navicula,Neostreptotheca,Nitzschia,Noctiluca,Nodularia,Octactis,Odontella,Ormosella,Ornithocercus,Oxytoxum,Palmerina,Paralia,Parundella,Peridinium,Phaeocystis,Phalacroma,Planktoniella,Pleurosigma,Podolampas,Porosira,Proboscia,Pronoctiluca,Prorocentrum,Protoperidinium,Protorhabdonella,Pseudo-nitzschia,Pseudosolenia,Pterosperma,Pyrocystis,Pyrophacus,Pyrophacus cf.,Rhabdonella,Rhabdonema,Rhaphoneis,Rhizosolenia,Rotalia,Salpingella,Scrippsiella,Skeletonema,Steenstrupiella,Stephanopyxis,Striatella,Strombidium,Surirella,Synedra,Thalassionema,Thalassiosira,Thalassiothrix,Tintinnidium,Tintinnopsis,Toxarium,Triadinium,Triceratium,Trichodesmium,Trigonium,Tripos,Tripos (Amphiceratium),Tripos (Ceratium),Tripos (gametes),Tripos (Tripoceratium),Tryblionella,Undella,Vorticella,Xystonella,Xystonellopsis
MAI20201118,Maria Island,-42.59667,148.23333,2020-11-19 09:45:00,2020,11,19,09:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441786.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196349.375,0,0,0,0,0,0,0,0,0,0,0,0,0,5851824.96679688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3318304.4375,0,0,0,0,247500,0,0,0,0,0,0,0,0,0,0,706857.75,117809.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418878.666666667,0,1298523.86666667,0,0,0,0,0
YON20201026,Yongala,-19.30847,147.61842,2020-10-26 10:40:00,2020,10,26,10:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6742721.09042553,0,0,0,0,0,8839899.52127659,0,0,1323478.34042553,348137.189716312,6581051.40157912,0,0,0,0,123574.776861702,0,0,0,20275509.929078,0,0,74468.085106383,0,0,0,0,4010540.42553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4511857.9787234,0,0,0,0,0,0,17574940.1210106,0,0,0,0,0,0,0,0,9876739.1065492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781477.021276596,0,0,0,0,0,0,0,0,0,0,0,60158.1063829787,0,0,0,0,0,7060222.20744681,0,108897.312943262,8213586.79148936,0,356382.978723404,0,0,0,0,0,0,0,0,9625297.02127659,0,0,0,109175.822695035,0,0,0,0,0,0,239361.70212766,0,0,0,0,0,0,0,1370476.86103723,0,0,0,0,0,0,0,0,0,0,0
MAI20201020,Maria Island,-42.59667,148.23333,2020-10-21 10:10:00,2020,10,21,10:10:00,0,0,0,0,0,321698.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93333.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962111.9375,0,0,0,0,0,0,3820330.5195,0,851174.540625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6906666.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2617991.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROT20201013,Rottnest Island,-32,115.41667,2020-10-13 09:18:00,2020,10,13,09:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162039.905263158,0,0,0,0,0,0,0,0,1240101.31578947,0,0,0,0,0,0,0,0,0,0,0,0,0,205263.157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206683.552631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282407.71929825,0,0,0,0,0,0,0,0,0,0,4340354.60526316,0,0,0,0,0,0,0,0,0,93007.5986842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752631.57894737,0,0,0,0,0,0,0,0,0,0,0,0,0,234379.148684211,0,0,0,0,0,4144736.84210526,0,0,0,310025.328947368,0,0,0,0,0,0,0,0,0,1110855.20087719,0,0,0,0,0
MAI20200928,Maria Island,-42.59667,148.23333,2020-09-29 09:00:00,2020,9,29,09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163170693.944444,19634937.5,0,0,0,0,0,0,0,0,0,0,0,0,444444.444444444,0,0,0,0,55850488.8888889,0,0,0,0,0,0,0,27777777.7777778,0,0,0,0,460766533.333333,0,0,0,0,0,0,0,0,0,0,152471834.666667,0,8726638.88888889,0,0,0,0,0,0,0,0,0,0,0,0,56548620,352987088.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15441543.168,0,50666666.6666667,0,0,0,0,0,0,0,0,796832887.6,0,0,0,656801.749333333,0,0,0,441786.09375,0,0,972222.222222222,774925533.333333,0,0,0,0,0,0,0,0,0,0,4764744.83333333,0,0,0,0,0,0,0
YON20200926,Yongala,-19.30847,147.61842,2020-09-26 12:33:00,2020,9,26,12:33:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634795.505154639,0,0,0,0,0,0,0,0,161937.628865979,0,0,0,0,0,0,0,0,0,0,0,0,0,206185.567010309,0,0,0,0,4534253.60824742,0,0,0,0,0,0,0,0,0,0,1457438.65979381,0,0,0,0,0,0,0,0,0,0,0,0,9360399.79252577,0,202422.036082474,0,0,0,0,856650.056701031,0,0,0,0,0,0,0,0,1096874.40802191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333996.359536083,0,0,0,0,0,0,0,154639.175257732,0,0,5131398.61469072,26989.6048109966,211058.709621993,0,0,146907.216494845,0,0,0,0,0,0,0,0,16452863.0927835,0,0,242906.443298969,0,0,0,0,113862.395296392,0,0,38659.793814433,0,0,0,303633.054123711,0,0,0,64928892.2938144,0,0,0,215916.838487973,0,0,0,0,0,0,0
PHB20200922,Port Hacking,-34.11923,151.22667,2020-09-23 09:19:00,2020,9,23,09:19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26117521.5558837,0,0,0,0,0,0,0,0,0,0,0,6335362.21780325,7234770.51409522,0,0,0,0,92605062.5804188,0,0,0,0,0,0,0,187156.392560533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8819529.76956369,0,0,0,0,0,0,0,0,0,0,40013104.1232893,0,918701.017662885,0,0,0,0,0,0,0,0,0,0,0,0,0,17032716.8674699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2392450.56683043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294994896.771552,122493.469021718,0,0,0,7252310.21172067,0,0,0,0,0,0,0,0,0,0,0,551220.610597731,1536558.07540843,0,0,0,0,0,0,0,11667502.9243186,0,0,0,0,0,0,0,0,0,2745078.6407767,203339.158576052,0,0,0,0,0,0,0
DAR20200921_2130,Darwin,-12.4,130.76805,2020-09-22 07:00:00,2020,9,22,07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119049.726315789,0,3968324.21052632,0,0,0,0,733643.938421053,0,0,0,0,180806771.842105,0,2589473.68421053,0,0,0,0,0,0,0,0,1291772.20394737,0,0,23333746.3578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29762431.5789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062002.52631579,0,0,0,39683242.1052632,0,0,0,0,48611971.5789474,0,0,0,0,0,3.5e+07,0,0,0,0,0,8127127.98315789,0,1200000,0,0,0,0,0,0,0,0,177780924.631579,0,0,0,0,0,0,0,0,0,0,5552631.57894737,19345580.5263158,0,0,0,0,0,0,421882.467631579,0,0,0,0,0,0,0,0,0,0,0
NSI20200917,North Stradbroke,-27.345,153.562,2020-09-17 10:20:00,2020,9,17,10:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128893089.409326,0,0,0,0,0,0,0,0,77266836.3316062,11719921.2435233,0,0,0,46879684.9740933,328157794.818653,0,0,0,0,0,0,0,373056.994818653,0,0,0,0,171892178.238342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17579881.865285,0,0,0,0,0,0,3444354.63212435,329622784.974093,0,0,0,0,0,0,0,31753661.619171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217035.578583765,0,0,0,4020725.38860104,800079956.891192,0,0,0,0,0,0,0,0,0,0,0,850779.468048359,0,0,0,0,0,0,207253.886010363,7162174.09326425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAI20200909,Maria Island,-42.59667,148.23333,2020-09-10 09:00:00,2020,9,10,09:00:00,0,0,0,0,0,482548.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12464258.325,0,0,11686714.8,44119704.5625,1649334.75,0,0,0,0,0,0,0,0,11728602.6666667,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420987.79375,0,0,0,0,0,0,0,796393.065,0,31101741,0,0,0,0,0,0,0,0,0,0,0,11460991.5585,7068577.5,1884954,0,0,0,0,0,0,0,0,0,4580438.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e+05,0,0,0,0,0,0,0,310000,0,0,0,0,0,0,0,0,77408777.6,0,2827431,0,123150.328,0,0,0,0,0,0,162000,314159,0,0,0,0,0,0,0,0,6e+06,0,2094393.33333333,0,0,0,0,0,0,0
