NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Acanthostomella norvegica,Actinoptychus senarius,Akashiwo sanguinea,Alexandrium pseudogonyaulax,Amphisolenia bidentata,Asterionellopsis glacialis,Asteromphalus hyalinus,Bacillaria paxillifera,Bacteriastrum comosum,Bacteriastrum delicatulum,Bacteriastrum elongatum,Bacteriastrum furcatum,Bacteriastrum hyalinum,Cerataulina pelagica,Ceratocorys horrida,Ceratoperidinium falcatum,Chaetoceros aequatorialis,Chaetoceros affinis,Chaetoceros anastomosans,Chaetoceros atlanticus,Chaetoceros brevis/laciniosus,Chaetoceros coarctatus,Chaetoceros coarctatus (+ciliates),Chaetoceros compressus,Chaetoceros concavicorne,Chaetoceros convolutus,Chaetoceros criophilus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens < 15 µm cell width,Chaetoceros decipiens > 15 µm cell width,Chaetoceros densus,Chaetoceros dichaetus,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros laeve,Chaetoceros lorenzianus,Chaetoceros messanense,Chaetoceros minimus,Chaetoceros neglectus,Chaetoceros peruvianus < 40 µm cell width,Chaetoceros peruvianus > 40 µm cell width,Chaetoceros radicans,Chaetoceros rostratus,Chaetoceros similis,Chaetoceros simplex,Chaetoceros socialis,Chaetoceros subtilis,Cladopyxis brachiolata,Climacocylis scalaroides,Climacodium frauenfeldianum,Codonellopsis morchella,Codonellopsis pusilla,Corethron pennatum,Coscinodiscus jonesianus,Coscinodiscus radiatus,Coscinodiscus wailesii,Cylindrotheca closterium,Cymatosira lorenziana,Cyttarocylis ampulla,Dactyliosolen blavyanus,Dactyliosolen fragilissimus,Dactyliosolen phuketensis,Dadayiella ganymedes,Detonula pumila,Dictyocha crux,Dictyocha fibula,Dictyocha fibula var. pentagona,Dictyocha speculum,Dictyocysta elegans,Dinophysis acuminata,Dinophysis acuta,Dinophysis caudata,Dinophysis dens,Dinophysis fortii,Dinophysis miles,Dinophysis tripos,Dinophysis truncata,Ditylum brightwellii < 40 µm width,Ditylum brightwellii > 40 µm width,Epiplocylis healdi,Eucampia cornuta,Eutintinnus apertus,Eutintinnus lususundae,Eutintinnus medius,Favella ehrenbergii,Goniodoma polyedricum,Gonyaulax birostris,Gossleriella tropica,Grammatophora oceanica,Guinardia cylindrus,Guinardia delicatula,Guinardia flaccida <150 µm length,Guinardia flaccida >150 µm length,Guinardia striata,Guinardia striata (with Richelia),Gymnodinium catenatum,Haslea wawrikae,Helicotheca tamesis,Laboea strobila,Lauderia annulata < 70 µm length,Lauderia annulata > 70 µm length,Leptocylindrus danicus,Leptocylindrus mediterraneus,Leptocylindrus minimus,Mesodinium rubrum,Mesoporos perforatus,Meuniera membranacea,Navicula septentrionalis,Neostreptotheca subindica,Nitzschia bicapitata,Nitzschia closterium - INVALID use Ceratoneis closterium,Nitzschia longissima,Noctiluca scintillans,Octactis octonaria,Ornithocercus quadratus,Oxytoxum caudatum,Oxytoxum laticeps,Oxytoxum parvum,Oxytoxum scolopax,Oxytoxum subulatum,Palmerina hardmaniana,Palmerina ostenfeldii,Paralia sulcata,Phalacroma mitra,Phalacroma rotundatum,Planktoniella blanda,Planktoniella sol,Podolampas elegans,Podolampas palmipes,Podolampas spinifera,Proboscia alata,Proboscia alata ~ 50 µm cell width,Proboscia alata f. indica,Pronoctiluca pelagica,Prorocentrum arcuatum,Prorocentrum concavum,Prorocentrum cordatum,Prorocentrum dentatum,Prorocentrum gracile,Prorocentrum lima,Prorocentrum mexicanum,Prorocentrum micans,Prorocentrum minimum/cordatum,Prorocentrum rhathymum,Prorocentrum triestinum,Protoperidinium oceanicum,Protoperidinium ovatum,Protoperidinium pellucidum,Protorhabdonella simplex,Pseudo-nitzschia delicatissima complex <=3 µm,Pseudo-nitzschia seriata complex >3 µm,Pseudosolenia calcar-avis,Pyrocystis fusiformis,Pyrocystis lunula,Pyrocystis noctiluca,Pyrocystis robusta,Pyrophacus horologicum,Rhabdonella amor,Rhabdonella spiralis,Rhaphoneis amphiceros,Rhizosolenia bergonii,Rhizosolenia castracanei,Rhizosolenia clevei,Rhizosolenia fallax,Rhizosolenia formosa,Rhizosolenia hebetata,Rhizosolenia imbricata,Rhizosolenia imbricata (with Richelia),Rhizosolenia pungens,Rhizosolenia robusta,Rhizosolenia setigera,Rhizosolenia simplex,Rhizosolenia striata,Rhizosolenia temperei,Salpingella acuminata,Salpingella costata,Salpingella subconica,Scrippsiella trochoidea,Stephanopyxis palmeriana,Stephanopyxis turris,Striatella unipunctata,Thalassionema bacillare,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira gravida,Tintinnopsis radix,Tintinnopsis tocantinensis,Toxarium undulatum,Triadinium polyedricum,Tripos arietinus,Tripos axialis,Tripos brevis,Tripos candelabrum,Tripos carriensis,Tripos contortus var. karstenii,Tripos euarcuatus,Tripos falcatus,Tripos furca,Tripos furca type,Tripos fusus,Tripos fusus type,Tripos gibberus,Tripos hexacanthus,Tripos horridus,Tripos limulus,Tripos lineatus,Tripos longirostrus,Tripos macroceros,Tripos massiliensis,Tripos muelleri,Tripos muelleri type,Tripos pentagonus,Tripos pentagonus var.tenerus,Tripos symmetricus,Tripos trichoceros,Tryblionella compressa,Undella claparedi,Xystonella treforti,Xystonellopsis cymatica
MAI20201118,Maria Island,-42.59667,148.23333,2020-11-19 09:45:00,2020,11,19,09:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5851824.96679688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3318304.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418878.666666667,0,0,0,0,0,0,0,0,0,0,0,1298523.86666667,0,0,0,0,0,0,0,0,0
YON20201026,Yongala,-19.30847,147.61842,2020-10-26 10:40:00,2020,10,26,10:40:00,0,0,0,0,0,0,0,0,0,847226.664893617,0,0,0,6629924.64095745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348137.189716312,0,0,0,0,0,0,6015810.63829787,0,0,565240.76328125,0,0,0,0,0,0,0,0,0,20275509.929078,0,0,0,74468.085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4511857.9787234,0,0,0,0,0,0,0,9281424.51213431,501317.553191489,93997.0412234043,0,0,0,0,0,0,0,781477.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7060222.20744681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244680.85106383,111702.127659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAI20201020,Maria Island,-42.59667,148.23333,2020-10-21 10:10:00,2020,10,21,10:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93333.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3820330.5195,0,0,851174.540625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626666.666666667,6280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROT20201013,Rottnest Island,-32,115.41667,2020-10-13 09:18:00,2020,10,13,09:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205263.157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4340354.60526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205263.157894737,1547368.42105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683433.614035088,0,0,0,0,0,427421.586842105,0,0,0,0
MAI20200928,Maria Island,-42.59667,148.23333,2020-09-29 09:00:00,2020,9,29,09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18325941.6666667,0,0,0,0,0,0,1308995.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444444.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27777777.7777778,0,0,0,0,0,0,0,0,0,0,0,0,17697623.6666667,117809625,0,16964586,0,0,0,0,0,56548620,0,174963655.572917,178023433.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5333333.33333333,45333333.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141371550,0,600,0,0,0,0,0,0,0,0,0,0,0,0,972222.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,1256636,0,0,0,0,0,0,0,3508108.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0
YON20200926,Yongala,-19.30847,147.61842,2020-09-26 12:33:00,2020,9,26,12:33:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206185.567010309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615767.833762887,0,0,8744631.95876289,0,0,0,0,0,0,0,1096874.40802191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151816.527061856,0,0,0,0,0,0,0,0,0,0,0,5131398.61469072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30927.8350515464,115979.381443299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHB20200922,Port Hacking,-34.11923,151.22667,2020-09-23 09:19:00,2020,9,23,09:19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7234770.51409522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92605062.5804188,0,0,0,0,0,0,187156.392560533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10247191.1510118,0,0,29765912.9722775,0,0,0,0,0,0,0,15930275.6462744,0,0,0,0,0,0,0,0,0,0,0,2392450.56683043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294994896.771552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655047.373961867,6597262.8377588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203339.158576052,0,2745078.6407767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAR20200921_2130,Darwin,-12.4,130.76805,2020-09-22 07:00:00,2020,9,22,07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3968324.21052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2589473.68421053,0,0,0,0,0,0,0,0,1291772.20394737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29762431.5789474,0,0,0,0,0,0,0,0,0,0,0,2062002.52631579,0,0,0,0,0,0,0,0,0,0,48611971.5789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252631.578947368,947368.421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.05,0,0,0,0,0,0,0,0,0,0,0,0,4236842.10526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSI20200917,North Stradbroke,-27.345,153.562,2020-09-17 10:20:00,2020,9,17,10:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11719921.2435233,0,0,0,0,0,0,0,0,0,0,0,0,46879684.9740933,328157794.818653,0,0,0,0,0,0,373056.994818653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17579881.865285,0,0,0,0,0,0,0,31753661.619171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533678.75647668,2487046.63212435,800079956.891192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAI20200909,Maria Island,-42.59667,148.23333,2020-09-10 09:00:00,2020,9,10,09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,12464258.325,0,0,0,0,0,0,0,0,0,0,0,0,0,44119704.5625,1649334.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11728602.6666667,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796393.065,0,0,0,0,0,0,0,11460991.5585,7068577.5,0,0,1884954,0,4580438.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280000,30000,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2094393.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
