SAMPLE,BIOMASS_MG_M3
206-9,11.3333
206-33,7.7333
206-45,17.4667
271-25,1.1333
271-33,6.4
271-73,7.8667
268-33,8
268-41,28
244-45,0.8
244-81,2.4667
65-33,2.9333
65-37,2.4
300-29,1.0667
300-33,1.8
300-57,2.2
269-49,8.8
298-17,5
299-9,1.6
299-85,5.8667
296-29,3.5333
305-13,4.4667
305-17,6.3333
305-25,8.9333
305-45,16.4
305-57,17.8
304-13,5.2667
304-45,4.8667
304-57,12.4
306-9,2.0667
302-9,3
302-13,2.1333
302-69,2.2
242-29,6
324-85,1.4667
332-21,6.8667
245-69,0.8667
245-53,2.2667
245-41,3.4
367-61,3.1333
367-73,2.7333
360-73,1.6667
364-73,9.4667
364-13,6.4
366-53,1.3333
254-37,8.1333
254-41,8.4
213-17,6.4
213-21,9.9333
213-65,5.4
324-9,1
343-73,5.1333
333-25,1.0667
214-81,3.2667
385-1,1.8
385-9,6.6667
385-33,10.7333
385-77,0.9333
381-5,25.4
381-17,12.9333
392-9,18.7333
269-13,4.6667
213-25,32.1333
307-33,2.3333
307-41,3.0667
307-61,3.3333
308-57,2
322-13,2.6
309-33,6.6
309-49,4
332-61,6.6667
330-29,7.2
330-37,4.8667
316-69,0.2
316-33,1
315-1,1.6
315-17,2.5333
321-33,32.5359
350-29,0.2
359-21,3.6667
321-49,4.3563
349-41,1
349-53,0.9333
360-33,7.5333
366-33,0.1333
366-37,0
339-1,1.6
354-9,3.4
354-41,1.8
212-5,2.3333
212-53,2.2
212-61,0.6
213-57,12.6
213-49,3.2667
178-65,16.2
211-41,35.7333
270-1,4.8
270-5,6.8667
270-33,1.8
270-45,5.8
270-49,5.2667
270-65,2.7333
268-49,12.1333
239-13,8
297-21,2.3333
297-85,8.8667
297-81,12.7333
300-89,1.3333
415-33,1.0667
418-41,4.9333
426-25,5.1333
426-29,4.3333
426-53,4.8667
427-13,2.0667
427-53,7.6
445-21,1.5333
445-5,10.9333
298-53,4.4
242-5,4.2667
308-49,1.1333
306-57,3.4667
306-69,0.6667
348-41,10.2
348-45,3.2
322-21,1.4667
322-37,3.5333
328-37,2.6
328-57,8.5333
309-25,11
332-13,4
316-45,6.2
321-17,5.8537
350-25,1.8667
350-53,1.8667
321-53,1.8378
321-69,10.6865
359-29,7.2
359-61,2.5333
344-77,2.4
344-21,11.8667
245-89,2.0667
367-1,0
367-13,0.0667
362-21,2.9333
362-29,3.8
362-73,3.9333
358-17,6.8667
373-73,1.0667
373-97,1.3333
373-105,1.1333
311-33,7.2667
339-37,9.5333
241-21,2.6667
241-45,3.6667
241-77,1.3333
339-61,15.9333
13-42,3.9333
19-2,5.3333
19-50,3.9333
69-30,41.2667
69-66,15.4
136-10,4.2667
1-46,3.6
3-34,1.1333
14-50,1.4667
135-46,0.4667
8-14,2.2
8-62,4.2
9-10,2.1333
9-30,1.4667
108-62,0.1347
108-86,0.4713
1-2,2.6
66-70,5.8667
69-6,12.8
77-58,0.2
18-54,6.5333
51-22,3.6
82-66,0.5333
4-30,2.4775
45-50,0.3333
100-74,1.0667
5-14,3.4667
12-6,1.2
66-34,3.6
66-66,6.9333
135-14,2.4
8-82,1.3333
4-50,1.4865
6-90,3.3333
69-50,9.5333
69-78,5.2
100-42,1.6
3-6,0.2667
3-66,2
7-38,2.131
66-74,13.0667
82-54,0.6667
2-62,2.0667
2-90,0.1333
13-62,0.8667
13-74,3
15-34,0.2
108-22,2.02
108-58,1.5487
5-10,5.1333
7-42,2.6282
7-58,3.3386
6-46,4
13-58,0.9333
77-94,0.0667
108-30,0.1347
7-6,4.262
12-74,1.4667
14-62,0.0667
82-38,1.4667
98-2,1.2667
2-22,0.9333
8-74,1.4
4-14,8.9191
6-54,4.2667
9-18,1.8
77-30,0.3333
77-34,0.2667
108-18,2.2893
108-66,0.9427
12-10,1.4
14-82,2.2
66-54,6.2667
135-38,1.1333
2-86,0.4667
8-54,2.4
390-41,6.6667
431-25,3.9333
431-45,5.0667
431-49,5.0667
431-53,6
401-17,18.6
401-25,6.6667
401-33,3
402-37,9.3333
402-57,6.1333
403-13,3.8667
403-49,6.9333
403-61,2.2667
408-5,2.4667
398-9,3.8
398-13,14.8
398-29,4.3333
112-45,1.4
112-37,2.1333
265-45,1.0667
265-49,1
265-57,6.1333
265-61,0.6667
207-9,0.1333
207-37,2.0667
389-13,5.1333
412-17,0.3333
