SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,PHYTO_ABUNDANCE_M3,BIOVOL_UM3_M3
4-13,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,84944,600433247.16
4-37,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,74326,525379091.265
45-25,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7,43284128.88888888888888888888888888888889
15-53,Echinoderm spine,Other,(null),(null),3333.3,(null)
3-21,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,3333.3,523598333.333333333333333333333333333334
3-29,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,13333.3,41887866.66666666666666666666666666666656
1-5,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,3333.3,3333333.33333333333333333333333333333334
1-17,Tripos longipes,Dinoflagellate,Tripos (Tripoceratium),longipes,6666.7,400000000
6-61,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,153333.3,1083848550.000000000000000000000000000001
51-5,Coccolithophore cf.,Coccolithophore,(null),(null),3333.3,218165.972222222222222222222222222222222
51-17,Guinardia spp.,Centric diatom,Guinardia,spp.,3333.3,83775733.33333333333333333333333333333338
51-25,Plastic,Other,(null),(null),666.7,(null)
9-5,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,40000,282743100
9-9,Plastic,Other,(null),(null),666.7,(null)
9-21,Tripos spp.,Dinoflagellate,Tripos,spp.,10000,600000000
52-85,Silicoflagellate 6 points,Silicoflagellate,Dictyocha,spp.,13333.3,54541493.05555555555555555555555555555533
52-89,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,300000,2120573250
76-37,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,3333.3,942477000.000000000000000000000000000004
63-25,Unid dinoflagellate > 10 µm,Dinoflagellate,(null),(null),3800,23876083.99999999999999999999999999999997
63-25,Guinardia spp.,Centric diatom,Guinardia,spp.,3800,95504336.00000000000000000000000000000005
63-5,Spicule,Other,(null),(null),3800,(null)
63-13,Guinardia spp.,Centric diatom,Guinardia,spp.,22800,573026016
63-13,Pennate diatom > 10 µm,Pennate diatom,(null),(null),3800,798000.0000000000000000000000000000000004
81-1,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3333.3,476998081.666666666666666666666666666667
