SAMPLE,NRS_CODE,TAXON_NAME,TAXON_PER_M3
13591,NSI20140917,"Sardinops sagax",0.236
13591,NSI20140917,"Triglidae & Peristediidae - undifferentiated",0.236
13591,NSI20140917,"Platycephalidae - undifferentiated",0.055
13591,NSI20140917,"Pelates spp.",0.127
13591,NSI20140917,"Pomatomus saltatrix",0.018
13591,NSI20140917,"Trachurus novaezelandiae",0.4
13591,NSI20140917,"Chrysophrys auratus",0.018
13591,NSI20140917,"Mullidae - undifferentiated",0.109
13591,NSI20140917,"Callionymidae - undifferentiated",0.018
13591,NSI20140917,"Etrumeus teres",0.007
13591,NSI20140917,"Sardinops sagax",0.048
13591,NSI20140917,"Engraulis australis",0.004
13591,NSI20140917,"Scorpaenidae - undifferentiated",0.004
13591,NSI20140917,"Triglidae & Peristediidae - undifferentiated",0.044
13591,NSI20140917,"Platycephalidae - undifferentiated",0.007
13591,NSI20140917,"Pelates spp.",0.007
13591,NSI20140917,"Trachurus novaezelandiae",0.22
13591,NSI20140917,"Mullidae - undifferentiated",0.007
13591,NSI20140917,"Callionymidae - undifferentiated",0.011
13591,NSI20140917,"Engyprosopon spp.",0.004
13592,NSI20141020,"Sardinops sagax",0.085
13592,NSI20141020,"Engraulis australis",0.046
13592,NSI20141020,"Scorpaenidae - undifferentiated",0.007
13592,NSI20141020,"Triglidae & Peristediidae - undifferentiated",0.013
13592,NSI20141020,"Platycephalidae - undifferentiated",0.085
13592,NSI20141020,"Dactyloptena spp.",0.007
13592,NSI20141020,"Serranidae subfam. Anthiinae",0.039
13592,NSI20141020,"Sillago flindersi",0.007
13592,NSI20141020,"Pomatomus saltatrix",0.17
13592,NSI20141020,"Trachurus novaezelandiae",0.242
13592,NSI20141020,"Lutjanidae - undifferentiated",0.144
13592,NSI20141020,"Nemipteridae - undifferentiated",0.013
13592,NSI20141020,"Gerres subfasciatus",0.007
13592,NSI20141020,"Lethrinus spp.",0.072
13592,NSI20141020,"Mullidae - undifferentiated",0.033
13592,NSI20141020,"Chaetodontidae - undifferentiated",0.007
13592,NSI20141020,"Sphyraena spp.",0.007
13592,NSI20141020,"Labridae - undifferentiated",0.026
13592,NSI20141020,"Plagiotremus spp.",0.007
13592,NSI20141020,"Callionymidae - undifferentiated",0.039
13592,NSI20141020,"Gobiidae - undifferentiated",0.026
13592,NSI20141020,"Scombridae - undifferentiated",0.033
13592,NSI20141020,"Scomber australasicus",0.013
13592,NSI20141020,"Engyprosopon spp.",0.013
13592,NSI20141020,"Sardinops sagax",0.054
13592,NSI20141020,"Engraulis australis",0.071
13592,NSI20141020,"Scorpaenidae - undifferentiated",0.009
13592,NSI20141020,"Platycephalidae - undifferentiated",0.071
13592,NSI20141020,"Serranidae subfam. Anthiinae",0.027
13592,NSI20141020,"Sillago flindersi",0.009
13592,NSI20141020,"Pomatomus saltatrix",0.045
13592,NSI20141020,"Trachurus novaezelandiae",0.196
13592,NSI20141020,"Lutjanidae - undifferentiated",0.187
