NRS_CODE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,TAXON_COUNT
PHB20090422,Calocalanus pavo f,COPEPOD,Calocalanus,pavo,5
PHB20090422,Oithona spp. j,COPEPOD,Oithona,spp.,57
PHB20090422,Oncaea spp. j,COPEPOD,Oncaea,spp.,22
MAI20090506,Oithona Grp1 (flat head) f,COPEPOD,Oithona,grp 1,26
NSI20090819,Candacia spp. j,COPEPOD,Candacia,spp.,1
NSI20090618,Oithona Grp1 (flat head) f,COPEPOD,Oithona,grp 1,12
NSI20090618,Oncaea venusta complex m,COPEPOD,Oncaea,venusta complex,2
NSI20090618,Pontellopsis krameri f,COPEPOD,Pontellopsis,krameri,1
NSI20090720,Cosmocalanus darwinii f,COPEPOD,Cosmocalanus,darwinii,3
NSI20090720,Nauplii calanoid,COPEPOD,(null),(null),155
NSI20090720,Temora spp. j,COPEPOD,Temora,spp.,17
NSI20090720,Cavoliniidae shell,NON-COPEPOD,(null),(null),14
NSI20090819,Oithona spp. j,COPEPOD,Oithona,spp.,39
NSI20090819,Oncaea clevei complex m,COPEPOD,Oncaea,clevei complex,12
NSI20090819,Paracalanus indicus m,COPEPOD,Paracalanus,indicus,2
NSI20090819,Subeucalanus spp. j,COPEPOD,Subeucalanus,spp.,7
PHB20090518,Calanoid j,COPEPOD,(null),(null),256
PHB20090518,Oikopleuridae,NON-COPEPOD,(null),(null),12
PHB20090714,Corycaeus spp.,COPEPOD,Corycaeus,spp.,4
PHB20090819,Acartia (Acartia) danae f,COPEPOD,Acartia (Acartia),danae,3
MAI20090601,Calanoid j,COPEPOD,(null),(null),158
MAI20090601,Nauplii calanoid,COPEPOD,(null),(null),44
MAI20090601,Paracalanus indicus m,COPEPOD,Paracalanus,indicus,5
MAI20090601,Bivalve,NON-COPEPOD,(null),(null),10
NSI20090819,Bivalve,NON-COPEPOD,(null),(null),1
NSI20090819,Echinoderm larvae,NON-COPEPOD,(null),(null),4
NSI20090819,Gastropod,NON-COPEPOD,(null),(null),21
MAI20090601,Cavoliniidae shell,NON-COPEPOD,(null),(null),2
MAI20090601,Euphausiid calyptope,NON-COPEPOD,(null),(null),1
PHB20090714,Oithona Grp3 (pointy head) f,COPEPOD,Oithona,grp 3,10
PHB20090714,Paracalanus indicus f,COPEPOD,Paracalanus,indicus,7
PHB20090714,Temora turbinata m,COPEPOD,Temora,turbinata,4
PHB20090714,Noctiluca scintillans,NOCTILUCA,Noctiluca,scintillans,1
PHB20090623,Oncaea media complex m,COPEPOD,Oncaea,media complex,4
PHB20090623,Paracalanus aculeatus f,COPEPOD,Paracalanus,aculeatus,1
PHB20090623,Parvocalanus crassirostris f,COPEPOD,Parvocalanus,crassirostris,1
PHB20090819,Calocalanus pavo f,COPEPOD,Calocalanus,pavo,8
PHB20090819,Farranula spp. f,COPEPOD,Farranula,spp.,1
MAI20090421,Clausocalanus spp. j,COPEPOD,Clausocalanus,spp.,5
MAI20090421,Ctenocalanus vanus f,COPEPOD,Ctenocalanus,vanus,2
MAI20090421,Oithona spp. j,COPEPOD,Oithona,spp.,216
MAI20090421,Oncaea clevei complex m,COPEPOD,Oncaea,clevei complex,1
MAI20090421,Bivalve,NON-COPEPOD,(null),(null),36
MAI20090421,Echinoderm larvae,NON-COPEPOD,(null),(null),4
MAI20090421,Euphausiid calyptope,NON-COPEPOD,(null),(null),4
PHB20090623,Fish larvae,NON-COPEPOD,(null),(null),1
PHB20090819,Microsetella rosea f,COPEPOD,Microsetella,rosea,1
PHB20090819,Oncaea media complex m,COPEPOD,Oncaea,media complex,8
PHB20090819,Temora turbinata m,COPEPOD,Temora,turbinata,1
PHB20090422,Subeucalanus crassus f,COPEPOD,Subeucalanus,crassus,1
PHB20090422,Subeucalanus spp. j,COPEPOD,Subeucalanus,spp.,4
PHB20090422,Bivalve,NON-COPEPOD,(null),(null),4
PHB20090422,Egg,NON-COPEPOD,(null),(null),3
PHB20090422,Podon spp.,NON-COPEPOD,Podon,spp.,2
PHB20090318,Nauplii harpacticoid,COPEPOD,(null),(null),8
PHB20090318,Oithona spp. small m,COPEPOD,Oithona,spp.,6
PHB20090318,Paracalanus indicus f,COPEPOD,Paracalanus,indicus,5
PHB20090318,Fish j,NON-COPEPOD,(null),(null),1
PHB20090318,Podon spp.,NON-COPEPOD,Podon,spp.,1
PHB20090318,Euchaeta spp. f,COPEPOD,Euchaeta,spp.,1
PHB20090223,Clausocalanus arcuicornis f,COPEPOD,Clausocalanus,arcuicornis,5
PHB20090223,Corycaeus spp.,COPEPOD,Corycaeus,spp.,7
PHB20090223,Delibus nudus f,COPEPOD,Delibus,nudus,1
PHB20090223,Nauplii calanoid,COPEPOD,(null),(null),92
PHB20090223,Paracalanus aculeatus f,COPEPOD,Paracalanus,aculeatus,6
PHB20090223,Paracalanus indicus f,COPEPOD,Paracalanus,indicus,3
PHB20090223,Chaetognatha,NON-COPEPOD,(null),(null),5
PHB20090223,Polychaete,NON-COPEPOD,(null),(null),4
PHB20090223,Nauplii harpacticoid,COPEPOD,(null),(null),5
PHB20090223,Oithona Grp2 (diamond) f,COPEPOD,Oithona,grp 2,1
PHB20090223,Oncaea clevei complex m,COPEPOD,Oncaea,clevei complex,3
PHB20090223,Pleuromamma borealis m,COPEPOD,Pleuromamma,borealis,1
PHB20090223,Subeucalanus spp. j,COPEPOD,Subeucalanus,spp.,4
PHB20090223,Doliolum spp.,NON-COPEPOD,Doliolum,spp.,7
MAI20090601,Copepod damaged / unidentified,COPEPOD,(null),(null),2
PHB20090518,Oncaea clevei complex f,COPEPOD,Oncaea,clevei complex,3
MAI20090506,Oncaea venusta complex f,COPEPOD,Oncaea,venusta complex,1
MAI20090506,Chaetognatha,NON-COPEPOD,(null),(null),2
PHB20090819,Subeucalanus spp. j,COPEPOD,Subeucalanus,spp.,1
PHB20090819,Cavoliniidae shell,NON-COPEPOD,(null),(null),14
PHB20090819,Echinoderm larvae,NON-COPEPOD,(null),(null),2
PHB20090819,Medusa,NON-COPEPOD,(null),(null),1
PHB20090819,Salpidae,NON-COPEPOD,(null),(null),5
ESP20090512,Euterpina acutifrons f,COPEPOD,Euterpina,acutifrons,21
ESP20090512,Euterpina acutifrons m,COPEPOD,Euterpina,acutifrons,4
ESP20090512,Microsetella norvegica f,COPEPOD,Microsetella,norvegica,23
ESP20090512,Oithona Grp4 (round head) f,COPEPOD,Oithona,grp 4,13
ESP20090512,Oithona spp. j,COPEPOD,Oithona,spp.,6
ESP20090512,Oncaea media complex f,COPEPOD,Oncaea,media complex,1
MAI20090716,Microsetella norvegica f,COPEPOD,Microsetella,norvegica,1
MAI20090716,Chaetognatha,NON-COPEPOD,(null),(null),2
MAI20090820,Ctenocalanus vanus f,COPEPOD,Ctenocalanus,vanus,5
MAI20090820,Oithona spp. j,COPEPOD,Oithona,spp.,7
NSI20090916,Harpacticoid j,COPEPOD,(null),(null),6
NSI20090916,Nauplii calanoid,COPEPOD,(null),(null),83
NSI20090916,Oncaea clevei complex m,COPEPOD,Oncaea,clevei complex,5
NSI20090916,Temora spp. j,COPEPOD,Temora,spp.,2
NSI20090916,Cavoliniidae body,NON-COPEPOD,(null),(null),1
NSI20090916,Fish larvae,NON-COPEPOD,(null),(null),1
ROT20181024,Oithona simplex f,COPEPOD,Oithona,simplex,2
ROT20181024,Oncaea spp. m 0.4<>0.7mm,COPEPOD,Oncaea,spp.,5
ROT20181024,Oncaea zernovi complex f,COPEPOD,Oncaea,zernovi complex,1
ROT20181024,Globigerinidae,NON-COPEPOD,(null),(null),1
