SAMPLE,APHIA_ID,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,CELL_PER_LITRE,BIOVOLUME_UM3_PER_L
1,149200,Amphora spp.,Pennate diatom,Amphora,spp.,96,7037161.6
1,149118,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,96,591121.57
1,149236,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,24,3463602.98
1,149126,Chaetoceros decipiens < 15 µm cell width,Centric diatom,Chaetoceros (Hyalochaete),decipiens,48,162860.03
1,178185,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,48,904777.92
1,148985,Chaetoceros spp.,Centric diatom,Chaetoceros,spp.,168,593760.51
1,148985,Chaetoceros spp. 10-20 µm,Centric diatom,Chaetoceros,spp.,72,226194.48
1,148985,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,120,45238.9
1,146230,Chrysophyceae,Flagellate,(null),(null),96,75398.16
1,17638,Cryptophyta < 10 µm length,Flagellate,(null),(null),13168,10342114.28
1,149004,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,766,153200
1,109612,Dinophysis caudata,Dinoflagellate,Dinophysis,caudata,48,1950927.39
1,17657,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,96,774716.09
1,146222,Flagellate <10 µm fusiform,Flagellate,(null),(null),64642,38077248.9
1,146222,Flagellate <10 µm round,Flagellate,(null),(null),237021,15512975.07
1,109392,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),72,53080.3
1,109476,Gyrodinium spp. 20-40 µm,Dinoflagellate,Gyrodinium,spp.,48,376990.8
1,109476,Gyrodinium spp. 40-60 µm,Dinoflagellate,Gyrodinium,spp.,48,1319467.8
1,163248,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,96,1385441.19
1,149134,Lauderia spp.,Centric diatom,Lauderia,spp.,192,6785834.4
1,149106,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,24,102140.94
1,149230,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,718,6766984.86
1,149039,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,287,101434.09
1,149031,Navicula cf. 100-120 µm length,Pennate diatom,(null),(null),48,660000
1,149031,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),168,346500
1,549210,Navicula septentrionalis,Pennate diatom,Navicula,septentrionalis,48,1130972.4
1,109549,Peridinium spp.,Dinoflagellate,Peridinium,spp.,10,96760.97
1,115088,Phaeocystis spp. (colony),Flagellate,Phaeocystis,spp.,575,65030.91
1,17329,Prasinophytes,Flagellate,(null),(null),7182,1880241.62
1,109553,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,48,5764842.78
1,115057,Prymnesiophytes,Flagellate,(null),(null),16759,8774984.47
1,149153,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,4118,823600
1,418567,Rhizosolenia clevei,Centric diatom,Rhizosolenia,clevei,72,720994905
1,149311,Rhizosolenia robusta,Centric diatom,Rhizosolenia,robusta,48,353868697.6
1,149115,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,359,16240763.66
1,149092,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,48,24000
1,149092,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,479,15088500
1,157081,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,48,432000
1,840627,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,48,1005308.8
1,837459,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,120,2104865.3
1,841746,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,48,1793847.89
1,146203,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),17956,5415397.44
2,149138,Asterionellopsis spp. ~50 µm length,Pennate diatom,Asterionellopsis,spp.,1404,4014785.91
2,162254,Asteromphalus spp.,Centric diatom,Asteromphalus,spp.,281,62741312.39
2,149118,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,7722,47548341.64
2,149305,Bellerochea spp.,Centric diatom,Bellerochea,spp.,187,11360250
2,149236,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,1404,202620774.04
2,178185,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,281,5296720.74
2,148985,Chaetoceros spp.,Centric diatom,Chaetoceros,spp.,30419,107509529.49
2,148985,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,2106,793942.62
2,146230,Chrysophyceae,Flagellate,(null),(null),94,73827.37
2,17638,Cryptophyta < 10 µm length,Flagellate,(null),(null),3510,2756745.23
2,149004,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,468,93600
2,248064,Dactyliosolen phuketensis,Centric diatom,Dactyliosolen,phuketensis,1591,59979236.28
2,149023,Ditylum brightwellii < 40 µm width,Centric diatom,Ditylum,brightwellii,94,2350000
2,149023,Ditylum brightwellii > 40 µm width,Centric diatom,Ditylum,brightwellii,94,10528000
2,146222,Flagellate <10 µm fusiform,Flagellate,(null),(null),88916,52375803.08
2,146222,Flagellate <10 µm round,Flagellate,(null),(null),187192,12251677.4
2,149112,Guinardia delicatula,Centric diatom,Guinardia,delicatula,562,4475729.03
2,149132,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,187,36717333.13
2,149113,Guinardia striata,Centric diatom,Guinardia,striata,1404,119091393.72
2,109476,Gyrodinium spp. 20-40 µm,Dinoflagellate,Gyrodinium,spp.,281,2206966.98
2,157438,Helicotheca spp.,Centric diatom,Helicotheca,spp.,281,26814648.75
2,163248,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,936,13508051.6
2,149135,Lauderia annulata > 70 µm length,Centric diatom,Lauderia,annulata,4025,1394100197.44
2,149106,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,6084,25892729.53
2,149321,Lithodesmium spp.,Centric diatom,Lithodesmium,spp.,1685,1685000000
2,149031,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),94,193875
2,549210,Navicula septentrionalis,Pennate diatom,Navicula,septentrionalis,562,13241801.85
2,148963,Odontella spp. ~50 µm cell length,Centric diatom,Odontella,spp.,281,14897027.08
2,149055,Paralia sulcata,Centric diatom,Paralia,sulcata,1498,172949241.89
2,149181,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,94,564000
2,17329,Prasinophytes,Flagellate,(null),(null),4680,1225220.1
2,149168,Proboscia alata,Centric diatom,Proboscia,alata,94,6238412.34
2,109553,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,94,11289483.78
2,115057,Prymnesiophytes,Flagellate,(null),(null),8190,4288270.35
2,149153,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,2714,542800
2,157072,Rhabdonema spp.,Pennate diatom,Rhabdonema,spp.,94,15510000
2,573572,Rhizosolenia fallax,Centric diatom,Rhizosolenia,fallax,94,10394892.99
2,149116,Rhizosolenia imbricata,Centric diatom,Rhizosolenia,imbricata,468,132323770.8
2,149311,Rhizosolenia robusta,Centric diatom,Rhizosolenia,robusta,47,346496433.07
2,149115,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,1123,50803280.21
2,149092,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,1123,35374500
2,149102,Thalassiosira gravida,Centric diatom,Thalassiosira,gravida,281,3531147.16
2,157081,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,94,846000
2,177604,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,187,107067.74
2,837448,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,9,1287894.82
2,842517,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,9,365445.46
2,146203,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),2340,705726.78
3,149138,Asterionellopsis spp. ~50 µm length,Pennate diatom,Asterionellopsis,spp.,1410,4031943.11
3,149241,Chaetoceros affinis,Centric diatom,Chaetoceros (Hyalochaete),affinis,188,1181237.84
