NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
ESP20110120,75,Esperance,-33.93333,121.85,2011-01-20 08:50:00
KAI20120215,83,Kangaroo Island,-35.83217,136.44733,2012-02-15 11:50:00
ESP20100322,94,Esperance,-33.93333,121.85,2010-03-22 09:40:00
ROT20101215,125,Rottnest Island,-32,115.41667,2010-12-15 10:20:00
NSI20130111,1518,North Stradbroke,-27.345,153.562,2013-01-11 10:40:00
MAI20121017,1532,Maria Island,-42.59667,148.23333,2012-10-18 10:52:00
ROT20120928,1562,Rottnest Island,-32,115.41667,2012-09-28 11:41:00
ROT20121126,1568,Rottnest Island,-32,115.41667,2012-11-26 11:02:00
ROT20130125,1571,Rottnest Island,-32,115.41667,2013-01-25 10:10:00
PHB20130826,3048,Port Hacking,-34.11923,151.22667,2013-08-27 09:30:00
ROT20121219,3096,Rottnest Island,-32,115.41667,2012-12-19 11:48:00
NSI20140213,3311,North Stradbroke,-27.345,153.562,2014-02-13 10:20:00
MAI20130528,3020,Maria Island,-42.59667,148.23333,2013-05-28 10:56:00
DAR20130617_15:00,3074,Darwin,-12.4,130.76805,2013-06-18 00:30:00
YON20131114,5016,Yongala,-19.30847,147.61842,2013-11-14 10:32:00
PHB20140317,5491,Port Hacking,-34.11923,151.22667,2014-03-18 09:48:00
KAI20140313,5645,Kangaroo Island,-35.83217,136.44733,2014-03-13 14:00:00
PHB20140716,5787,Port Hacking,-34.11923,151.22667,2014-07-16 10:00:00
PHB20140824,5801,Port Hacking,-34.11923,151.22667,2014-08-25 09:57:00
YON20140820,5927,Yongala,-19.30847,147.61842,2014-08-20 11:15:00
MAI20140821,6574,Maria Island,-42.59667,148.23333,2014-08-21 11:50:00
ROT20140919,6721,Rottnest Island,-32,115.41667,2014-09-19 12:57:00
ROT20131001,7041,Rottnest Island,-32,115.41667,2013-10-01 11:55:00
PHB20150225,7351,Port Hacking,-34.11923,151.22667,2015-02-26 09:37:00
YON20120402,1475,Yongala,-19.30847,147.61842,2012-04-02 10:44:00
YON20120816,1549,Yongala,-19.30847,147.61842,2012-08-16 00:00:00
KAI20090205,135,Kangaroo Island,-35.83217,136.44733,2009-02-05 14:05:00
