NRS_TRIP_CODE,SAMPLE_DEPTH_M,SALINITY,SALINITY_FLAG,SILICATE_UMOL_PER_L,SILICATE_FLAG,NITRATE_UMOL_PER_L,NITRATE_FLAG,PHOSPHATE_UMOL_PER_L,PHOSPHATE_FLAG,AMMONIUM_UMOL_PER_L,AMMONIUM_FLAG,NITRITE_UMOL_PER_L,NITRITE_FLAG,TCO2_UMOL_PER_KG,CARBON_FLAG,TALKALINITY_UMOL_PER_KG,ALKALINITY_FLAG,OXYGEN_UMOL_PER_L,OXYGEN_FLAG
NRSPHB20100817,75,35.526,1,1.4,1,3.4,1,0.24,1,0.22,1,(null),9,2060.86,1,2331.73,1,(null),9
NRSMAI20101001,10,35.035,1,1.1,1,4.4,1,0.39,1,0.01,1,(null),9,2071.34,1,2311.28,1,274.8,1
NRSNSI20090916,30,35.525,1,1.3,1,2.7,1,0.28,1,0.44,1,(null),9,2052.57,1,2318,1,(null),9
NRSPHB20110914,25,35.584,1,0.2,1,0.3,1,0.17,1,0,1,(null),9,(null),9,(null),9,(null),9
NRSPHB20110914,60,35.534,1,0.3,1,0.8,1,0.15,1,0.15,1,(null),9,2076.98,1,2330.42,1,(null),9
NRSNSI20110915,20,35.572,1,0.2,1,0,1,0.07,1,0.03,1,(null),9,(null),9,(null),9,(null),9
NRSKAI20111026,10,35.804,1,0.2,1,0.1,1,0.13,1,0.09,1,(null),9,2086.05,1,2352.54,1,(null),9
NRSMAI20120724,60,35.346,1,1.8,1,2.9,1,0.16,1,0.06,1,(null),9,(null),9,(null),9,262,1
NRSMAI20120820,40,35.283,1,0.7,1,3.1,1,0.34,1,0.1,1,(null),9,(null),9,(null),9,267.8,1
NRSNSI20120912,57,35.408,1,3.5,1,8.2,1,0.69,1,0.15,1,(null),9,2104.76,1,2324.62,1,(null),9
NRSDAR20121209_03:00,0,34.514,1,6.6,1,0,1,0.22,1,0.14,1,(null),9,1989.66,1,2287.9,1,(null),9
NRSNSI20130123,10,35.431,1,0.7,1,0,1,0.09,1,0.04,1,(null),9,1982.92,1,2313.79,1,(null),9
NRSMAI20121017,10,35.03,1,0,1,2,1,0.33,1,0.26,1,(null),9,2079.14,1,2311.07,1,287.8,1
NRSPHB20121218,25,35.574,1,0.6,1,0,1,0.21,1,0.14,1,(null),9,(null),9,(null),9,(null),9
NRSKAI20110427,105,35.705,1,0.7,1,1.7,1,0.25,1,0.38,1,(null),9,2111.21,1,2348.04,1,(null),9
NRSYON20091215,10,35.185,1,0.8,1,0,1,0.06,1,0.22,1,(null),9,1972.54,1,2296.76,1,(null),9
NRSYON20100729,10,35.269,1,0.6,1,0.1,1,0.02,1,0.01,1,(null),9,1980.45,1,2303.55,1,(null),9
NRSNIN20120226,20,34.734,1,3.6,1,0,1,0.08,1,0.03,1,(null),9,1973.15,1,2278.89,1,(null),9
NRSNSI20091006,40,(null),9,0.3,1,0,1,0.09,1,0.18,1,(null),9,(null),9,(null),9,(null),9
NRSROT20100924,0,35.518,1,1.9,1,0,1,0.08,1,0.05,1,(null),9,2024.32,1,2329.77,1,(null),9
NRSPHB20120212,30,35.232,1,2.4,1,1.9,1,0.26,1,0.22,1,(null),9,(null),9,(null),9,(null),9
NRSMAI20091013,80,35.097,1,0.6,1,3,1,0.41,1,0.49,1,(null),9,2094.41,1,2313.5,1,268.4,1
NRSESP20091216,20,35.761,1,0,1,0.1,1,0.07,1,(null),0,(null),9,2058.99,1,2346.65,1,0.9,1
NRSMAI20130313,75,35.209,1,1.9,1,5.5,1,0.55,1,0.14,1,(null),9,2096.37,1,2318.35,1,226.9,1
NRSMAI20090421,30,35.367,1,0.6,1,1.9,1,0.21,1,0.16,1,(null),9,2079.13,1,2327.28,1,(null),9
NRSKAI20110718,30,(null),9,0.1,1,0.1,1,0.11,1,0.12,1,(null),9,2082.98,1,2357.42,1,(null),9
NRSMAI20101214,30,34.991,1,0.1,1,0.7,1,0.22,1,0.12,1,(null),9,(null),9,(null),9,273.1,1
NRSNSI20111220,57,35.505,1,1.6,1,3,1,0.19,1,0.29,1,(null),9,2056.12,1,2323.72,1,(null),9
NRSESP20100322,20,35.638,1,0,1,0.1,1,0.21,1,(null),0,(null),9,2076.46,1,2341.3,1,0.9,1
NRSNSI20120213,57,35.577,1,1.6,1,0.8,1,0.28,1,0.14,1,(null),9,2037.84,1,2330.5,1,(null),9
NRSPHB20091018,0,35.534,1,0.2,1,0,1,0.08,1,0.12,1,(null),9,2031.59,1,2328.21,1,(null),9
NRSMAI20111214,82,35.292,1,1.7,1,4.8,1,0.43,1,0.13,1,(null),9,2097.55,1,2346.07,4,238.9,1
NRSMAI20111026,50,(null),9,0.2,1,0.4,1,0.19,1,0.27,1,(null),9,2081.1,1,2324.09,1,278.9,1
NRSMAI20111026,82,35.238,1,0.5,1,1.3,1,0.25,1,0.63,2,(null),9,2088.56,1,(null),9,271.4,1
NRSNSI20100322,50,35.385,1,2.1,1,4.1,1,0.35,1,0.04,1,(null),9,2042.69,1,2313.83,1,(null),9
NRSKAI20100315,20,35.782,1,0.5,1,0,1,0.09,1,0.14,1,(null),9,(null),9,(null),9,(null),9
NRSPHB20090318,20,35.331,1,0,1,0,1,0.07,1,0.06,1,(null),9,(null),9,(null),9,(null),9
NRSPHB20110228,30,35.467,1,0.6,1,0,1,0.13,1,0.03,1,(null),9,(null),9,(null),9,(null),9
NRSMAI20120326,82,35.346,1,1.9,1,5.7,1,0.45,1,0.12,1,(null),9,2095.63,1,2324.48,1,213,1
NRSKAI20090601,20,35.857,1,0.8,1,0,1,0.16,1,0.11,1,(null),9,2086.11,1,2354.52,1,(null),9
NRSYON20101208,26,(null),9,1.4,1,0.1,1,0.06,1,0.02,1,(null),9,1961.15,1,2292.52,1,(null),9
NRSPHB20100609,20,35.298,1,0.8,1,0.8,1,0.01,1,0.17,1,(null),9,2010.17,1,2311.91,1,(null),9
NRSNIN20110501,30,34.752,1,3.3,1,0.1,1,0.07,1,0.14,1,(null),9,(null),9,(null),9,(null),9
NRSMAI20110223,50,35.232,1,0.6,1,1,1,0.2,1,0.06,1,(null),9,2063.53,1,2317.08,1,248.8,1
NRSMAI20101001,0,35.044,1,1.1,1,4.4,1,0.39,1,0,1,(null),9,2069.43,1,2309.24,1,275.8,1
NRSNSI20120912,20,35.522,1,0,1,0,1,0.13,1,0.15,1,(null),9,(null),9,(null),9,(null),9
NRSNSI20121017,50,35.506,1,2.5,1,6.9,1,0.59,1,0.08,1,(null),9,2098.56,1,2324.5,1,(null),9
NRSKAI20100215,20,35.697,1,0.4,1,0,1,0.14,1,0.44,1,(null),9,(null),9,(null),9,(null),9
NRSNIN20120827,50,34.746,1,3.1,1,0.2,1,0.08,1,0.09,1,(null),9,1978.42,1,2282.54,1,(null),9
NRSMAI20121002,10,35.069,1,1.1,1,4.7,1,0.44,1,0.29,1,(null),9,2092.73,1,2313.27,1,275.2,1
NRSMAI20121002,50,35.088,1,0.9,1,4,1,0.4,1,0.29,1,(null),9,2096.97,1,2312.45,1,270.4,1
NRSYON20121219,0,35.57,1,1.9,1,0,1,0.1,1,0.08,1,(null),9,1989.07,1,2319.52,1,(null),9
NRSROT20120928,40,35.44,1,2,1,0,1,0.04,1,0.06,1,(null),9,2034.15,1,2325.96,1,(null),9
NRSMAI20120222,10,35.528,1,0.2,1,0,1,0.06,1,0.06,1,(null),9,2059.25,1,2331.1,1,246.1,1
NRSMAI20120326,20,35.439,1,0,1,0.2,1,0.1,1,0.07,1,(null),9,(null),9,(null),9,245.4,1
NRSMAI20101027,75,35.076,1,1.4,1,4.4,1,0.41,1,0.73,2,(null),9,2096.29,1,2312.63,1,266.2,1
NRSMAI20120724,40,35.348,1,1.8,1,2.9,1,0.16,1,0.12,1,(null),9,(null),9,(null),9,262.1,1
NRSPHB20111206,50,35.444,1,0.6,1,0.7,1,0.14,1,0.43,1,(null),9,(null),9,(null),9,(null),9
NRSPHB20101019,10,35.54,1,0.7,1,1.8,1,0.3,1,0.6,2,(null),9,(null),9,(null),9,(null),9
NRSPHB20120517,75,35.567,1,3.1,1,3.1,1,0.15,1,0.18,1,(null),9,2046.85,1,2322.9,1,(null),9
NRSYON20100729,0,35.268,1,0.7,1,0.1,1,0.02,1,0.07,1,(null),9,1980.54,1,2304.03,1,(null),9
NRSESP20090512,0,(null),9,0.1,1,0.1,1,0.22,1,(null),0,(null),9,2067.84,1,2346.9,1,1.5,1
NRSKAI20100419,60,35.596,1,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9
NRSYON20101101,10,35.188,1,1.3,1,0,1,0.1,1,0.02,1,(null),9,1972.82,1,2305.79,1,(null),9
NRSPHB20090714,20,35.476,1,1.7,1,3.4,1,0.3,1,0.22,1,(null),9,2058.75,1,2325.14,1,(null),9
NRSNSI20091015,0,(null),9,0.1,1,0.3,1,0.12,1,0.6,2,(null),9,2000.88,1,2317.72,1,(null),9
NRSMAI20101214,80,35.044,1,2,1,6.2,1,0.55,1,0.46,1,(null),9,(null),9,(null),9,254.9,1
NRSNSI20110727,0,35.575,1,0.9,1,0.7,1,0.13,1,0.29,1,(null),9,2026.95,1,2332.97,1,(null),9
NRSYON20110118,0,29.66,1,30.1,1,0.2,1,0.29,1,0.03,1,(null),9,1786.2,1,2056.08,1,(null),9
NRSKAI20101120,30,35.836,1,0.3,1,1.6,1,0.23,1,0.64,2,(null),9,2096.53,1,2363.1,1,(null),9
NRSKAI20101120,90,36.277,1,0.4,1,0.8,1,0.22,1,0.48,1,(null),9,2124.47,1,2365.55,1,(null),9
NRSPHB20101213,25,35.293,1,1.9,1,5.1,1,0.49,1,0.75,2,(null),9,(null),9,(null),9,(null),9
NRSNSI20120213,0,35.218,1,2,1,0,1,0.08,1,0.06,1,(null),9,1970.31,1,2303.67,1,(null),9
NRSMAI20120326,50,35.436,1,0.3,1,1.6,1,0.19,1,0.13,1,(null),9,2067.43,1,2330.02,1,235.9,1
NRSPHB20100908,10,35.555,1,0.7,1,0.7,1,0.79,1,0.04,1,(null),9,(null),9,(null),9,(null),9
NRSKAI20090205,10,(null),9,0.3,1,0.1,1,0.22,1,0.19,1,(null),9,2083.57,1,2352.56,1,(null),9
NRSKAI20090205,30,(null),9,0.4,1,0,1,0.29,1,0.24,1,(null),9,2085.22,1,2353.95,1,(null),9
NRSROT20091026,0,35.64,1,2.2,1,0,1,0.11,1,0.06,1,(null),9,2050.45,1,2337.64,1,(null),9
NRSROT20100820,20,35.543,1,2.1,1,0,1,0.1,1,0.02,1,(null),9,2032.1,1,2326.85,1,(null),9
NRSYON20110908,20,35.204,1,0.3,1,0,1,0.05,1,0.04,1,(null),9,1984.74,1,2293.45,1,(null),9
NRSPHB20100510,20,35.391,1,0.6,1,0.4,1,0.13,1,0.11,1,(null),9,2011.51,1,2319.02,1,(null),9
NRSPHB20110717,20,35.492,1,0.6,1,1.7,1,0.21,1,0.67,2,(null),9,2033.31,1,2326.73,1,(null),9
NRSPHB20100413,75,35.441,1,2.7,1,7.3,1,0.59,1,0.08,1,(null),9,2092.95,1,2319.74,1,(null),9
NRSPHB20110329,60,35.554,1,0.4,1,4.4,1,0.06,1,0.14,1,(null),9,2074.16,1,2331.16,1,(null),9
NRSKAI20101213,30,36.12,1,0,1,0,1,0.06,1,0,1,(null),9,2140.41,4,2363.21,1,(null),9
NRSPHB20110329,40,35.583,1,2.7,1,3,1,0.59,1,0.35,1,(null),9,2059.75,1,2332.27,1,(null),9
NRSKAI20081110,100,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,2123.26,1,2375.33,1,(null),9
NRSPHB20120821,40,35.46,1,1.4,1,3.6,1,0.3,1,0.17,1,(null),9,2055.11,1,2326.28,1,(null),9
NRSPHB20111117,60,35.464,1,2.5,1,6.2,1,0.5,1,0.15,1,(null),9,2094.09,1,2325.63,1,(null),9
NRSMAI20090506,75,35.291,1,0.9,1,3,1,0.3,1,0.21,1,(null),9,2082.72,1,2321.8,1,(null),9
NRSPHB20091110,20,35.469,1,0,1,0.1,1,0.1,1,0.13,1,(null),9,2031.04,1,2325.75,1,(null),9
NRSKAI20081019,105,(null),9,(null),9,(null),9,(null),9,(null),9,(null),9,2124.37,1,2370.89,1,(null),9
NRSYON20110323,10,33.132,1,7.1,1,0.1,1,0.15,1,0,1,(null),9,1901.21,1,2195.39,1,(null),9
NRSESP20130314,0,35.754,1,0.1,1,0,1,0.1,1,(null),0,(null),9,2054.89,1,2344.81,1,0.7,1
NRSROT20130321,10,35.505,1,1.5,1,0,1,0.02,1,0.04,1,(null),9,(null),9,(null),9,(null),9
NRSNSI20100322,30,35.166,1,0.1,1,0.1,1,0.05,1,0.03,1,(null),9,1973.55,1,2297.92,1,(null),9
NRSROT20100820,0,35.541,1,2.6,1,0,1,0.09,1,0.06,1,(null),9,2015.48,1,2324.92,1,(null),9
NRSYON20110414,20,33.079,1,3.6,1,0.1,1,0.16,1,0.02,1,(null),9,1888.62,1,2179.49,1,(null),9
NRSNSI20110623,50,35.607,1,1.5,1,5.1,1,0.4,1,0.03,1,(null),9,2070.84,1,2330.38,1,(null),9
NRSPHB20100218,75,35.395,1,4,1,8.8,1,0.71,1,0.69,2,(null),9,2118.36,1,2321.6,1,(null),9
NRSKAI20120116,0,35.834,1,0,1,0.1,1,0.1,1,0.36,1,(null),9,2085.64,1,2354.61,1,(null),9
NRSPHB20090518,0,35.308,1,0.8,1,0.3,1,0.12,1,0.15,1,(null),9,2002.19,1,2309.82,1,(null),9
NRSMAI20120326,75,35.419,1,0.9,1,3.3,1,0.3,1,0.13,1,(null),9,2081.49,1,2325.52,1,226.6,1
NRSMAI20130424,30,35.362,1,0.3,1,1.2,1,0.22,1,0.69,2,(null),9,2071.04,1,2325.69,1,(null),9
NRSPHB20120311,40,35.254,1,3.4,1,3,1,0.29,1,0.3,1,(null),9,2050.72,1,2311.51,1,(null),9
NRSPHB20131020,25,35.495,1,2,1,2.8,1,0.33,1,0.34,1,(null),9,(null),9,(null),9,(null),9
NRSDAR20130617_11:30,23,34.129,1,5.7,1,0,1,0.23,1,0.1,1,(null),9,1961.9,1,2264.55,1,(null),9
NRSYON20130719,10,35.086,1,1.4,1,0,1,0.06,1,0.09,1,(null),9,1975.96,1,2277.43,1,(null),9
NRSDAR20120114_23:35,10,33.66,1,5.4,1,0.2,1,0.26,1,0.3,1,(null),9,1966.76,1,2242.99,1,(null),9
NRSYON20160927,0,35.768,1,1.9,1,0,1,0.05,1,-0.02,1,0.01,1,2015.77,1,2331.41,1,(null),9
NRSNSI20130913,0,35.589,1,0.7,1,0,1,0.12,1,0,1,(null),9,2016.61,1,2328.18,1,(null),9
NRSNSI20140213,30,35.615,1,0.9,1,1.7,1,0.33,1,0.13,1,(null),9,2031.24,1,2333.13,1,(null),9
NRSKAI20130423,75,36.154,1,(null),9,(null),9,(null),9,(null),9,(null),9,2105.14,1,2371.14,1,(null),9
NRSPHB20130725,75,35.597,1,1.2,1,2.2,1,0.22,1,0.1,1,(null),9,2054.83,1,2329.99,1,(null),9
