TOW,SAMPLEDATEUTC,MILES
1,2009-06-26 22:08:06,250
51,2010-08-10 04:50:44,415
54,2010-08-16 13:33:46,205
43,2010-05-29 06:42:12,375
100,2011-05-17 12:45:52,515
83,2011-03-07 19:52:10,495
87,2008-11-26 21:32:00,434.83
91,2009-02-15 01:54:00,247.24
179,2011-08-12 09:56:00,115.48
129,2011-06-11 14:02:00,180
167,2011-02-04 06:34:00,317.38
173,2012-04-14 09:54:13,290
227,2012-09-11 02:27:54,100
198,2012-08-05 06:43:48,440
380,2016-04-18 23:19:15,125
325,2014-12-03 00:31:16,410
244,2014-01-17 06:11:09,410
335,2015-02-08 22:43:43,185
399,2016-08-19 04:14:19,140
400,2016-10-27 23:38:14,150
280,2013-05-09 03:20:34,50
403,2016-11-02 04:20:19,425
303,2014-07-11 06:12:50,285
407,2016-12-01 08:47:52,385
309,2014-11-02 21:46:01,305
355,2015-08-19 22:14:23,50
321,2014-10-22 22:09:00,411.65
245,2014-01-20 04:44:30,485
310,2014-09-27 02:15:28,425
311,2014-09-23 02:06:40,235
269,2014-03-28 07:52:42,365
363,2015-12-11 21:41:23,315
408,2016-12-02 05:18:14,425
294,2013-03-02 12:04:00,65
455,2018-01-10 02:33:00,285.39
423,2017-01-20 02:03:00,295.67
537,2019-12-11 22:50:02,420
477,2018-12-19 10:59:00,390
544,2020-04-15 00:44:34,380
555,2017-12-19 05:56:00,231.34
465,2018-08-22 15:02:22,305
468,2018-11-12 17:31:00,350
485,2019-05-17 15:23:23,80
472,2016-01-15 00:00:00,426.74
474,2016-01-19 08:31:00,402.88
504,2018-10-25 21:58:00,99.94
498,2019-05-30 15:15:11,85
6,2009-08-24 05:37:16,460
76,2011-01-02 15:55:11,445
13,2009-12-15 09:18:39,405
77,2010-12-31 04:49:36,480
28,2006-02-10 09:37:38,45
113,2011-03-18 02:49:01,155
116,2011-03-21 06:43:53,140
128,2011-06-10 13:25:08,140
120,2011-03-24 23:26:03,175
147,2008-01-23 00:37:00,423.62
144,2007-12-19 06:51:00,439.35
155,2009-12-09 22:25:00,220.66
157,2009-12-11 05:43:00,277.69
194,2012-05-04 21:48:26,280
189,2011-08-16 09:29:00,725.85
207,2012-07-12 09:12:00,421.09
209,2012-01-08 10:54:00,454.25
213,2012-11-13 14:49:04,510
217,2012-09-07 07:54:07,405
252,2014-03-07 01:12:11,105
218,2012-03-14 23:32:24,210
379,2016-04-16 23:01:01,270
366,2015-11-15 22:08:54,420
386,2016-08-02 10:08:06,385
369,2015-10-27 22:10:01,210
263,2013-04-20 03:44:42,235
299,2014-06-07 09:09:55,445
271,2014-04-20 22:41:57,395
297,2014-05-23 22:12:24,435
307,2014-09-21 13:59:56,325
222,2013-06-03 02:46:24,25
235,2012-06-15 09:29:01,40
316,2013-02-19 21:38:00,447.27
327,2015-02-06 01:27:23,350
330,2015-02-06 08:03:12,440
356,2015-09-06 03:17:35,360
286,2013-02-27 04:05:22,15
353,2015-08-24 22:12:09,80
290,2013-02-28 05:04:33,175
450,2018-04-02 00:24:29,385
435,2017-10-25 22:51:27,125
424,2017-01-25 21:31:00,187.93
494,2019-05-26 15:29:35,85
560,2020-08-17 08:42:31,485
518,2019-08-03 07:18:29,515
534,2020-02-27 02:01:35,460
536,2019-12-08 11:07:41,385
554,2017-12-18 02:32:00,334.31
457,2018-07-04 01:48:44,335
558,2020-01-21 05:50:00,249.88
469,2018-11-14 17:02:08,430
522,2019-10-28 14:39:03,250
459,2018-07-08 23:09:47,140
475,2018-12-14 23:52:38,375
462,2018-08-11 02:58:43,415
470,2018-05-14 04:41:42,465
541,2017-11-07 04:45:00,442.88
2,2009-06-29 05:07:05,520
14,2010-01-11 07:43:39,440
66,2010-10-16 22:41:23,430
86,2008-11-25 14:00:00,449.84
88,2008-11-28 05:04:00,153.55
90,2009-01-04 04:23:00,119.88
185,2010-04-05 12:50:00,129.07
132,2011-06-18 07:24:49,70
112,2011-10-07 07:06:00,355
108,2011-07-27 19:14:03,490
141,2007-11-28 09:29:00,425.42
148,2008-03-22 09:40:00,399.59
149,2008-03-24 01:09:00,448.65
177,2012-04-16 23:51:28,410
181,2010-04-01 14:44:00,79.85
211,2012-09-03 23:50:48,420
210,2012-07-12 09:12:00,421.09
220,2011-10-29 16:46:00,428.12
229,2012-09-12 12:44:10,550
249,2013-06-17 11:33:17,380
377,2015-12-05 13:00:20,15
409,2016-12-03 05:08:35,440
365,2015-11-13 09:19:45,360
390,2016-01-05 09:24:00,313.64
253,2014-03-10 06:58:46,285
371,2015-11-26 17:34:41,170
372,2016-03-08 19:47:34,170
340,2015-06-15 23:02:31,100
404,2016-11-03 10:17:26,465
298,2014-06-04 00:06:40,445
223,2013-06-03 07:30:49,65
250,2013-06-16 16:52:24,400
315,2013-01-06 13:21:00,286.74
251,2013-06-17 23:47:34,395
258,2013-04-05 11:22:56,335
262,2013-04-18 03:50:23,400
273,2013-07-28 22:16:33,645
289,2013-02-27 17:30:36,90
412,2017-03-01 21:37:45,460
433,2017-08-07 07:04:17,395
419,2017-04-02 06:20:45,240
425,2017-02-09 06:44:32,260
418,2017-03-30 08:52:03,240
429,2017-07-02 01:58:26,425
441,2017-11-29 21:40:13,405
444,2018-03-03 08:25:59,315
452,2018-04-07 04:20:25,340
417,2017-03-28 23:07:33,235
497,2019-05-29 14:59:56,85
492,2019-05-24 15:33:26,85
466,2019-01-09 22:17:13,390
523,2019-10-31 02:32:17,430
479,2019-03-15 04:52:25,105
543,2020-04-12 23:17:16,385
461,2018-08-04 09:08:19,390
463,2018-06-08 23:11:05,105
489,2019-05-21 15:24:41,80
535,2019-12-05 23:14:05,440
500,2019-06-01 15:23:20,85
481,2019-02-21 18:56:36,465
491,2019-05-23 15:27:42,85
502,2019-06-03 15:24:59,85
538,2017-11-02 01:27:00,401.91
4,2009-07-27 07:31:20,405
81,2011-03-10 16:07:58,440
5,2009-08-21 18:57:33,460
68,2010-09-16 17:57:42,420
53,2010-08-15 02:55:37,485
94,2009-02-18 01:03:00,238.2
117,2011-03-22 02:42:06,185
119,2011-03-24 02:37:40,165
143,2007-12-17 21:47:00,367.64
133,2011-11-19 00:17:50,390
161,2010-03-24 18:41:00,451.53
193,2012-06-18 09:45:48,185
163,2010-10-21 22:53:00,475.49
164,2010-10-26 04:56:00,453.24
183,2010-04-03 08:40:00,155.61
184,2010-04-04 09:40:00,156.85
162,2010-03-25 23:31:00,448.02
191,2012-06-15 22:12:15,340
215,2011-10-23 21:46:00,450.01
308,2014-09-23 01:59:17,440
367,2015-11-16 23:23:27,445
326,2014-11-29 22:12:48,270
270,2014-03-31 05:55:36,460
398,2016-08-16 19:41:18,390
284,2012-08-03 12:31:38,205
347,2015-06-22 03:32:24,305
283,2012-08-02 16:17:49,170
349,2015-08-06 10:02:40,320
296,2014-05-02 05:42:33,300
354,2015-08-16 01:54:30,290
359,2014-12-05 22:43:00,421.34
364,2015-11-10 08:04:08,380
240,2014-01-01 08:52:51,235
201,2012-08-14 00:11:48,135
300,2014-06-10 04:29:12,450
314,2014-11-11 05:54:46,25
260,2013-04-09 19:04:48,50
306,2014-09-19 05:56:49,440
329,2015-02-03 13:07:26,215
360,2015-01-28 21:54:00,450.81
331,2015-02-08 09:08:10,440
285,2012-08-04 12:29:44,270
432,2017-08-02 00:53:13,355
416,2017-03-08 07:08:04,440
505,2018-12-06 09:27:00,299.91
521,2019-11-12 00:58:52,365
464,2018-09-07 00:53:29,380
467,2018-11-10 18:58:33,430
495,2019-05-27 15:16:25,85
549,2019-10-10 08:46:08,230
542,2020-05-19 22:48:46,365
556,2019-10-25 21:49:00,415.05
562,2020-08-01 09:54:54,410
565,2020-09-18 04:58:23,400
499,2019-05-31 15:11:03,85
