NRS_CODE,BIOMASS_MGM3
NRSDAR20110627_ZOOBIOWC,5.56585
NRSDAR20111005_ZOOBIOWC,1.37523
NRSDAR20120114_21:30_ZOOBIOWC,39.12967
NRSDAR20120114_23:35_ZOOBIOWC,26.32359
NRSDAR20120115_03:35_ZOOBIOWC,48.41338
NRSDAR20120115_05:40_ZOOBIOWC,235.28065
NRSDAR20120417_ZOOBIOWC,27.03073
NRSDAR20120729_16:30_ZOOBIOWC,57.75986
NRSDAR20120729_19:30_ZOOBIOWC,49.6622
NRSDAR20120729_22:30_ZOOBIOWC,29.32068
NRSDAR20120730_01:30_ZOOBIOWC,30.95885
NRSDAR20121029_ZOOBIOWC,47.87781
NRSDAR20121208_16:30_ZOOBIOWC,60.47103
NRSDAR20121208_20:00_ZOOBIOWC,53.57521
NRSDAR20121208_23:30_ZOOBIOWC,58.09384
NRSDAR20121209_03:00_ZOOBIOWC,12.86546
NRSDAR20130405_ZOOBIOWC,3.21636
NRSDAR20130617_08:00_ZOOBIOWC,11.8236
NRSDAR20130617_11:30_ZOOBIOWC,23.55495
NRSDAR20130617_15:00_ZOOBIOWC,23.69333
NRSDAR20130617_18:30_ZOOBIOWC,19.49395
NRSDAR20130916_ZOOBIOWC,32.88775
NRSDAR20140117_19:50_ZOOBIOWC,1.44399
NRSDAR20140117_21:30_ZOOBIOWC,36.83664
NRSDAR20140118_00:30_ZOOBIOWC,606.52675
NRSDAR20140118_03:30_ZOOBIOWC,112.3717
NRSDAR20140403_ZOOBIOWC,69.4428
NRSDAR20140702_ZOOBIOWC,31.04592
NRSDAR20140906_00:30_ZOOBIOWC,43.22345
NRSDAR20140906_03:30_ZOOBIOWC,30.50458
NRSDAR20140906_06:30_ZOOBIOWC,32.76988
NRSDAR20140906_09:30_ZOOBIOWC,32.25737
NRSDAR20141130_ZOOBIOWC,28.52629
NRSDAR20150202_21:30_ZOOBIOWC,29.88895
NRSDAR20150203_00:30_ZOOBIOWC,48.44755
NRSDAR20150203_03:30_ZOOBIOWC,26.79564
NRSDAR20150203_06:30_ZOOBIOWC,32.54827
NRSDAR20150316_ZOOBIOWC,36.84401
NRSDAR20150505_ZOOBIOWC,30.54985
