NRS_TRIP_CODE,DEPTH,PRES_REL,PRES,DENS,TEMP,PAR,CNDC,SPEC_CNDC,PSAL,TURB,CHLF
DAR20120729_19:30,20.878,21,(null),1022.9198,24.204,(null),5.092635,(null),34.0048,(null),1.2328
DAR20120114_21:30,10.937,11,(null),1020.2536,31.4454,(null),5.783939,(null),33.6384,4.8706,0.4294
DAR20120114_23:35,10.937,11,(null),1020.275,31.4161,(null),5.783111,(null),33.6529,9.4997,0.5825
DAR20120114_23:35,11.931,12,(null),1020.2792,31.4178,(null),5.78342,(null),33.6535,9.6938,0.5796
DAR20120114_23:35,16.902,17,(null),1020.2995,31.4216,(null),5.784076,(null),33.6539,9.7086,0.624
DAR20120115_03:35,6.96,7,(null),1020.1947,31.5466,(null),5.792936,(null),33.6295,9.2503,0.6862
DAR20120115_03:35,8.948,9,(null),1020.203,31.546,(null),5.792927,(null),33.6293,9.5817,0.7199
DAR20120115_03:35,15.908,16,(null),1020.2458,31.5113,(null),5.789808,(null),33.6307,9.7098,0.7712
DAR20120115_05:40,5.965,6,(null),1020.1735,31.5543,(null),5.7909,(null),33.6112,6.8985,0.5886
DAR20120115_05:40,10.937,11,(null),1020.1999,31.5441,(null),5.790294,(null),33.6129,8.5429,0.6258
DAR20120729_16:30,1.989,2,(null),1022.7975,24.2888,(null),5.097971,(null),33.9863,(null),1.1992
DAR20121208_23:30,1.989,2,(null),1020.7132,31.899,(null),5.965933,(null),34.5186,(null),0.8174
DAR20121208_23:30,15.908,16,(null),1020.7787,31.8816,(null),5.96456,(null),34.5179,(null),0.9907
DAR20121208_23:30,19.884,20,(null),1020.796,31.8809,(null),5.964675,(null),34.5181,(null),0.9696
DAR20121209_03:00,6.96,7,(null),1020.6904,32.0014,(null),5.977197,(null),34.5196,(null),0.746
DAR20121209_03:00,18.89,19,(null),1020.7917,31.9073,(null),5.969432,(null),34.531,(null),1.1694
DAR20130405,10.933,11,(null),1020.3346,30.1849,(null),5.582528,(null),33.165,3.7867,0.3459
DAR20130405,16.897,17,(null),1020.3649,30.1996,(null),5.585821,(null),33.1754,7.3784,0.3151
DAR20130405,22.86,23,(null),1020.3922,30.1923,(null),5.585459,(null),33.1764,9.7046,0.3647
DAR20130617_08:00,19.878,20,(null),1022.1186,27.0394,(null),5.396683,(null),34.1069,3.5793,0.4187
DAR20130617_15:00,1.988,2,(null),1022.0282,27.0767,(null),5.399492,(null),34.1048,2.9985,0.3456
DAR20130617_11:30,8.945,9,(null),1022.0739,27.04145,(null),5.397056,(null),34.11125,2.8436,0.33955
DAR20130617_11:30,9.939,10,(null),1022.07825,27.04145,(null),5.3970825,(null),34.11115,2.8243,0.36975
DAR20130617_11:30,14.909,15,(null),1022.1011,27.03425,(null),5.396521,(null),34.111,2.93135,0.3418
DAR20120730_01:30,1.988,2,(null),1022.8467,24.144,(null),5.084414,(null),33.9948,(null),0.9293
DAR20120730_01:30,9.942,10,(null),1022.88,24.1451,(null),5.084714,(null),33.9936,(null),1.0485
DAR20120730_01:30,14.913,15,(null),1022.904,24.1367,(null),5.084213,(null),33.9947,(null),1.0531
DAR20121029,8.948,9,(null),1021.1654,30.5706,(null),5.816647,(null),34.4618,6.2493,0.7286
DAR20121029,10.937,11,(null),1021.1739,30.571,(null),5.816779,(null),34.4618,6.044,0.7593
DAR20121029,14.914,15,(null),1021.1892,30.5707,(null),5.816568,(null),34.4595,6.5623,0.7589
DAR20121029,15.908,16,(null),1021.1934,30.5704,(null),5.816541,(null),34.4592,7.0679,0.7834
DAR20121029,21.873,22,(null),1021.2174,30.5633,(null),5.815232,(null),34.4538,9.974,0.8423
DAR20121208_16:30,2.983,3,(null),1020.7059,31.9209,(null),5.967493,(null),34.5133,(null),0.9051
DAR20121208_16:30,19.884,20,(null),1020.7844,31.9057,(null),5.966736,(null),34.5143,(null),0.919
DAR20140906_09:30,4.971,5,(null),1022.6834,25.9053,(null),5.328997,(null),34.4675,(null),0.6124
DAR20140906_09:30,5.965,6,(null),1022.6876,25.9066,(null),5.329323,(null),34.4687,(null),0.6138
DAR20140906_09:30,10.937,11,(null),1022.711,25.9025,(null),5.329251,(null),34.4697,(null),0.6429
DAR20140906_09:30,21.872,22,(null),1022.7638,25.8955,(null),5.329588,(null),34.4741,(null),0.6442
ESP20110120,39,39.277,(null),1025.6775,19.4714,(null),4.835842,(null),35.7962,0.2703,0.2089
ESP20110512,2,2.014,(null),1025.0505,20.5721,(null),4.920019,(null),35.567,0.4256,0.2743
ESP20110512,4,4.028,(null),1025.0593,20.5743,(null),4.920475,(null),35.5681,0.4577,0.2865
ESP20090512,1,1.007,(null),1025.5984,19.2095,(null),4.809906,(null),35.8196,0.2186,0.1927
ESP20090512,2,2.014,(null),1025.6062,19.2089,(null),4.810564,(null),35.8252,0.2279,0.2686
ESP20090512,6,6.042,(null),1025.6418,19.2046,(null),4.812807,(null),35.8462,0.2437,0.2093
ESP20090512,11,11.078,(null),1025.6731,19.2038,(null),4.814381,(null),35.8583,0.2928,0.2159
ESP20090512,18,18.127,(null),1025.712,19.2008,(null),4.815554,(null),35.868,0.3908,0.2468
ESP20090512,31,31.22,(null),1025.831,19.08,(null),4.808881,(null),35.9117,0.3317,0.2843
ESP20090512,35,35.249,(null),1025.8585,19.0598,(null),4.807442,(null),35.9156,0.3426,0.2725
