NRS_TRIP_CODE,SAMPLE_DEPTH_M,PROCHLOROCOCCUS_CELLSPERML,PROCHLOROCOCCUS_FLAG,SYNECOCHOCCUS_CELLSPERML,SYNECOCHOCCUS_FLAG,PICOEUKARYOTES_CELLSPERML,PICOEUKARYOTES_FLAG
NRSDAR20110627,WC,0,6,112172,1,2058,1
NRSDAR20110627,WC,0,6,112476,1,2489,1
NRSDAR20111005,WC,0,6,111888,1,4673,1
NRSDAR20111005,WC,0,6,123449,1,5061,1
NRSDAR20120114_21:30,WC,0,6,58653,1,2157,1
NRSDAR20120114_21:30,WC,0,6,54065,1,2142,1
NRSDAR20120114_23:35,WC,0,6,101210,1,2279,1
NRSDAR20120114_23:35,WC,0,6,112455,1,3000,1
NRSDAR20120115_03:35,WC,0,6,91550,1,2132,1
NRSDAR20120115_03:35,WC,0,6,88673,1,2877,1
NRSDAR20120115_05:40,WC,(null),0,(null),0,(null),0
NRSDAR20120115_05:40,WC,(null),0,(null),0,(null),0
NRSDAR20120417,WC,20401.5,1,62391,2,788,2
NRSDAR20120417,WC,(null),4,(null),4,(null),4
NRSDAR20120729_16:30,WC,0,6,130284,1,4337,1
NRSDAR20120729_16:30,WC,0,6,142286,1,6647,1
NRSDAR20120729_19:30,WC,0,6,150182,1,7466,1
NRSDAR20120729_19:30,WC,0,6,152649,1,7886,1
NRSDAR20120729_22:30,WC,0,6,126998,1,5135,1
NRSDAR20120729_22:30,WC,0,6,139965,1,6069,1
NRSDAR20120730_01:30,WC,0,6,129119,1,4438,1
NRSDAR20120730_01:30,WC,0,6,136112,1,5534,1
NRSDAR20121029,WC,0,6,45633,1,1113,1
NRSDAR20121029,WC,0,6,51743,1,2342,1
NRSDAR20121208_16:30,WC,0,6,81554,1,2730,1
NRSDAR20121208_16:30,WC,0,6,78047,1,2499,1
NRSDAR20121208_20:00,WC,0,6,73983,1,3570,1
NRSDAR20121208_20:00,WC,0,6,90342,1,4137,1
NRSDAR20121208_23:30,WC,0,6,137603,1,4410,1
NRSDAR20121208_23:30,WC,0,6,133445,1,4452,1
NRSDAR20121209_03:00,WC,0,6,106124,1,1890,1
NRSDAR20121209_03:00,WC,0,6,110303,1,2730,1
NRSDAR20130405,WC,0,6,51251,1,588,1
NRSDAR20130405,WC,0,6,52490,1,641,1
NRSDAR20130617_08:00,WC,0,6,220616,1,2384,1
NRSDAR20130617_08:00,WC,0,6,231536,1,2740,1
NRSDAR20130617_08:00,WC,(null),0,(null),0,(null),0
NRSDAR20130617_11:30,WC,0,6,202913,1,3434,1
NRSDAR20130617_11:30,WC,0,6,202514,1,4547,1
NRSDAR20130617_15:00,WC,0,6,195534,1,4589,1
NRSDAR20130617_15:00,WC,0,6,191132,1,4651,1
NRSDAR20130617_18:30,WC,0,6,182480,1,5051,1
NRSDAR20130617_18:30,WC,0,6,181209,1,5230,1
NRSDAR20130916,WC,178,1,164441,1,3549,1
NRSDAR20130916,WC,189,1,185504,1,3266,1
NRSDAR20140117_19:50,WC,179,1,21809,1,1082,1
NRSDAR20140117_19:50,WC,11,4,798,4,798,4
NRSDAR20140117_21:30,WC,168,1,20969,1,1544,1
NRSDAR20140117_21:30,WC,11,4,6195,4,557,4
NRSDAR20140118_00:30,WC,504,1,10721,1,746,1
NRSDAR20140118_00:30,WC,399,1,13020,1,861,1
NRSDAR20140118_03:30,WC,221,1,24465,1,714,1
NRSDAR20140118_03:30,WC,431,1,24875,1,1386,1
NRSDAR20140403,WC,567,1,31154,1,1544,1
NRSDAR20140403,WC,893,1,30965,1,1827,1
NRSDAR20140702,WC,987,1,69468,1,2405,1
NRSDAR20140702,WC,826,1,80672,1,2667,1
NRSDAR20140906_00:30,WC,903.87,1,49954.55,1,4166.67,1
NRSDAR20140906_00:30,WC,371.43,1,25459.18,1,2081.63,1
NRSDAR20140906_03:30,WC,347.1,1,53179.1,1,3104.48,1
NRSDAR20140906_03:30,WC,379.17,1,31645.83,1,1500,1
NRSDAR20140906_06:30,WC,348.66,1,38293.1,1,3775.86,1
NRSDAR20140906_06:30,WC,451.39,1,15517.86,1,2312.5,1
NRSDAR20140906_09:30,WC,303.33,1,22201.11,1,3466.67,1
NRSDAR20140906_09:30,WC,475.82,1,14631.37,1,3077.94,1
NRSDAR20141130,WC,609.64,1,43931.03,1,1499.23,1
NRSDAR20141130,WC,640.37,1,55847.04,1,1617.78,1
NRSDAR20150202_21:30,WC,947.92,1,39811,1,2085.42,1
NRSDAR20150202_21:30,WC,938.89,1,55608,1,2383.33,1
NRSDAR20150203_00:30,WC,2100,1,46664,1,3422.22,1
NRSDAR20150203_00:30,WC,1685.19,1,31686,1,3100.74,1
NRSDAR20150203_03:30,WC,2987.37,1,32170,1,3538.89,1
NRSDAR20150203_03:30,WC,1494.69,1,54514,1,3033.33,1
NRSDAR20150203_06:30,WC,2573.74,1,29412,1,3125.25,1
NRSDAR20150203_06:30,WC,3033.33,1,29219,1,1797.53,1
NRSDAR20150316,WC,1870.56,1,33265.56,1,4044.44,1
NRSDAR20150316,WC,2285.99,1,35344.93,1,5187.44,1
NRSDAR20150505,WC,3336.67,1,37916.67,1,2730,1
NRSDAR20150505,WC,2949.07,1,33703.7,1,2527.78,1
NRSDAR20150803_19:32,WC,1853.7,1,55863.89,1,5055.56,1
NRSDAR20150803_19:32,WC,2022.22,1,46511.11,1,5133.33,1
NRSDAR20150803_22:30,WC,2134.57,1,40444.44,1,2808.64,1
NRSDAR20150803_22:30,WC,3145.68,1,27637.04,1,3145.68,1
NRSDAR20150804_01:30,WC,2527.78,1,33366.67,1,3033.33,1
NRSDAR20150804_01:30,WC,1617.78,1,33973.33,1,4145.56,1
NRSDAR20150804_04:30,WC,919.19,1,47338.38,1,4595.96,1
NRSDAR20150804_04:30,WC,1432.41,1,47437.96,1,3201.85,1
NRSDAR20151117,WC,1706.25,1,100542.36,1,6066.67,1
NRSDAR20151117,WC,1516.67,1,102223.33,1,6319.44,1
NRSDAR20160201_2130,WC,1308.5,1,83981.7,1,4520.26,1
NRSDAR20160201_2130,WC,2464.58,1,85818.06,1,6129.86,1
NRSDAR20160202_0030,WC,2730,1,82001.11,1,4651.11,1
NRSDAR20160202_0030,WC,2696.3,1,76732.1,1,3932.1,1
NRSDAR20160202_0330,WC,1788.89,1,80422.22,1,4744.44,1
NRSDAR20160202_0330,WC,2255.56,1,85944.44,1,3966.67,1
NRSDAR20160202_0630,WC,1843.79,1,97185.62,1,4460.78,1
NRSDAR20160202_0630,WC,5650.33,1,92070.59,1,8386.27,1
NRSDAR20160530,WC,1538.65,1,115222.71,1,2945.41,1
NRSDAR20160530,WC,1390.28,1,113328.7,1,3412.5,1
NRSDAR20160723,WC,1095.37,1,48870.37,1,5729.63,1
NRSDAR20160723,WC,1011.11,1,55021.3,1,5392.59,1
NRSDAR20160724_0130,WC,758.33,1,46595.37,1,5139.81,1
NRSDAR20160724_0130,WC,388.89,1,47133.33,1,4511.11,1
NRSDAR20160724_0430,WC,421.3,1,49712.96,1,5476.85,1
NRSDAR20160724_0430,WC,433.33,1,52288.89,1,4983.33,1
NRSDAR20160724_0730,WC,866.67,1,54527.78,1,4766.67,1
NRSDAR20160724_0730,WC,404.44,1,55004.44,1,5055.56,1
NRSDAR20161107,WC,2857.49,1,105771.01,1,7209.66,1
NRSDAR20161107,WC,2725.6,1,112980.68,1,6286.47,1
NRSDAR20170202_2130,WC,2022.22,1,66971.24,1,8921.57,1
NRSDAR20170202_2130,WC,2022.22,1,63008.19,1,7397.08,1
NRSDAR20170203_0030,WC,1078.52,1,83180.74,1,8762.96,1
NRSDAR20170203_0030,WC,1137.5,1,82911.11,1,5750.69,1
NRSDAR20170203_0330,WC,1396.3,1,94514.81,1,6981.48,1
NRSDAR20170203_0330,WC,2426.67,1,98330.56,1,7381.11,1
NRSDAR20170203_0630,WC,1792.42,1,84703.54,1,6388.38,1
NRSDAR20170203_0630,WC,1826.52,1,76126.88,1,6849.46,1
NRSDAR20170516,WC,1516.67,1,64003.33,1,4044.44,1
NRSDAR20170516,WC,3096.53,1,97129.86,1,4802.78,1
NRSDAR20170714_2130,10,459,1,41370.85,1,6263.44,1
NRSDAR20170714_2130,0,508,1,40191.22,1,5757.89,1
NRSDAR20170714_2130,17,663,1,53689.56,1,6314,1
NRSDAR20170714_2130,10,477,1,41033.81,1,5083.81,1
NRSDAR20170714_2130,17,643,1,57329.56,1,6314,1
NRSDAR20170714_2130,0,375,1,40327.33,1,4921.78,1
NRSDAR20170714_2130,0,(null),0,(null),0,(null),0
NRSDAR20170714_2130,10,(null),0,(null),0,(null),0
NRSDAR20170714_2130,17,(null),0,(null),0,(null),0
NRSDAR20170715_0030,19,367,1,54986.16,1,5951.19,1
NRSDAR20170715_0030,0,416,1,49459.74,1,6600.48,1
NRSDAR20170715_0030,10,498,1,39466.59,1,6482.52,1
NRSDAR20170715_0030,10,302,1,50618.31,1,6516.22,1
