NRS_CODE,STATION_NAME,Y_COORD,X_COORD,TRIP_START_DATETIME_LOCAL,STATION_DEPTH,SAMPLEDEPTH_M
PHB20100702,Port Hacking,-34.11923,151.22667,2010-07-02 11:35:00,100,30
PHB20100817,Port Hacking,-34.11923,151.22667,2010-08-18 09:30:00,100,25
NSI20101018,North Stradbroke,-27.345,153.562,2010-10-18 10:00:00,60,0
NSI20101018,North Stradbroke,-27.345,153.562,2010-10-18 10:00:00,60,40
MAI20101027,Maria Island,-42.59667,148.23333,2010-10-27 12:50:00,86,60
MAI20101027,Maria Island,-42.59667,148.23333,2010-10-27 12:50:00,86,75
MAI20101027,Maria Island,-42.59667,148.23333,2010-10-27 12:50:00,86,80
KAI20110123,Kangaroo Island,-35.83217,136.44733,2011-01-24 07:40:00,110,90
NSI20110220,North Stradbroke,-27.345,153.562,2011-02-21 09:40:00,60,50
KAI20110223,Kangaroo Island,-35.83217,136.44733,2011-02-23 10:30:00,110,50
MAI20110407,Maria Island,-42.59667,148.23333,2011-04-07 10:30:00,86,0
MAI20110407,Maria Island,-42.59667,148.23333,2011-04-07 10:30:00,86,40
MAI20110407,Maria Island,-42.59667,148.23333,2011-04-07 10:30:00,86,50
MAI20110407,Maria Island,-42.59667,148.23333,2011-04-07 10:30:00,86,75
PHB20110717,Port Hacking,-34.11923,151.22667,2011-07-18 09:38:00,100,30
YON20100413,Yongala,-19.30847,147.61842,2010-04-13 14:14:00,28.9,20
NSI20110119,North Stradbroke,-27.345,153.562,2011-01-19 10:00:00,60,50
ROT20110622,Rottnest Island,-32,115.41667,2011-06-22 10:00:00,50,0
ROT20110622,Rottnest Island,-32,115.41667,2011-06-22 10:00:00,50,20
PHB20090223,Port Hacking,-34.11923,151.22667,2009-02-24 09:27:00,100,75
YON20091123,Yongala,-19.30847,147.61842,2009-11-23 11:45:00,28.9,20
KAI20091215,Kangaroo Island,-35.83217,136.44733,2009-12-16 07:15:00,110,20
KAI20091115,Kangaroo Island,-35.83217,136.44733,2009-11-16 08:30:00,110,60
MAI20090601,Maria Island,-42.59667,148.23333,2009-06-01 11:20:00,86,20
KAI20091007,Kangaroo Island,-35.83217,136.44733,2009-10-08 06:00:00,110,0
KAI20091007,Kangaroo Island,-35.83217,136.44733,2009-10-08 06:00:00,110,10
KAI20091007,Kangaroo Island,-35.83217,136.44733,2009-10-08 06:00:00,110,20
KAI20091007,Kangaroo Island,-35.83217,136.44733,2009-10-08 06:00:00,110,50
KAI20091007,Kangaroo Island,-35.83217,136.44733,2009-10-08 06:00:00,110,60
KAI20091007,Kangaroo Island,-35.83217,136.44733,2009-10-08 06:00:00,110,105
PHB20100510,Port Hacking,-34.11923,151.22667,2010-05-11 09:13:00,100,10
NSI20100520,North Stradbroke,-27.345,153.562,2010-05-21 08:21:00,60,0
NSI20100520,North Stradbroke,-27.345,153.562,2010-05-21 08:21:00,60,10
PHB20110717,Port Hacking,-34.11923,151.22667,2011-07-18 09:38:00,100,50
PHB20110914,Port Hacking,-34.11923,151.22667,2011-09-15 09:43:00,100,30
PHB20110914,Port Hacking,-34.11923,151.22667,2011-09-15 09:43:00,100,40
PHB20110914,Port Hacking,-34.11923,151.22667,2011-09-15 09:43:00,100,75
NSI20110915,North Stradbroke,-27.345,153.562,2011-09-15 11:10:00,60,50
NSI20110915,North Stradbroke,-27.345,153.562,2011-09-15 11:10:00,60,57
KAI20111026,Kangaroo Island,-35.83217,136.44733,2011-10-26 14:40:00,110,40
KAI20111115,Kangaroo Island,-35.83217,136.44733,2011-11-15 11:30:00,110,0
KAI20111115,Kangaroo Island,-35.83217,136.44733,2011-11-15 11:30:00,110,75
DAR20120729_19:30,Darwin,-12.4,130.76805,2012-07-30 05:00:00,25,20
DAR20120729_22:30,Darwin,-12.4,130.76805,2012-07-30 08:00:00,25,20
MAI20120724,Maria Island,-42.59667,148.23333,2012-07-24 10:50:00,86,40
MAI20120820,Maria Island,-42.59667,148.23333,2012-08-20 11:15:00,86,30
NSI20120229,North Stradbroke,-27.345,153.562,2012-03-01 09:45:00,60,40
NSI20120806,North Stradbroke,-27.345,153.562,2012-08-06 10:15:00,60,50
NSI20120821,North Stradbroke,-27.345,153.562,2012-08-21 10:15:00,60,30
NSI20120912,North Stradbroke,-27.345,153.562,2012-09-12 10:20:00,60,40
