NRS_CODE,STATION_NAME,Y_COORD,X_COORD,TRIP_START_DATETIME_LOCAL,SST,CHL_AVG,CHL
NSI20110220,North Stradbroke,-27.345,153.562,2011-02-21 09:40:00,27.944993271865,0.284832369,0.148578629
MAI20110407,Maria Island,-42.59667,148.23333,2011-04-07 10:30:00,16.264993532933,0.599735218,0.665998042
NSI20101115,North Stradbroke,-27.345,153.562,2010-11-16 09:30:00,25.214993332885,0.290513118,0.133872107
NSI20120806,North Stradbroke,-27.345,153.562,2012-08-06 10:15:00,21.879993407428,0.384004796,0.235822335
MAI20121112,Maria Island,-42.59667,148.23333,2012-11-13 10:45:00,13.65999359116,0.948975652,3.246622801
MAI20130313,Maria Island,-42.59667,148.23333,2013-03-14 10:00:00,17.859993497282,0.461427445,0.48564744
MAI20130214,Maria Island,-42.59667,148.23333,2013-02-14 11:00:00,17.15499351304,0.390670671,0.418736428
DAR20121208_23:30,Darwin,-12.4,130.76805,2012-12-09 09:00:00,31.119993200898,1.821717289,2.309886694
YON20121129,Yongala,-19.30847,147.61842,2012-11-29 10:40:00,26.889993295446,0.320764717,0.176335379
PHB20121009,Port Hacking,-34.11923,151.22667,2012-10-10 09:44:00,18.369993485883,1.035217785,1.735686779
PHB20121218,Port Hacking,-34.11923,151.22667,2012-12-19 09:31:00,21.039993426204,0.422503149,0.313766986
PHB20110420,Port Hacking,-34.11923,151.22667,2011-04-21 09:36:00,22.759993387759,0.594364293,0.235714927
KAI20120116,Kangaroo Island,-35.83217,136.44733,2012-01-17 07:00:00,19.069993470237,0.544941765,0.122447528
ROT20100617,Rottnest Island,-32,115.41667,2010-06-17 10:05:00,20.644993435033,0.472122746,0.465263963
YON20110414,Yongala,-19.30847,147.61842,2011-04-14 11:27:00,26.64999330081,0.590297995,0.69693768
MAI20110812,Maria Island,-42.59667,148.23333,2011-08-12 10:55:00,14.509993572161,0.578568645,0.51788342
MAI20090421,Maria Island,-42.59667,148.23333,2009-04-21 11:45:00,15.869993541762,0.507746495,0.302302837
YON20090909,Yongala,-19.30847,147.61842,2009-09-09 10:40:00,24.749993343279,0.259889852,0.337141961
MAI20091013,Maria Island,-42.59667,148.23333,2009-10-13 11:00:00,12.46499361787,1.116452981,1.028854728
NSI20100322,North Stradbroke,-27.345,153.562,2010-03-23 09:15:00,25.734993321262,0.248221643,0.341044515
YON20101101,Yongala,-19.30847,147.61842,2010-11-01 11:45:00,26.179993311316,0.304526952,0.145759225
KAI20101213,Kangaroo Island,-35.83217,136.44733,2010-12-14 08:30:00,17.534993504547,0.237668164,0.144488215
NSI20100618,North Stradbroke,-27.345,153.562,2010-06-18 12:30:00,21.58999341391,0.400899988,0.633104742
MAI20120222,Maria Island,-42.59667,148.23333,2012-02-22 11:00:00,17.964993494935,0.461427445,0.378864408
NSI20110412,North Stradbroke,-27.345,153.562,2011-04-13 09:25:00,25.284993331321,0.248221643,0.175368696
NSI20100121,North Stradbroke,-27.345,153.562,2010-01-22 09:50:00,26.759993298352,0.256112378,0.208296478
ROT20110125,Rottnest Island,-32,115.41667,2011-01-25 09:10:00,22.587493391614,0.278832415,0.244239539
MAI20111214,Maria Island,-42.59667,148.23333,2011-12-15 10:35:00,15.494993550144,0.659520864,0.541484177
PHB20100609,Port Hacking,-34.11923,151.22667,2010-06-09 10:53:00,19.639993457496,0.600301478,0.41615203
ESP20120229,Esperance,-33.93333,121.85,2012-02-29 10:00:00,21.069597,0.29215,(null)
MAI20110118,Maria Island,-42.59667,148.23333,2011-01-19 10:30:00,16.479993528128,0.390670671,1.238344073
NSI20090819,North Stradbroke,-27.345,153.562,2009-08-20 08:45:00,20.22499344442,0.483294961,0.38310498
ROT20130321,Rottnest Island,-32,115.41667,2013-03-21 11:34:00,22.704993388988,0.38955993,0.18186827
