NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Acanthostomella,Actiniscus,Actinocyclus,Actinoptychus,Akashiwo,Alexandrium,Amphidinium,Amphiprora,Amphisolenia,Amphora,Amphorides,Anabaena,Ascampbelliella,Asterionellopsis,Asteromphalus,Attheya,Bacillaria,Bacteriastrum,Bellerochea,Biddulphia,Brachidinium,Calciosolenia,Campylodiscus,Cerataulina,Ceratium,Ceratocorys,Ceratoperidinium,Chaetoceros,Chaetoceros (Hyalochaete),Chaetoceros (Phaeoceros),Chamaesiphon,Cladopyxis,Climacocylis,Climacodium,Cocconeis,Cochlodinium,Codonella,Codonellopsis,Corethron,Coscinodiscus,Cyclotella,Cylindrotheca,Cymatocylis,Cymatosira,Cymbella,Cyttarocylis,Dactyliosolen,Dactyliosolen cf.,Dadayiella,Detonula,Dictyocha,Dictyocysta,Dinophysis,Diploneis,Ditylum,Entomoneis,Ephemera,Epiplocylis,Epiplocyloides,Eucampia,Euglena,Eutintinnus,Eutreptiella,Favella,Fragilaria,Fragilariopsis,Goniodoma,Gonyaulax,Gossleriella,Grammatophora,Guinardia,Gymnodinium,Gyrodinium,Gyrosigma,Haslea,Helicostomella,Helicotheca,Hemiaulus,Hemidiscus,Heterocapsa,Heterosigma,Heterosigma cf.,Karenia,Kofoidinium,Laboea,Lauderia,Leptocylindrus,Licmophora,Lingulodinium,Lioloma cf.,Lithodesmium,Lyrella,Manguinea,Mastogloia,Melosira,Membraneis,Mesodinium,Mesoporos,Meuniera,Navicula,Neostreptotheca,Nitzschia,Noctiluca,Nodularia,Octactis,Odontella,Ormosella,Ornithocercus,Oxytoxum,Palmerina,Paralia,Parundella,Peridinium,Phaeocystis,Phalacroma,Planktoniella,Pleurosigma,Podolampas,Porosira,Proboscia,Pronoctiluca,Prorocentrum,Protoperidinium,Protorhabdonella,Pseudo-nitzschia,Pseudosolenia,Pterosperma,Pyrocystis,Pyrophacus,Pyrophacus cf.,Rhabdonella,Rhabdonema,Rhaphoneis,Rhizosolenia,Rotalia,Salpingella,Scrippsiella,Skeletonema,Steenstrupiella,Stephanopyxis,Striatella,Strombidium,Surirella,Synedra,Thalassionema,Thalassiosira,Thalassiothrix,Tintinnidium,Tintinnopsis,Toxarium,Triadinium,Triceratium,Trichodesmium,Trigonium,Tripos,Tripos (Amphiceratium),Tripos (Ceratium),Tripos (gametes),Tripos (Tripoceratium),Tryblionella,Undella,Vorticella,Xystonella,Xystonellopsis
MAI20200810,Maria Island,-42.59667,148.23333,2020-08-10 10:05:00,2020,8,10,10:05:00,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,25,0,0,0,150,0,0,25,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,125,0,125,0,0,0,0,0,0,0,0,0,425,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,50,0,0,25,0,0,0,0,0,0,0,150,25,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0
MAI20200628,Maria Island,-42.59667,148.23333,2020-06-29 09:45:00,2020,6,29,09:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,25,50,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11428.57,0,0,25,0,0,0,0,0,50,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,25,175,0,0,0,0,0,0,0
PHB20200609,Port Hacking,-34.11923,151.22667,2020-06-10 09:32:00,2020,6,10,09:32:00,50,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,150,0,0,0,50,100,175,0,0,0,125,0,0,0,25,0,0,0,25,0,0,0,0,2150,0,0,0,100,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,75,0,0,0,0,0,0,0,0,0,0,0,50,0,25,0,0,0,0,0,0,0,0,0,175,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,75,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSI20200528,North Stradbroke,-27.345,153.562,2020-05-28 11:00:00,2020,5,28,11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,175,0,0,0,500,75,50,0,0,0,225,0,0,0,0,0,0,0,150,0,0,0,0,750,0,0,0,25,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,1400,0,0,0,0,0,0,0,0,75,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAI20200526,Maria Island,-42.59667,148.23333,2020-05-26 10:10:00,2020,5,26,10:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,0,0,0,100,0,0,0,9200,300,500,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3700,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909.09,0,0,0,0,0,0,0,0,0,0,8300,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YON20200306,Yongala,-19.30847,147.61842,2020-03-06 10:25:00,2020,3,6,10:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.19,0,0,0,0,0,0,0,0,0,26.6,0,0,0,0,0,0,0,0,0,0,0,0,0,53.19,0,0,0,0,26.6,0,0,0,0,0,0,0,0,26.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,0,0,0,0,372.34,0,0,0,0,0,0,0,0,239.36,0,0,0,0,0,0,0,0,0,0,0,159.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,0,26.6,0,0,0,0,53.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.79,0,0,0,0,0,0,0,15159.57,0,0,0,0,0,0,0,0,0,0,0
ROT20200304,Rottnest Island,-32,115.41667,2020-03-04 09:25:00,2020,3,4,09:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.03,0,0,0,0,0,0,0,0,408.16,0,0,0,11156.46,476.19,1972.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.03,0,0,0,0,0,0,0,0,68.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.03,0,0,7619.05,136.05,0,0,0,0,0,0,0,136.05,0,0,0,204.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.11,0,0,0,0,0,0,0
NSI20200228,North Stradbroke,-27.345,153.562,2020-02-28 10:30:00,2020,2,28,10:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,2400,400,100,0,0,0,250,0,0,0,0,50,0,0,1750,0,0,0,0,2750,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,50,0,0,2650,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,1150,0,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,0,0
PHB20200224,Port Hacking,-34.11923,151.22667,2020-02-25 08:52:00,2020,2,25,08:52:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,0,0,0,514.85,0,0,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,712.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12316.83,0,39.6,0,0,0,0,237.62,0,0,0,0,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0
MAI20200223,Maria Island,-42.59667,148.23333,2020-02-24 10:30:00,2020,2,24,10:30:00,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,13300,900,400,0,0,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,3900,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,30,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,3000,0,0,0,0,0,0,0,0,200,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,0,0,0
