NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Amphipod,Appendicularian,Ascidian,Brachiopod,Bryozoan,Cephalochordate,Cephalopod,Chaetognath,Ciliophora,Cirripedia,Cladoceran,Cnidarian,Coelenterate,Copepod,Ctenophore,Cumacean,Decapod,Echinoderm,Egg,Euphausiid,Fish,Foraminifera,Hemichordata,Isopod,Mollusc,Mysida,Nematode,Nemertean,Noctilucaceae,Ostracod,Phoronid,Platyhelminthes,Polychaete,Radiozoa,Sipunculid,Thaliacean,Thecostraca,Urochordata
NSI20200228,North Stradbroke,-27.345,153.562,2020-02-28T10:30:00Z,2020,2,28,10:30:00,6.4297,212.1791,0,0,0,0,0,70.7264,19.289,6.4297,45.0077,32.1484,0,2404.6966,0,0,19.289,6.4297,0,6.4297,0,57.867,0,0,167.1715,0,0,0,25.7187,0,0,0,12.8593,0,0,180.0308,0,0
PHB20200224,Port Hacking,-34.11923,151.22667,2020-02-25T08:52:00Z,2020,2,25,08:52:00,0,17.6816,0,0,0,0,0,0,0,0,321.8049,3.5363,0,717.8721,0,0,10.6089,0,0,0,0,0,0,0,56.5811,0,0,0,28.2905,10.609,0,3.5363,21.2179,0,0,10.609,0,0
MAI20200223,Maria Island,-42.59667,148.23333,2020-02-24T10:30:00Z,2020,2,24,10:30:00,0,320.6261,0,0,0,0,0,18.8604,4.7151,0,1315.5103,4.7151,0,789.7773,0,0,4.7151,23.5755,0,0,0,14.1453,0,0,56.581,0,0,0,1485.2536,0,0,0,9.4302,0,0,18.8604,0,0
YON20200212,Yongala,-19.30847,147.61842,2020-02-13T09:47:00Z,2020,2,13,09:47:00,0,530.4477,0,0,13.6012,0,0,176.8159,0,0,13.6012,95.2085,0,5889.3294,0,0,40.8036,95.2086,0,0,0,0,0,13.6012,625.6562,0,0,0,0,0,0,0,13.6012,0,0,176.8159,0,0
KAI20200204,Kangaroo Island,-35.83217,136.44733,2020-02-04T14:25:00Z,2020,2,4,14:25:00,0,473.8665,0,0,0,0,0,0,0,0,587.0288,0,0,3041.2331,0,0,7.0726,7.0726,0,0,7.0726,0,0,0,70.7263,0,0,0,233.397,0,0,0,0,0,0,212.1791,0,0
DAR20200203_2130,Darwin,-12.4,130.76805,2020-02-04T07:00:00Z,2020,2,4,07:00:00,0,1744.5835,0,0,0,47.1509,0,141.4527,141.4527,0,0,0,0,17257.2316,0,0,188.6036,0,0,0,0,0,0,47.1509,1131.6217,0,0,0,0,188.6036,0,0,377.2073,0,0,0,0,0
ROT20200128,Rottnest Island,-32,115.41667,2020-01-28T09:39:00Z,2020,1,28,09:39:00,7.8585,408.6412,0,0,23.5755,0,0,15.717,7.8585,0,180.7451,0,0,3842.7994,0,0,31.4339,0,0,0,0,0,0,0,23.5755,0,0,0,0,0,0,0,0,0,0,23.5755,0,0
NSI20200122,North Stradbroke,-27.345,153.562,2020-01-22T10:35:00Z,2020,1,22,10:35:00,0,475.7955,0,0,0,0,0,25.7187,12.8594,0,0,12.8594,0,2057.4945,0,0,6.4297,6.4297,0,6.4297,0,0,0,0,25.7187,0,0,0,0,0,0,0,6.4297,0,0,96.4451,0,0
YON20200116,Yongala,-19.30847,147.61842,2020-01-16T10:05:00Z,2020,1,16,10:05:00,0,2271.4043,0,0,13.6012,0,0,40.8037,13.6012,0,40.8037,0,0,3237.0909,0,0,0,40.8036,0,0,13.6012,0,0,13.6012,54.4049,0,0,0,0,0,13.6012,40.8037,13.6012,0,0,0,0,0
MAI20200106,Maria Island,-42.59667,148.23333,2020-01-07T09:45:00Z,2020,1,7,09:45:00,0,33.0056,0,0,4.7151,0,0,9.4302,0,0,47.1509,108.4471,0,999.5994,0,0,18.8604,4.7151,0,0,0,4.7151,0,0,28.2906,0,0,0,23363.2742,0,0,0,4.7151,0,0,14.1453,0,0
NSI20191220,North Stradbroke,-27.345,153.562,2019-12-20T10:20:00Z,2019,12,20,10:20:00,6.4297,681.5449,0,0,0,0,0,6.4297,25.7187,0,12.8593,12.8594,0,1864.6043,0,0,0,0,0,0,0,25.7187,0,0,160.7417,0,0,0,90.0154,6.4297,0,0,12.8594,0,0,0,0,0
ROT20191218,Rottnest Island,-32,115.41667,2019-12-18T09:15:00Z,2019,12,18,09:15:00,0,440.0752,0,0,0,0,0,62.8679,15.717,0,612.9618,31.434,0,3536.3182,0,0,47.151,0,0,0,0,31.434,0,15.717,47.151,0,0,0,0,15.717,0,15.717,0,0,0,392.9242,0,0
PHB20191216,Port Hacking,-34.11923,151.22667,2019-12-17T09:02:00Z,2019,12,17,09:02:00,0,141.4527,0,0,0,0,0,3.5363,10.6089,3.5363,318.2686,14.1452,0,1032.6045,0,0,7.0726,14.1453,0,0,3.5363,7.0726,0,0,24.7542,0,0,0,1598.4157,0,3.5363,10.609,7.0726,0,0,109.6259,0,0
MAI20191210,Maria Island,-42.59667,148.23333,2019-12-11T09:30:00Z,2019,12,11,09:30:00,0,391.3525,0,0,0,0,0,4.7151,0,9.4302,117.8773,14.1453,0,1504.1143,0,0,9.4302,14.1453,0,23.5755,0,0,0,0,198.0338,0,0,0,1343.8008,4.7151,0,0,42.4358,0,0,0,0,0
