NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Abylopsis,Acartia,Acrocalanus,Aetideus,Agalma,Agetus,Amallothrix,Ascampbelliella,Atlanta,Bestiolina,Bougainvillia,Branchiostoma,Brooksia,Calanoides,Calanopia,Calanus,Calocalanus,Candacia,Canthocalanus,Centropages,Clausocalanus,Climacocylis,Clione,Clytemnestra,Codonella,Codonellopsis,Copilia,Corycaeus,Cosmocalanus,Ctenocalanus,Cyttarocylis,Dadayiella,Delibus,Desmopterus,Diacavolinia,Diacria,Dictyocysta,Dioithona,Ditrichocorycaeus,Doliolum,Epiplocylis,Eucalanus,Euchaeta,Eucheilota,Euchirella,Euphysa,Euterpina,Eutima,Eutintinnus,Evadne,Farranula,Favella,Firoloida,Gazelletta,Gladioferens,Goniopsyllus,Haloptilus,Hemicyclops,Heterorhabdus,Hydromyles,Ihlea,Kelleria,Krohnitta,Kuhnia,Labidocera,Leprotintinnus,Limacina,Lubbockia,Lucicutia,Lucifer,Macrosetella,Magelona,Mecynocera,Mesocalanus,Metacalanus,Metridia,Microsetella,Nannocalanus,Nanomia,Neocalanus,Noctiluca,Nyctiphanes,Obelia,Oculosetella,Ocyropsis,Oikopleura,Oithona,Oncaea,Onychocorycaeus,Paracalanus,Paraclione,Paraeuchaeta,Paralovenia,Pareucalanus,Parundinella,Parvocalanus,Pegea,Pelagobia,Penilia,Phaenna,Phalacrophorus,Pleuromamma,Podon,Pontella,Pontellina,Pontellopsis,Pontoeciella,Pseudevadne,Pseudodiaptomus,Rhabdonella,Rhabdosoma,Rhincalanus,Rotalia,Salpingella,Sapphirina,Scaphocalanus,Schizopera,Scolecithricella,Scolecithrix,Scolecitrichopsis,Serratosagitta,Sphaeronectes,Spinoncaea,Stephos,Subeucalanus,Sulculeolaria,Tectillaria,Temora,Temoropia,Thalia,Thysanoessa,Tintinnopsis,Tisbidae,Tomopteris,Tortanus,Triconia,Undella,Undinula,Urocorycaeus,Xystonella,Xystonellopsis,Zoothamnium
NSI20200228,North Stradbroke,-27.345,153.562,2020-02-28T10:30:00Z,2020,2,28,10:30:00,0,19.289,12.8593,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,0,6.4297,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,180.0308,0,0,0,0,0,0,25.7187,0,0,0,12.8594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.2967,0,0,0,0,0,0,0,0,0,289.3351,0,0,0,25.7187,0,0,0,0,0,533.6625,250.7573,0,25.7187,0,0,0,0,0,32.1483,0,0,32.1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.289,0,0,0,0,0,0,0,12.8593,0,6.4297,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,12.8593,0,6.4297
PHB20200224,Port Hacking,-34.11923,151.22667,2020-02-25T08:52:00Z,2020,2,25,08:52:00,0,42.4358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5363,7.0726,0,0,3.5363,0,0,0,0,0,0,0,0,3.5363,0,0,0,0,0,0,0,0,0,10.609,0,0,0,0,0,0,3.5363,0,0,7.0726,3.5363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5363,0,0,0,0,0,0,3.5363,0,0,24.7542,0,0,0,28.2905,0,0,0,0,0,219.2517,84.8715,0,7.0726,0,0,0,0,0,0,0,0,297.0507,0,0,0,10.609,0,0,0,0,7.0726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.609,0,0,0,0,24.7542,3.5363,0,0,0,0,0,0,0,0,0,3.5363,0,0,0
MAI20200223,Maria Island,-42.59667,148.23333,2020-02-24T10:30:00Z,2020,2,24,10:30:00,0,14.1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3575,21.2179,0,0,0,0,0,0,0,0,2.3575,4.7151,0,0,0,0,0,0,0,0,18.8604,0,0,0,0,0,0,21.2179,0,0,231.0394,4.7151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4301,0,0,0,1485.2536,0,0,0,0,0,198.0337,21.2179,0,51.866,0,2.3575,0,0,0,0,0,0,1070.3256,0,0,0,14.1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YON20200212,Yongala,-19.30847,147.61842,2020-02-13T09:47:00Z,2020,2,13,09:47:00,0,0,13.6012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2024,13.6012,0,0,0,0,0,13.6012,217.6196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6012,0,136.0122,0,0,13.6012,0,0,0,0,0,0,380.8343,0,0,0,0,0,0,0,0,0,2665.8396,95.2085,0,13.6012,0,0,0,0,0,54.4049,0,0,13.6012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6012,0,0,0,0,0,0,0,0,0,0,0,0,13.6012,0,163.2147,0,0,0,0,0,0,0,0,0,0,0,0
KAI20200204,Kangaroo Island,-35.83217,136.44733,2020-02-04T14:25:00Z,2020,2,4,14:25:00,0,198.0338,0,0,0,0,0,0,0,21.2179,0,0,0,0,0,0,0,0,0,0,63.6537,0,0,0,0,0,0,0,0,7.0726,0,0,0,0,0,0,0,7.0726,14.1453,212.1791,0,0,0,0,0,0,49.5084,0,0,21.2179,0,0,0,0,0,7.0726,0,0,0,0,0,0,0,0,0,0,7.0726,0,0,0,0,0,0,0,0,0,601.174,0,0,0,233.397,0,0,0,0,0,417.2855,148.5253,0,28.2905,0,0,0,0,0,0,0,0,558.7383,0,0,0,7.0726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAR20200203_2130,Darwin,-12.4,130.76805,2020-02-04T07:00:00Z,2020,2,4,07:00:00,0,0,94.3018,0,0,0,0,0,0,47.1509,0,47.1509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.1509,0,0,0,0,0,0,0,1461.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.1509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5658.1088,0,0,0,0,0,0,0,0,660.1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.4527,0,0,0,0,0,0,0,0,0,0
ROT20200128,Rottnest Island,-32,115.41667,2020-01-28T09:39:00Z,2020,1,28,09:39:00,0,526.5185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8585,0,204.3206,0,0,0,0,0,0,0,0,0,7.8585,0,0,0,0,0,0,15.717,31.434,15.717,0,0,0,0,0,0,7.8585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8585,0,0,0,0,0,0,0,0,0,55.0094,0,0,0,0,0,0,0,0,0,243.6131,47.151,0,15.717,0,0,0,0,0,0,0,0,180.7451,0,0,0,0,7.8585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSI20200122,North Stradbroke,-27.345,153.562,2020-01-22T10:35:00Z,2020,1,22,10:35:00,0,19.289,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1483,12.8594,19.289,0,6.4297,6.4297,0,0,0,0,0,51.4374,0,6.4297,0,0,0,0,0,0,0,0,0,96.4451,0,0,6.4297,0,0,0,83.5857,0,0,0,12.8594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,0,0,6.4297,0,0,0,0,0,295.7648,0,0,0,0,0,0,0,0,0,321.4835,212.1791,25.7187,32.1483,0,0,0,0,0,12.8593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7187,0,0,109.3044,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,0
YON20200116,Yongala,-19.30847,147.61842,2020-01-16T10:05:00Z,2020,1,16,10:05:00,0,27.2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2024,0,0,0,0,0,0,0,0,0,0,0,13.6012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6012,0,0,0,0,0,0,0,0,0,421.6379,0,0,0,0,0,0,0,0,0,1700.1529,0,0,13.6012,0,0,0,0,0,13.6012,0,0,0,0,0,0,0,0,0,0,0,40.8037,0,13.6012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAI20200106,Maria Island,-42.59667,148.23333,2020-01-07T09:45:00Z,2020,1,7,09:45:00,0,28.2906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1453,0,0,0,0,0,0,28.2905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8604,0,0,0,23363.2742,0,0,0,0,0,777.99,9.4302,0,14.1453,0,0,0,0,0,0,0,0,0,0,0,0,47.1509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
