NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Abylopsis tetragona,Bougainvillia vervoorti,Brooksia rostrata,Calanus Australis,Climacocylis scalaria,Codonella amphorella,Codonella galea,Codonellopsis morchella,Codonellopsis obesa,Codonellopsis orthoceras,Codonellopsis ostenfeldi,Cyttarocylis ampulla,Dadayiella ganymedes,Diacavolinia longirostris,Doliolum denticulatum,Evadne nordmanni,Evadne spinifera,Gazelletta hexanema,Hydromyles globulosus,Ihlea magalhanica,Leprotintinnus nordqvisti,Nanomia bijuga,Nyctiphanes australis,Oikopleura (Coecaria) longicauda,Pegea confoederata,Pelagobia longicirrata,Penilia avirostris,Pseudevadne tergestina,Rhabdonella amor,Rhabdonella apophysata,Rhabdonella spiralis,Rhabdosoma whitei,Salpingella acuminata,Serratosagitta pacifica,Serratosagitta serratodentata,Tectillaria fertilis,Thalia democratica,Thysanoessa gregaria,Tintinnopsis lobiancoi,Tintinnopsis mortensenii,Tintinnopsis radix,Xystonella treforti,Xystonellopsis heros,Xystonellopsis pulchra,Zoothamnium pelagicum
NSI20200228,North Stradbroke,-27.345,153.562,2020-02-28T10:30:00Z,2020,2,28,10:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8593,0,0,6.4297
PHB20200224,Port Hacking,-34.11923,151.22667,2020-02-25T08:52:00Z,2020,2,25,08:52:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.0507,7.0726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAI20200223,Maria Island,-42.59667,148.23333,2020-02-24T10:30:00Z,2020,2,24,10:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8604,231.0394,0,0,0,0,0,0,0,0,0,0,1070.3256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YON20200212,Yongala,-19.30847,147.61842,2020-02-13T09:47:00Z,2020,2,13,09:47:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6012,0,0,0,0,0,0,0,0,0,163.2147,0,0,0,0,0,0,0,0
KAI20200204,Kangaroo Island,-35.83217,136.44733,2020-02-04T14:25:00Z,2020,2,4,14:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558.7383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAR20200203_2130,Darwin,-12.4,130.76805,2020-02-04T07:00:00Z,2020,2,4,07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.4527,0,0,0,0
ROT20200128,Rottnest Island,-32,115.41667,2020-01-28T09:39:00Z,2020,1,28,09:39:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSI20200122,North Stradbroke,-27.345,153.562,2020-01-22T10:35:00Z,2020,1,22,10:35:00,0,0,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4297,0,0,0
YON20200116,Yongala,-19.30847,147.61842,2020-01-16T10:05:00Z,2020,1,16,10:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAI20200106,Maria Island,-42.59667,148.23333,2020-01-07T09:45:00Z,2020,1,7,09:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSI20191220,North Stradbroke,-27.345,153.562,2019-12-20T10:20:00Z,2019,12,20,10:20:00,0,0,0,0,6.4297,0,0,0,0,0,0,6.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROT20191218,Rottnest Island,-32,115.41667,2019-12-18T09:15:00Z,2019,12,18,09:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581.5279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHB20191216,Port Hacking,-34.11923,151.22667,2019-12-17T09:02:00Z,2019,12,17,09:02:00,0,0,0,0,0,0,0,0,0,0,0,3.5363,0,0,0,3.5363,0,0,0,0,0,0,0,0,0,0,297.0507,10.609,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0726,0,0,0
MAI20191210,Maria Island,-42.59667,148.23333,2019-12-11T09:30:00Z,2019,12,11,09:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4358,0,0,0,0,0,0,4.7151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YON20191202,Yongala,-19.30847,147.61842,2019-12-03T09:45:00Z,2019,12,3,09:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6816,35.3632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAI20191127,Kangaroo Island,-35.83217,136.44733,2019-11-27T14:25:00Z,2019,11,27,14:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROT20191126,Rottnest Island,-32,115.41667,2019-11-26T09:30:00Z,2019,11,26,09:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5363,0,0
MAI20191121,Maria Island,-42.59667,148.23333,2019-11-22T09:23:00Z,2019,11,22,09:23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7151,0,0,0,0,0,0,0,0
PHB20191118,Port Hacking,-34.11923,151.22667,2019-11-19T09:15:00Z,2019,11,19,09:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0726,0,0,0,0,0,0,0,0,0,0,0,10.609,0,0,0,0,0,0,0,0,3.5363,0,0,0,0,0,0,0,0
YON20191107,Yongala,-19.30847,147.61842,2019-11-07T10:10:00Z,2019,11,7,10:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAR20191105,Darwin,-12.4,130.76805,2019-11-06T07:38:00Z,2019,11,6,07:38:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHB20191028,Port Hacking,-34.11923,151.22667,2019-10-29T09:30:00Z,2019,10,29,09:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5363,0,0,0,0,0,0,0,0,0,0,99.0169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
