SAMPLE,WATERDEPTH_M,SST_C,CHL_AVG,CHL
13-49,-759.8569375,18.04,0.2092,0.525073886
67-15,0.1121,14.02,0.1541,0.19325912
12-49,-1847.566775,22.86,0.2927,0.124506377
76-13,-22.14215625,16.83,0.201,0.332960665
19-61,-1166.218119,20.61,0.3755,0.155176133
52-5,-3609.658119,14.19,0.2103,0.27438575
52-37,-4657.811444,14.04,0.5257,0.214144498
87-4,0.1121,6.66,0.1191,0.203146994
87-6,0.1121,6.61,0.1045,0.20684579
87-34,0.1121,6.1,0.1865,0.372249335
89-38,0.1121,6.9,0.1258,0.069809519
89-41,0.1121,6.75,0.1429,0.088523775
91-41,-3025.015788,2.44,0.1381,0.1468312
91-42,-3043.006194,2.53,0.1555,0.122002959
93-35,-3883.783944,8.42,0.1694,0.120424718
98-22,-81.105625,22.7625628,0.2729,(null)
146-36,0.1121,3.1,0.1741,0.106899202
144-20,-3216.796669,4.64,0.2437,0.128807247
155-41,0.1121,5.04,0.2087,0.135865018
156-17,0.1121,4.29,0.1913,0.141693011
158-42,0.1121,1.31,0.2071,0.193637326
158-77,0.1121,-0.02,0.2312,0.2696383
159-26,0.1121,1.52,0.1293,0.429490149
160-88,0.1121,5.12,0.1249,0.125451073
167-1,0.1121,11.37,0.3482,(null)
167-8,0.1121,11.3,0.2657,0.162557051
167-10,0.1121,11.23,0.1675,0.166015208
167-15,-3529.011338,11.43,0.1831,0.1930888
166-62,0.1121,3.17,0.2685,0.114310429
169-21,-769.9712,16.41,0.2638,0.441054434
164-45,0.1121,3.79,0.1687,0.177460298
162-2,-4246.204131,6.73,0.1608,0.140656218
162-7,0.1121,6.62,0.1524,0.145155877
162-14,0.1121,7.7,0.2751,0.190555468
216-14,0.1121,8.16,0.2242,0.19401139
216-66,-3424.591406,7.24,0.2195,0.150886267
215-28,0.1121,9.85,0.2444,0.42617932
215-45,-4499.343206,9.77,0.1392,0.221330658
215-78,-3823.415981,9.05,0.1284,0.215476647
206-17,-75.528125,21.55,0.3894,0.288183808
219-15,-4394.531531,3.88,0.4152,0.186608672
384-13,-87.839375,22.1846462,1.7411,0.34727177
343-61,-1482.96625,19.69,0.3189,0.274969131
400-5,-1294.864375,22.1249934,0.2199,0.290665567
403-29,-5602.095625,15.5397158,0.2281,0.181937158
362-5,-1454.671875,25.95,0.215,0.070025444
321-62,0.1121,9.92,0.2475,0.216446996
360-13,-3940.7225,13.47,0.1578,0.18726179
358-109,-71.793125,15.3072158,0.2931,0.161024317
139-51,0.1121,(null),0.2492,(null)
139-53,0.1121,(null),0.2451,(null)
139-25,-4507.922063,2.5552022,0.2448,(null)
139-76,0.1121,(null),0.2083,(null)
150-80,0.1121,1.2950633,0.2713,(null)
142-16,0.1121,(null),0.1867,(null)
149-22,-3373.236431,8.3373548,0.1915,(null)
141-42,0.1121,(null),0.129,(null)
141-53,-4406.597094,7.3354104,0.1701,(null)
221-33,0.1121,13.16,0.5125,0.37741527
362-69,-100.180625,22.1846462,0.2565,0.14572084
365-69,-55.93875,16.1762435,0.1848,0.466699809
155-39,0.1121,5.22,0.2086,0.137064874
158-2,0.1121,2.5,0.1702,0.122134931
160-48,-4282.961819,3.58,0.3708,0.168211743
194-1,-2690.499219,24.71,0.2845,0.103321098
163-84,0.1121,9.7,0.5936,0.156430423
167-23,-2139.026738,12.03,0.1624,0.19567956
43-6,-197.63125,23.2245767,0.1464,(null)
12-1,-55.5554,24.76,0.6258,0.596006036
86-9,0.1121,10.97,0.1851,0.222263321
86-24,0.1121,10.25,0.1691,0.156632528
119-9,-5402.230456,16.75,0.2084,0.197144151
