SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
73,Yongala,-19.30847,147.61842,2010-08-17 10:15:00
76,Maria Island,-42.59667,148.23333,2010-12-14 11:05:00
94,Esperance,-33.93333,121.85,2010-03-22 09:40:00
99,North Stradbroke,-27.345,153.562,2010-07-12 08:45:00
123,Yongala,-19.30847,147.61842,2010-12-08 10:45:00
125,Rottnest Island,-32,115.41667,2010-12-15 10:20:00
128,Esperance,-33.93333,121.85,2011-11-30 14:38:00
133,North Stradbroke,-27.345,153.562,2011-11-16 10:00:00
134,Maria Island,-42.59667,148.23333,2011-12-15 10:35:00
1542,Port Hacking,-34.11923,151.22667,2012-09-18 09:38:00
1559,Ningaloo,-21.99,113.779,2013-02-09 09:22:00
1577,Maria Island,-42.59667,148.23333,2013-01-30 10:33:00
1765,Maria Island,-42.59667,148.23333,2013-03-14 10:00:00
1771,Maria Island,-42.59667,148.23333,2013-02-14 11:00:00
1786,Yongala,-19.30847,147.61842,2013-02-20 10:42:00
3081,Port Hacking,-34.11923,151.22667,2013-05-15 09:40:00
3111,Rottnest Island,-32,115.41667,2013-07-12 12:35:00
3178,Maria Island,-42.59667,148.23333,2013-08-21 11:21:00
7043,Port Hacking,-34.11923,151.22667,2013-10-21 09:36:00
7045,Port Hacking,-34.11923,151.22667,2013-12-03 09:30:00
5440,Rottnest Island,-32,115.41667,2014-01-22 10:10:00
5488,North Stradbroke,-27.345,153.562,2014-06-23 10:20:00
5495,Maria Island,-42.59667,148.23333,2014-05-16 10:20:00
5514,Rottnest Island,-32,115.41667,2014-02-27 12:39:00
5731,Kangaroo Island,-35.83217,136.44733,2014-05-07 13:45:00
5843,Rottnest Island,-32,115.41667,2014-05-19 12:22:00
7041,Rottnest Island,-32,115.41667,2013-10-01 11:55:00
6678,Kangaroo Island,-35.83217,136.44733,2014-07-13 16:13:00
6707,Rottnest Island,-32,115.41667,2014-09-02 11:55:00
6994,Rottnest Island,-32,115.41667,2014-11-19 10:16:00
7106,Port Hacking,-34.11923,151.22667,2014-12-09 09:51:00
7151,Port Hacking,-34.11923,151.22667,2014-11-13 09:36:00
1495,North Stradbroke,-27.345,153.562,2012-09-12 10:20:00
145,Rottnest Island,-32,115.41667,2010-08-20 14:30:00
156,Ningaloo,-21.99,113.779,2011-05-01 08:24:00
