NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
MAI20090820,1108,Maria Island,-42.59667,148.23333,2009-08-20 11:30:00
MAI20091013,1113,Maria Island,-42.59667,148.23333,2009-10-13 11:00:00
NSI20090318,1087,North Stradbroke,-27.345,153.562,2009-03-18 10:30:00
NSI20090416,1088,North Stradbroke,-27.345,153.562,2009-04-16 10:30:00
MAI20090601,1095,Maria Island,-42.59667,148.23333,2009-06-01 11:20:00
PHB20090714,1102,Port Hacking,-34.11923,151.22667,2009-07-15 09:15:00
NSI20091021,1119,North Stradbroke,-27.345,153.562,2009-10-22 09:20:00
ESP20090623,1123,Esperance,-33.93333,121.85,2009-06-23 09:20:00
ESP20100629,1246,Esperance,-33.93333,121.85,2010-06-29 10:05:00
NSI20100711,1242,North Stradbroke,-27.345,153.562,2010-07-12 08:45:00
ROT20091026,1127,Rottnest Island,-32,115.41667,2009-10-26 09:53:00
YON20100521,1236,Yongala,-19.30847,147.61842,2010-05-21 12:56:00
NSI20100520,1240,North Stradbroke,-27.345,153.562,2010-05-21 08:21:00
YON20100729,1247,Yongala,-19.30847,147.61842,2010-07-29 11:22:00
YON20101101,1293,Yongala,-19.30847,147.61842,2010-11-01 11:45:00
MAI20110407,1356,Maria Island,-42.59667,148.23333,2011-04-07 10:30:00
ROT20100723,1318,Rottnest Island,-32,115.41667,2010-07-23 12:02:00
ROT20100820,1319,Rottnest Island,-32,115.41667,2010-08-20 14:30:00
ROT20100924,1320,Rottnest Island,-32,115.41667,2010-09-24 12:22:00
NIN20101108,1341,Ningaloo,-21.99,113.779,2010-11-08 15:00:00
NSI20120229,1381,North Stradbroke,-27.345,153.562,2012-03-01 09:45:00
ESP20110120,1317,Esperance,-33.93333,121.85,2011-01-20 08:50:00
NSI20131016,3293,North Stradbroke,-27.345,153.562,2013-10-16 10:40:00
MAI20140318,5462,Maria Island,-42.59667,148.23333,2014-03-19 10:55:00
YON20130416,1791,Yongala,-19.30847,147.61842,2013-04-16 11:35:00
NSI20140623,5490,North Stradbroke,-27.345,153.562,2014-06-23 10:20:00
ROT20131218,4935,Rottnest Island,-32,115.41667,2013-12-18 10:43:00
PHB20131202,5519,Port Hacking,-34.11923,151.22667,2013-12-03 09:30:00
NSI20140725,5522,North Stradbroke,-27.345,153.562,2014-07-25 10:35:00
PHB20140120,5523,Port Hacking,-34.11923,151.22667,2014-01-21 09:43:00
ROT20140319,5817,Rottnest Island,-32,115.41667,2014-03-19 12:30:00
DAR20140702,5544,Darwin,-12.4,130.76805,2014-07-03 09:08:00
MAI20150312,7353,Maria Island,-42.59667,148.23333,2015-03-13 09:33:00
YON20150224,7709,Yongala,-19.30847,147.61842,2015-02-24 10:40:00
