NRS_TRIP_CODE,SAMPLE_DEPTH_M,TSS_MG_PER_L,TSS_FLAG,INORGANIC_FRACTION_MG_PER_L,ORGANIC_FRACTION_MG_PER_L,SECCHI_DEPTH_M,SECCHI_FLAG
NRSPHB20101110,0,0.7,1,0.5,0.3,16,0
NRSKAI20110427,0,1.1,0,0.6,0.6,(null),0
NRSNSI20100214,0,0.6,1,0.4,0.2,25,0
NRSPHB20110420,0,0.6,1,0.2,0.4,19,0
NRSNSI20100411,0,1.1,1,0.7,0.4,19,0
NRSNIN20101108,0,1.3,1,0.5,0.8,14,0
NRSMAI20120412,0,0.5,1,0.1,0.4,12,0
NRSMAI20120412,0,0.2,1,0,0.2,12,0
NRSPHB20111206,0,1.4,1,1.1,0.2,15,0
NRSPHB20111206,0,2.7,1,2.4,0.4,15,0
NRSYON20100909,0,1.1,1,0.8,0.3,13,0
NRSYON20100909,0,0.8,1,0.5,0.3,13,0
NRSKAI20120116,0,1.7,1,1,0.7,(null),0
NRSKAI20120116,0,2.1,1,1.4,0.7,(null),0
NRSPHB20090422,0,16.2,4,13.1,3.1,13.25,0
NRSPHB20100316,0,1.7,1,1.1,0.6,17.5,0
NRSPHB20101019,0,11.9,4,10.6,1.3,19.5,0
NRSYON20120208,0,1.2,1,0.9,0.1,11,0
NRSYON20120208,0,1.1,1,0.7,0.1,11,0
NRSPHB20110619,0,26.9,4,23.1,3.8,14,0
NRSYON20100119,0,1.8,1,1.5,0.3,14,0
NRSYON20100119,0,1.4,1,1.1,0.3,14,0
NRSROT20100617,0,1,1,0.7,0.3,15.5,0
NRSYON20111213,0,1.3,1,1.1,0.2,5.5,0
NRSYON20111213,0,1.2,1,0.9,0.3,5.5,0
NRSPHB20111117,0,2.2,1,1.7,0.5,15,0
NRSPHB20111117,0,2.1,1,1.8,0.3,15,0
NRSYON20091215,0,1.5,1,1.1,0.4,11,0
NRSYON20091215,0,1.4,1,1,0.4,11,0
NRSPHB20120517,0,1.2,1,0.9,0.4,11,1
NRSPHB20120517,0,1,1,0.5,0.5,11,1
NRSMAI20090716,0,1.3,1,0.9,0.4,20,1
NRSYON20100729,0,1.5,1,1.2,0.3,20,0
NRSYON20100729,0,1.2,1,0.9,0.3,20,0
NRSNIN20120226,0,1.3,1,0.8,0.1,8,0
