NRS_CODE,Station,Latitude,Longitude,SampleDateLocal,Biomass_mgm3
NRSDAR20110627_ZOOBIOWC,Darwin,-12.4,130.76805,2011-06-27,5.56585
NRSDAR20111005_ZOOBIOWC,Darwin,-12.4,130.76805,2011-10-05,1.37523
NRSDAR20120114_21:30_ZOOBIOWC,Darwin,-12.4,130.76805,2012-01-15,39.12967
NRSDAR20120114_23:35_ZOOBIOWC,Darwin,-12.4,130.76805,2012-01-15,26.32359
NRSDAR20120115_03:35_ZOOBIOWC,Darwin,-12.4,130.76805,2012-01-15,48.41338
NRSDAR20120115_05:40_ZOOBIOWC,Darwin,-12.4,130.76805,2012-01-15,235.28065
NRSDAR20120417_ZOOBIOWC,Darwin,-12.4,130.76805,2012-04-17,27.03073
NRSDAR20120729_16:30_ZOOBIOWC,Darwin,-12.4,130.76805,2012-07-30,57.75986
NRSDAR20120729_19:30_ZOOBIOWC,Darwin,-12.4,130.76805,2012-07-30,49.6622
NRSDAR20120729_22:30_ZOOBIOWC,Darwin,-12.4,130.76805,2012-07-30,29.32068
NRSDAR20120730_01:30_ZOOBIOWC,Darwin,-12.4,130.76805,2012-07-30,30.95885
NRSDAR20121029_ZOOBIOWC,Darwin,-12.4,130.76805,2012-10-30,47.87781
NRSDAR20121208_16:30_ZOOBIOWC,Darwin,-12.4,130.76805,2012-12-09,60.47103
NRSDAR20121208_20:00_ZOOBIOWC,Darwin,-12.4,130.76805,2012-12-09,53.57521
NRSDAR20121208_23:30_ZOOBIOWC,Darwin,-12.4,130.76805,2012-12-09,58.09384
NRSDAR20121209_03:00_ZOOBIOWC,Darwin,-12.4,130.76805,2012-12-09,12.86546
NRSDAR20130405_ZOOBIOWC,Darwin,-12.4,130.76805,2013-04-05,3.21636
NRSDAR20130617_08:00_ZOOBIOWC,Darwin,-12.4,130.76805,2013-06-17,11.8236
NRSDAR20130617_11:30_ZOOBIOWC,Darwin,-12.4,130.76805,2013-06-17,23.55495
NRSDAR20130617_15:00_ZOOBIOWC,Darwin,-12.4,130.76805,2013-06-18,23.69333
NRSDAR20130617_18:30_ZOOBIOWC,Darwin,-12.4,130.76805,2013-06-18,19.49395
NRSDAR20130916_ZOOBIOWC,Darwin,-12.4,130.76805,2013-09-16,32.88775
NRSDAR20140117_19:50_ZOOBIOWC,Darwin,-12.4,130.76805,2014-01-18,1.44399
NRSDAR20140117_21:30_ZOOBIOWC,Darwin,-12.4,130.76805,2014-01-18,36.83664
NRSDAR20140118_00:30_ZOOBIOWC,Darwin,-12.4,130.76805,2014-01-18,606.52675
NRSDAR20140118_03:30_ZOOBIOWC,Darwin,-12.4,130.76805,2014-01-18,112.3717
NRSDAR20140403_ZOOBIOWC,Darwin,-12.4,130.76805,2014-04-04,69.4428
NRSDAR20140702_ZOOBIOWC,Darwin,-12.4,130.76805,2014-07-03,31.04592
NRSDAR20140906_00:30_ZOOBIOWC,Darwin,-12.4,130.76805,2014-09-06,43.22345
NRSDAR20140906_03:30_ZOOBIOWC,Darwin,-12.4,130.76805,2014-09-06,30.50458
NRSDAR20140906_06:30_ZOOBIOWC,Darwin,-12.4,130.76805,2014-09-06,32.76988
NRSDAR20140906_09:30_ZOOBIOWC,Darwin,-12.4,130.76805,2014-09-06,32.25737
NRSDAR20141130_ZOOBIOWC,Darwin,-12.4,130.76805,2014-12-01,28.52629
NRSDAR20150202_21:30_ZOOBIOWC,Darwin,-12.4,130.76805,2015-02-03,29.88895
NRSDAR20150203_00:30_ZOOBIOWC,Darwin,-12.4,130.76805,2015-02-03,48.44755
NRSDAR20150203_03:30_ZOOBIOWC,Darwin,-12.4,130.76805,2015-02-03,26.79564
NRSDAR20150203_06:30_ZOOBIOWC,Darwin,-12.4,130.76805,2015-02-03,908.46594
NRSDAR20150316_ZOOBIOWC,Darwin,-12.4,130.76805,2015-03-17,36.84401
NRSDAR20150505_ZOOBIOWC,Darwin,-12.4,130.76805,2015-05-06,30.54985
NRSDAR20150803_19:32_ZOOBIOWC,Darwin,-12.4,130.76805,2015-08-04,60.0732
NRSDAR20150803_22:30_ZOOBIOWC,Darwin,-12.4,130.76805,2015-08-04,68.33513
NRSDAR20150804_01:30_ZOOBIOWC,Darwin,-12.4,130.76805,2015-08-04,56.86027
NRSDAR20150804_04:30_ZOOBIOWC,Darwin,-12.4,130.76805,2015-08-04,20.51064
NRSDAR20151117_ZOOBIOWC,Darwin,-12.4,130.76805,2015-11-18,12.2731
NRSDAR20160201_2130_ZOOBIOWC,Darwin,-12.4,130.76805,2016-02-02,20.39276
NRSDAR20160202_0030_ZOOBIOWC,Darwin,-12.4,130.76805,2016-02-02,9.07654
NRSDAR20160202_0330_ZOOBIOWC,Darwin,-12.4,130.76805,2016-02-02,60.30352
NRSDAR20160202_0630_ZOOBIOWC,Darwin,-12.4,130.76805,2016-02-02,11.1001
NRSDAR20160530_ZOOBIOWC,Darwin,-12.4,130.76805,2016-05-31,29.30428
NRSDAR20160723_ZOOBIOWC,Darwin,-12.4,130.76805,2016-07-24,260.00257
NRSDAR20160724_0130_ZOOBIOWC,Darwin,-12.4,130.76805,2016-07-24,164.38294
NRSDAR20160724_0430_ZOOBIOWC,Darwin,-12.4,130.76805,2016-07-24,123.528
NRSDAR20160724_0730_ZOOBIOWC,Darwin,-12.4,130.76805,2016-07-24,31.06065
NRSDAR20161107_ZOOBIOWC,Darwin,-12.4,130.76805,2016-11-08,22.03568
