NRS_TRIP_CODE,Station,Latitude,Longitude,SampleDateLocal,SampleDepth_m,PROCHLOROCOCCUS_CELLSPERML,SYNECOCHOCCUS_CELLSPERML,PICOEUKARYOTES_CELLSPERML
NRSKAI20120116,Kangaroo Island,-35.83217,136.44733,2012-01-17 07:00:00,WC,102564,51912,5181.75
NRSYON20131114,Yongala,-19.30847,147.61842,2013-11-14 10:32:00,WC,98590,72083,2147.5
NRSKAI20120415,Kangaroo Island,-35.83217,136.44733,2012-04-15 10:42:00,WC,52279.5,15834,9297.75
NRSMAI20100527,Maria Island,-42.59667,148.23333,2010-05-27 11:30:00,WC,5916.75,4158,2541
NRSROT20120130,Rottnest Island,-32,115.41667,2012-01-30 11:09:00,WC,37590,16915.5,1774.5
NRSPHB20100218,Port Hacking,-34.11923,151.22667,2010-02-19 09:05:00,WC,28696.5,69735.75,3795.75
NRSDAR20111005,Darwin,-12.4,130.76805,2011-10-05 09:31:00,WC,0,117668.5,4867
NRSNSI20100322,North Stradbroke,-27.345,153.562,2010-03-23 09:15:00,WC,46473,33988.5,1202.25
NRSPHB20091206,Port Hacking,-34.11923,151.22667,2009-12-07 09:14:00,WC,13077.75,46420.5,8909.5
NRSNSI20110727,North Stradbroke,-27.345,153.562,2011-07-28 09:30:00,WC,48578.25,10967.25,2362.5
NRSMAI20100120,Maria Island,-42.59667,148.23333,2010-01-21 10:50:00,WC,23646,77043.75,12563.25
NRSPHB20101213,Port Hacking,-34.11923,151.22667,2010-12-14 09:30:00,WC,16023,25677.75,4352.25
NRSMAI20120326,Maria Island,-42.59667,148.23333,2012-03-27 10:40:00,WC,2803.5,2115.75,1827
NRSROT20101215,Rottnest Island,-32,115.41667,2010-12-15 10:20:00,WC,14841.75,26092.5,4751.25
NRSESP20111130,Esperance,-33.93333,121.85,2011-11-30 14:38:00,WC,22065.75,28045.5,4021.5
NRSMAI20111214,Maria Island,-42.59667,148.23333,2011-12-15 10:35:00,WC,1386,1701,10342.5
NRSYON20110323,Yongala,-19.30847,147.61842,2011-03-23 10:49:00,WC,27893.25,225351,5969.25
NRSMAI20111026,Maria Island,-42.59667,148.23333,2011-10-26 11:00:00,WC,5843.25,3454.5,4179
NRSMAI20110725,Maria Island,-42.59667,148.23333,2011-07-25 12:15:00,WC,8447.25,10578.75,4877.25
NRSPHB20100413,Port Hacking,-34.11923,151.22667,2010-04-14 09:18:00,WC,25851,114450,8053.5
NRSESP20090623,Esperance,-33.93333,121.85,2009-06-23 09:20:00,WC,86688,5124,913.5
NRSESP20100629,Esperance,-33.93333,121.85,2010-06-29 10:05:00,WC,9345,18375,6079.5
NRSESP20100322,Esperance,-33.93333,121.85,2010-03-22 09:40:00,WC,59472,73615.5,7780.5
NRSPHB20140911,Port Hacking,-34.11923,151.22667,2014-09-11 10:13:00,WC,2530.775,4464.135,33538.22
NRSROT20141014,Rottnest Island,-32,115.41667,2014-10-14 11:52:00,WC,2766.14,18231.8,16663.27
NRSYON20140527,Yongala,-19.30847,147.61842,2014-05-27 12:12:00,WC,26182,11408.5,1381
NRSKAI20141029,Kangaroo Island,-35.83217,136.44733,2014-10-29 11:00:00,WC,9209.71,14951.14,8860.525
NRSDAR20120115_03:35,Darwin,-12.4,130.76805,2012-01-15 13:05:00,WC,0,90111.5,2504.5
NRSDAR20120729_16:30,Darwin,-12.4,130.76805,2012-07-30 02:00:00,WC,0,136285,5492
NRSNSI20120806,North Stradbroke,-27.345,153.562,2012-08-06 10:15:00,WC,20800.5,14075.5,1864
NRSDAR20121208_20:00,Darwin,-12.4,130.76805,2012-12-09 05:30:00,WC,0,82162.5,3853.5
NRSYON20121129,Yongala,-19.30847,147.61842,2012-11-29 10:40:00,WC,59724,75600.5,1370.5
NRSPHB20120821,Port Hacking,-34.11923,151.22667,2012-08-22 09:19:00,WC,425.5,2347,3407.5
NRSMAI20121017,Maria Island,-42.59667,148.23333,2012-10-18 10:52:00,WC,2558.5,5192.5,2761.5
NRSPHB20121009,Port Hacking,-34.11923,151.22667,2012-10-10 09:44:00,WC,357,2184,8222
NRSESP20121212,Esperance,-33.93333,121.85,2012-12-12 09:10:00,WC,2096,9366.5,362.5
NRSROT20130125,Rottnest Island,-32,115.41667,2013-01-25 10:10:00,WC,5229.5,62832,1459
NRSNSI20130326,North Stradbroke,-27.345,153.562,2013-03-26 11:10:00,WC,14101.5,41034,6331.5
NRSYON20130515,Yongala,-19.30847,147.61842,2013-05-15 10:30:00,WC,1470.5,199096,1376
NRSPHB20121218,Port Hacking,-34.11923,151.22667,2012-12-19 09:31:00,WC,4389,43675,19630
NRSROT20141119,Rottnest Island,-32,115.41667,2014-11-19 10:16:00,WC,6985.785,28580.19,10113.28
NRSROT20150128,Rottnest Island,-32,115.41667,2015-01-28 10:15:00,WC,5967.445,15564.075,10328.38
NRSMAI20160303,Maria Island,-42.59667,148.23333,2016-03-04 10:15:00,WC,5478.5,13442.925,9508
NRSDAR20150803_19:32,Darwin,-12.4,130.76805,2015-08-04 05:02:00,WC,1937.96,51187.5,5094.445
NRSDAR20150804_04:30,Darwin,-12.4,130.76805,2015-08-04 14:00:00,WC,1175.8,47388.17,3898.905
NRSPHB20150518,Port Hacking,-34.11923,151.22667,2015-05-19 09:43:00,WC,5021.285,17066.435,23698.7
NRSPHB20130915,Port Hacking,-34.11923,151.22667,2013-09-16 08:15:00,WC,630,1187,1922
NRSNSI20150731,North Stradbroke,-27.345,153.562,2015-07-31 10:15:00,WC,6891.87,29731.78,4525.72
NRSPHB20150630,Port Hacking,-34.11923,151.22667,2015-06-30 11:11:00,WC,4248.21,12802.42,7446.4
NRSPHB20150819,Port Hacking,-34.11923,151.22667,2015-08-19 10:03:00,WC,2450.2,9949.765,5785.855
NRSPHB20160615,Port Hacking,-34.11923,151.22667,2016-06-15 11:06:00,WC,4629.155,8771.175,7014.16
NRSROT20160722,Rottnest Island,-32,115.41667,2016-07-22 13:20:00,WC,(null),(null),(null)
