TAXON_ID,DIET,DISTRIBUTION,SIZE_MIN_MM,SIZE_MAX_MM,HABITAT,VERT_DIST,SP_CODE,SIZE_REFERENCE,COMMENTS,SIZE_AVE_MM,TAXON_NAME,HOLO_MERO,N2_COEFF,C2_COEFF,LOGWWMIN_UG,LOGWWMAX_UG,LOGWWAVG_UG,SONIA_UG_DRYWEIGHT,ESD_UM
449,"CH",(null),2.9,5.3,(null),(null),(null),"‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database",(null),4.1,"Rhincalanus spp. f","H",(null),(null),-0.075247,0.707191,0.374076,310.04,15.84893192
450,"CH",(null),2.4,4.3,(null),(null),(null),"‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database",(null),3.35,"Rhincalanus spp. m","H",(null),(null),-0.320805,0.435877,0.111929,310.04,15.84893192
462,"CC","o",1.3,2.25,(null),(null),(null),"Razouls 2012","genus ecology data",1.775,"Candacia truncata m","H",(null),(null),-1.11636,-0.404549,-0.712245,75,223.8721139
463,"CH","o",1.12,1.27,"sa","e",(null),"Frost & Fleminger 1968",(null),1.195,"Clausocalanus brevipes m","H",(null),(null),-1.309746,-1.146655,-1.22564,30.84,15.84893192
466,"CC","o",1.27,1.62,"w;t","e",(null),"Razouls 2012",(null),1.445,"Agetus typicus m","H",(null),(null),-1.146655,-0.830811,-0.979147,6.67,223.8721139
467,"CC","o",0.65,1.07,(null),"e",(null),"Razouls 2012","genus ecology data",0.86,"Ditrichocorycaeus andrewsi f","H",(null),(null),-2.015777,-1.369007,-1.652506,6.67,223.8721139
468,"CC","o",0.68,0.82,(null),"e",(null),"Razouls 2012","genus ecology data",0.75,"Ditrichocorycaeus subtilis m","H",(null),(null),-1.95723,-1.714307,-1.830092,6.67,223.8721139
469,"CC","o",0.8,1.4,"w;t","e",(null),"Razouls 2012",(null),1.1,"Onychocorycaeus ovalis m","H",(null),(null),-1.746348,-1.020199,-1.333127,6.67,223.8721139
501,"CC","o",2.24,3,(null),"e",(null),"""Bradford, Haakonssen & Jillett 1983""","""Banyuls dist data, genus vert.dist data""",2.62,"Euchaeta concinna m","H",(null),(null),-0.410329,-0.031257,-0.206999,300,223.8721139
503,"CH",(null),0.79,1.4,(null),(null),(null),"‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database",(null),1.095,"Acrocalanus spp.","H",(null),(null),-1.76267,-1.020199,-1.339038,(null),15.84893192
513,"CC","o",0.95,1.19,"tIP;SAfr","e",(null),"Razouls 2012",(null),1.07,"Onychocorycaeus pacificus m","H",(null),(null),-1.523357,-1.231081,-1.369007,6.67,223.8721139
522,"CC",(null),1.9,2.75,(null),(null),(null),"Razouls 2012",(null),2.325,"Labidocera kroyeri f","H",(null),(null),-0.62394,-0.144162,-0.362001,(null),223.8721139
539,"CC",(null),1.62,2.35,(null),(null),(null),"Boltovskoy 1999",(null),1.985,"Heterorhabdus papilliger f","H",(null),(null),-0.830811,-0.348123,-0.567151,35.19,223.8721139
