FID,id,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Amphipod,Appendicularian_Fritillariidae,Appendicularian_Oikopleuridae,Appendicularian_Other,Ascidian,Brachiopod,Bryozoan,Cephalochordate_Branchiostomatidae,Cephalopod,Chaetognath,Ciliophora_Tintinnid,Cirripedia,Cladoceran,Cnidarian_Medusae,Cnidarian_Other,Cnidarian_Siphonophore,Coelenterate,Copepod_Bivalvia,Copepod_Calanoid,Copepod_Cyclopoid,Copepod_Harpacticoid,Copepod_Other,Copepod_Poecilostomatoida,Copepod_Siphonostomatoida,Ctenophore,Cumacean,Decapod,Echinoderm,Egg,Euphausiid,Fish,Fish_Egg,Forams,Hemichordata,Isopod,Mollusc_Bivalvia,Mollusc_Gastropod,Mysida,Nematode,Nemertean,Noctilucaceae,Ostracod,Phoronid,Platyhelminthes,Polychaete,Polychaete_Trochophore,Radiozoa,Sipunculid,Thaliacean_Doliolidae,Thaliacean_Other,Thaliacean_Salpidae,Thecostraca,Urochordata,geom
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b1a,684,Port Hacking 4,-34.1176,151.2182,2002-02-19T00:00:00Z,2002,2,19,00:00:00,38.1922,12.7307,229.1534,0,0,0,0,0,0,190.9612,0,0,25.4615,0,0,0,0,0,5461.4888,1043.921,992.9981,0,1094.8439,0,0,0,0,0,127.3074,0,12.7307,0,0,0,0,0,471.0375,0,0,0,12.7307,0,0,0,38.1922,0,0,0,1311.2667,0,12.7307,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b19,685,Port Hacking 4,-34.1176,151.2182,2002-03-18T00:00:00Z,2002,3,18,00:00:00,21.2179,7.0726,438.5034,0,49.5085,0,0,0,0,42.4358,0,7.0726,176.8159,7.0726,0,0,0,0,1944.9746,332.4138,289.978,0,261.6875,0,0,0,14.1452,14.1453,21.2179,21.2179,0,0,0,0,0,7.0726,91.9442,0,0,0,3324.1389,21.2179,0,0,14.1453,0,0,0,99.0169,0,176.8159,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b18,686,Port Hacking 4,-34.1176,151.2182,2002-04-26T00:00:00Z,2002,4,26,00:00:00,0,0,25.4615,0,0,0,0,0,0,50.923,0,12.7307,407.3838,0,0,12.7307,0,0,2629.8083,994.8168,210.9667,0,563.7901,0,0,0,50.9229,0,152.7689,0,0,0,0,0,12.7307,25.4615,2762.5715,0,0,0,0,0,0,0,25.4615,0,0,0,0,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b17,687,Port Hacking 4,-34.1176,151.2182,2002-06-04T00:00:00Z,2002,6,4,00:00:00,0,0,9.0934,0,0,0,0,0,0,18.1868,0,0,136.4008,0,0,0,0,0,2664.363,290.9884,118.2141,18.1868,1082.1134,0,0,0,9.0934,9.0934,145.4942,0,0,0,0,0,0,27.2802,163.681,0,0,0,0,18.1868,0,0,9.0934,0,0,0,9.0934,0,27.2802,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b16,688,Port Hacking 4,-34.1176,151.2182,2002-06-25T00:00:00Z,2002,6,25,00:00:00,0,14.1453,35.3632,0,0,0,0,0,0,42.4358,0,0,7.0726,14.1453,0,0,0,0,2220.8076,473.8666,84.8716,0,594.1016,0,0,0,0,14.1453,70.7264,7.0726,0,0,0,0,0,0,42.4358,0,0,0,0,0,0,0,49.5085,0,0,0,7.0726,0,7.0726,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b15,689,Port Hacking 4,-34.1176,151.2182,2002-07-29T00:00:00Z,2002,7,29,00:00:00,0,9.0934,1009.3662,0,0,0,0,0,0,18.1868,0,72.7471,0,27.2802,0,0,0,0,1664.0906,663.8174,154.5877,18.1868,536.5099,0,0,0,0,27.2802,63.6537,0,0,0,0,0,0,0,18.1868,0,0,0,0,36.3736,0,0,27.2802,0,0,0,9.0934,0,18.1868,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b14,690,Port Hacking 4,-34.1176,151.2182,2002-08-20T00:00:00Z,2002,8,20,00:00:00,0,12.7307,369.1916,0,0,0,0,0,0,12.7307,0,50.9229,38.1922,12.7307,0,0,0,0,4710.3755,834.7731,912.9763,12.7307,281.8952,0,0,0,25.4615,445.5761,50.923,25.4615,25.4615,0,0,0,0,0,114.5767,0,0,0,0,0,0,0,76.3845,0,0,0,190.9612,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b13,691,Port Hacking 4,-34.1176,151.2182,2002-09-26T00:00:00Z,2002,9,26,00:00:00,0,0,22.466,0,0,0,0,0,0,3.7443,0,11.233,7.4886,11.233,3.7443,0,0,0,1099.0614,316.2979,49.2676,0,117.2569,0,0,0,0,0,52.4207,82.3754,0,0,0,0,0,0,7.4887,0,0,0,71.1424,3.7443,0,0,18.7217,0,0,0,0,0,127.3074,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b12,692,Port Hacking 4,-34.1176,151.2182,2002-10-21T00:00:00Z,2002,10,21,00:00:00,0,49.5085,282.9054,0,0,0,0,0,0,14.1453,0,7.0726,21.2179,7.0726,0,0,0,0,3014.8718,384.4943,93.8731,21.2179,219.8946,0,0,0,14.1453,0,14.1453,106.0896,0,0,0,0,0,0,99.0169,0,0,0,1973.2654,7.0726,0,0,42.4358,0,0,0,0,0,594.1014,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b11,693,Port Hacking 4,-34.1176,151.2182,2002-11-20T00:00:00Z,2002,11,20,00:00:00,15.9134,127.3074,3246.3398,0,0,0,0,0,0,31.8269,0,0,31.8268,0,0,15.9134,0,0,7081.4766,2705.2832,254.6149,0,381.9223,0,0,0,15.9134,0,47.7403,127.3075,0,0,0,0,0,0,286.4418,0,0,0,9834.5,0,0,0,0,0,0,0,0,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b10,694,Port Hacking 4,-34.1176,151.2182,2002-12-18T00:00:00Z,2002,12,18,00:00:00,0,18.1868,363.7356,0,0,0,0,0,0,36.3736,0,18.1868,172.7744,27.2802,0,0,0,0,1718.6508,1082.1133,200.0546,0,572.8835,0,0,0,0,0,36.3736,0,0,0,0,0,0,45.4669,336.4554,0,0,0,272.8017,0,0,0,45.4669,0,0,0,27.2802,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b0f,695,Port Hacking 4,-34.1176,151.2182,2003-01-20T00:00:00Z,2003,1,20,00:00:00,15.9134,95.4806,111.394,0,0,0,0,0,0,31.8269,0,0,1877.7848,79.5672,0,0,0,0,3898.7903,986.6328,79.5671,0,445.5761,0,0,0,0,15.9134,0,0,0,0,0,0,0,0,222.788,0,0,0,15101.8457,15.9134,0,0,0,0,0,0,31.8269,0,0,0,0,POINT (151.21815 -34.11758)
nrs_zoop_htg_map.fid--4247ee6b_16c26ca91e7_-2b0e,696,Port Hacking 4,-34.1176,151.2182,2003-02-11T00:00:00Z,2003,2,11,00:00:00,0,0,165.4997,0,0,0,0,0,0,25.4615,0,12.7307,2304.2649,25.4615,0,12.7307,0,0,5716.104,1654.9967,267.3455,0,509.2298,0,0,0,12.7307,25.4615,50.923,0,0,0,0,0,0,127.3074,687.4602,0,0,0,17301.082,12.7307,0,0,89.1152,0,0,0,547.422,0,12.7307,0,0,POINT (151.21815 -34.11758)
